公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
北京游学网信息服务有限公司,.net后端工程师,8k-16k·13薪,"电商,旅游 未融资 少于15人",经验3-5年 本科,“五险一金、绩效奖金、通讯补助、补充医疗保险、”,.NET 服务器端 ,[亚运村]
图知天下科技有限责任公司,C#开发工程师,10k-15k·13薪,移动互联网 B轮 15-50人,经验1-3年 本科,“公司提供与技术大牛面对面沟通交流机会”,C# ,[五道口]
北大医信,C#开发工程师,10k-20k,医疗丨健康 不需要融资 500-2000人,经验3-5年 本科,“行业领军企业，优厚的福利待遇”,C#/.NET ,[北京大学]
华睿智,c#开发工程师,15k-22k,其他 不需要融资 50-150人,经验3-5年 本科,“五险一金”,算法 ,[东城区]
快看阅读,C#|.Net开发工程师,8k-15k·13薪,移动互联网 未融资 15-50人,经验1-3年 本科,“成长空间，氛围好”,.NET C# 后端 ,[清河]
News in palm,高级C#系统工程师(非北京地区的可远程工作）,15k-30k,移动互联网 C轮 50-150人,经验3-5年 本科,“五险一金 不打卡 午餐补贴 零食供应”,移动互联网 C#/.NET ASP MySQL 后端 ,[中关村]
卓仕企业管理,金融软件开发工程师（Java/C++/C#）,15k-30k,"电商,企业服务 不需要融资 150-500人",经验不限 本科,“金融行业上市公司，中外合资，交通便利”,金融 Java C# C++ ,[朝阳区]
瑞华康源,c#开发工程师,10k-15k,医疗丨健康 未融资 50-150人,经验3-5年 本科,“福利待遇好 弹性工时”,C#/.NET ,[大山子]
光启元 RAYKITE,C#/.NET开发工程师,10k-20k,"数据服务,企业服务 不需要融资 150-500人",经验不限 大专,“办公环境好 交通便利 不打卡”,后端 C#/.NET .NET C# ,[望京]
嘉和美康,c#开发工程师,10k-15k,"移动互联网,医疗丨健康 C轮 500-2000人",经验1-3年 本科,“年度旅游、补充医疗、五险一金、节日福利”,医疗健康 C# .NET ,[上地]
海鑫科金Hisign,c#开发工程师,12k-15k,"移动互联网,信息安全 上市公司 500-2000人",经验3-5年 本科,“六险一金 周末双休 交通通讯午餐补助”,企业服务 .NET C# ,[科技园区]
勇仕,资深游戏服务端（erlang，C++，C#）,15k-25k,"移动互联网,游戏 上市公司 50-150人",经验3-5年 本科,"“奖金,分红,项目好,出国游”",游戏 服务器端 C C++ Erlang ,[望京]
MetaApp,mmorpg研发负责人（前端U3D/C#后端c++）,25k-40k·18薪,"移动互联网,游戏 C轮 150-500人",经验5-10年 本科,“健身房 零食 公司提供午餐”,游戏 Unity3d C/C++ ,[朝阳区]
Advent,C#开发工程师（掌握SQL开发）,12k-20k,"企业服务,其他 上市公司 150-500人",经验3-5年 本科,"“英文工作环境, 团队氛围好，福利完善”",C# MySQL ,[东直门]
Autotask,"C#,.net 软件开发工程师",10k-15k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“五险一金，年底双薪，年底奖金，年假多等”,,[西二旗]
励云科技,C#工程师,13k-17k,"移动互联网,数据服务 不需要融资 50-150人",经验3-5年 本科,"“年底奖金,加班补助,弹性工作,五险一金”",C# ,[大兴区]
奇安信集团,c#开发工程师,13k-20k,信息安全 上市公司 2000人以上,经验1-3年 本科,"“知识分享,技术驱动”",企业服务 Java C# .NET ,[世纪城]
嘉居科技,MES/ERP/C#开发工程师,11k-19k,"房产家居,软件开发 不需要融资 50-150人",经验3-5年 本科,“技术大牛 领导NICE 公租房”,.NET C# ,[西北旺]
Altran （亚创）,c#,6k-9k,"企业服务,硬件 上市公司 2000人以上",经验1年以下 本科,“13薪，六险一金 保险业务背景者优先考虑”,通信/网络设备 视频 后端 ,[望京]
飞鸿云际,c#,10k-20k,"移动互联网,数据服务 未融资 50-150人",经验3-5年 本科,“五险一金，多项福利，平台好”,大数据 工具软件 C#/.NET Javascript 软件开发 系统架构 ,[西直门]
Altran （亚创）,c#,6k-12k·13薪,"企业服务,硬件 上市公司 2000人以上",经验1-3年 本科,“六险一进，大型外企”,年底双薪 专项奖金 带薪年假 绩效奖金 ,[望京]
展云科技,c#软件工程师,15k-25k,其他 C轮 15-50人,经验5-10年 本科,“五险一金、带薪年假、各种补助”,C# C C++ ,[左家庄]
中科智加,c#开发工程师,10k-20k,"移动互联网,数据服务 不需要融资 50-150人",经验1-3年 本科,“深入接触业界最前沿人工智能核心技术”,C ,[五道口]
优易惠,c#开发工程师,15k-25k,数据服务 未融资 50-150人,经验3-5年 本科,“五险一金、节日旅游、员工体检”,C# ,[展览路]
恩核,高级C#工程师（北京）,15k-22k,"数据服务,移动互联网 不需要融资 50-150人",经验5-10年 本科,“大数据软件公司，十天年假，发展空间大”,大数据 Wpf C#/.NET ,[朝阳区]
九天翱翔,c#,10k-15k,"企业服务,数据服务 未融资 15-50人",经验应届毕业生 本科,“机会多多，机遇多多”,软件开发 ,[知春路]
初见科技,C#服务器开发工程师,20k-25k·13薪,游戏 C轮 150-500人,经验不限 本科,“13薪+项目奖金+五险一金”,游戏 C++ 后端 服务器端 游戏开发 ,[三里屯]
远大创新,c#,12k-17k,"电商,硬件 未融资 500-2000人",经验不限 大专,“五险，双休”,电商 ,[中关村]
FreeWheel,资深Java/Python/C#/PHP开发,27k-36k,"企业服务,数据服务 上市公司 500-2000人",经验3-5年 本科,"“美资互联网,技术导向,英文环境,硅谷文化”",JS PHP Python Ruby ,[三元桥]
海研自动化,c#开发工程师,7k-12k,硬件 未融资 500-2000人,经验1-3年 本科,“福利待遇好、发展空间大、精英团队”,通信/网络设备 电子/半导体/集成电路 QT C# 通信 ,[朝阳区]
创想联发,C#\C++工程师,8k-15k,软件开发 不需要融资 15-50人,经验1-3年 本科,“广阔的发展空间”,C++ C#/.NET 嵌入式 ,[城南]
东舟,c#研发工程师,13k-26k,"移动互联网,企业服务 不需要融资 50-150人",经验5-10年 本科,“发展潜力大，年终奖，股权分红，零食和水果”,Winform C# .NET 通信 ,[西二旗]
友通上昊,c#开发工程师,10k-20k,软件开发 不需要融资 50-150人,经验3-5年 本科,“团队nice”,C# ,[大兴区]
建信金科,C#开发工程师,20k-40k,"金融,软件开发 不需要融资 2000人以上",经验3-5年 不限,“五险两金，带薪休假，公司食堂，出游团建”,移动互联网 C# ,[太平桥]
狮桥集团,C＃软件开发工程师,11k-20k,"金融,物流丨运输 不需要融资 2000人以上",经验3-5年 大专,“免费住宿”,C#/.NET ,[望京]
九天翱翔,c#开发工程师,15k-25k,"企业服务,数据服务 未融资 15-50人",经验5-10年 本科,“青春、活力、起点高、融洽”,Java C# .NET MySQL ,[知春路]
友通上昊,c#开发工程师,10k-20k,软件开发 不需要融资 50-150人,经验不限 本科,“五险一金带薪年假交通补助试用期全额”,数据库 C# ,[大兴区]
北京西西科技有限公司,C#开发工程师,6k-10k,"移动互联网,广告营销 天使轮 15-50人",经验不限 大专,“基本工资+项目奖金”,工具软件 后端 客户端 平台 C#/.NET ,[大望路]
Alva Systems,C#工程师,10k-20k,其他 A轮 50-150人,经验1-3年 本科,“发展前景、团队实力”,带薪年假 绩效奖金 岗位晋升 管理规范 ,[学院路]
