公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
翼辉信息,高级嵌入软件开发工程师,17k-30k,移动互联网 A轮 50-150人,经验5-10年 不限,"“弹性工作,团建活动,茶歇水果”",企业服务 C C++ 嵌入式 驱动开发 ,[海淀区]
OK Group,C++开发工程师 (MJ000626),12k-20k,金融 B轮 500-2000人,经验应届毕业生 不限,“弹性工作制 六险一金 内部培训”,C++ ,[西北旺]
云枢讯联,C++,25k-30k,"数据服务,软件开发 天使轮 50-150人",经验5-10年 本科,“项目奖金，福利补助，弹性工作”,音视频 ,[来广营]
蚂蚁集团,C++,35k-55k,"金融,移动互联网 B轮 2000人以上",经验不限 本科,“蚂蚁金服”,后端 分布式 数据库 ,[呼家楼]
中电博亚,C++,10k-15k·13薪,"电商,游戏 A轮 50-150人",经验1-3年 本科,“带薪年假 扁平化管理 大牛团队 五险一金”,电商 游戏 MySQL 后端 Golang ,[海淀区]
QQ炫舞,C++开发工程师（21届）,15k-25k,游戏 不需要融资 500-2000人,经验应届毕业生 本科,“行业前景好、腾讯系、福利好、领导nice”,游戏 C++ ,[东城区]
DaDa,音视频开发工程师（C/C++方向）,20k-35k·15薪,教育 D轮及以上 2000人以上,经验5-10年 本科,“五险一金、节日福利、加班餐、行业TOP”,C++ Python ,[中关村]
字节跳动,Rust/C++研发实习生 — 有转正机会,8k-10k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“下午茶,团队氛围好,扁平管理,免费三餐”",移动端 ,[海淀区]
字节跳动,C++开发实习生,8k-10k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“下午茶,团队氛围好,大牛带队,免费三餐”",移动端 ,[海淀区]
QQ炫舞,【QQ炫舞】C++服务器高级工程师,25k-40k,游戏 不需要融资 500-2000人,经验3-5年 本科,“良好的晋升平台 个人发展空间大”,C++ 服务器端 游戏开发 分布式 ,[和平里]
美团点评,基础技术部-C++工程师/专家-服务治理,28k-50k,消费生活 上市公司 2000人以上,经验3-5年 本科,“发展前景好，挑战大”,后端开发 ,[朝阳区]
美团点评,基础技术部-C++存储工程师,20k-40k,消费生活 上市公司 2000人以上,经验1-3年 本科,“团队专业，发展快”,C/C++ ,[朝阳区]
