公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
中国教育干部网络学院,java开发工程师,13k-20k·13薪,"移动互联网,教育 未融资 150-500人",经验3-5年 本科,“待遇优厚福利保障技术团队实力强大”,教育 Java MySQL 后端 ,[清源]
数澜科技,高级Java开发工程师【北京】 (MJ000131),15k-30k,"企业服务,数据服务 A轮 150-500人",经验5-10年 本科,“六险一金”,大数据 Java Hadoop 后端 ,[朝阳区]
Mobvista,Java开发工程师,20k-30k,广告营销 上市公司 500-2000人,经验3-5年 本科,“上市公司，发展好 一日三餐+下午茶”,Java ,[朝阳区]
猿辅导,高级java开发工程师,25k-45k,"移动互联网,教育 D轮及以上 2000人以上",经验3-5年 本科,“互联网教育独角兽，F轮融资，薪资福利优厚”,移动互联网 教育 Java ,[望京]
跟谁学,java开发工程师,20k-40k·14薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“上市公司 头部企业”,移动互联网 教育 ,[海淀区]
字节跳动,Java开发工程师,30k-50k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金，弹性工作，免费三餐，租房补贴”,后端开发 ,[海淀区]
字节跳动,Java开发工程师,25k-50k,文娱丨内容 C轮 2000人以上,经验1-3年 本科,“六险一金，弹性工作，免费三餐，租房补贴”,后端开发 ,[海淀区]
快手,Java开发工程师,20k-40k,文娱丨内容 D轮及以上 2000人以上,经验1-3年 本科,“六险一金，加班双倍工资，免费三餐下午茶…”,后端 分布式 服务器端 Java ,[西二旗]
美团点评,java高级开发工程师,25k-50k,消费生活 上市公司 2000人以上,经验3-5年 本科,“从0到1；技术大牛”,Java ,[朝阳区]
拉勾网,Java高级开发工程师,25k-40k,企业服务 D轮及以上 500-2000人,经验5-10年 本科,"“发展空间大,弹性工作制”",招聘 电商 Java 解决方案 服务器端 SOA ,[北京大学]
跟谁学,高级java开发工程师,18k-28k·14薪,"移动互联网,教育 上市公司 2000人以上",经验1-3年 本科,“餐补，班车，双休”,Java MySQL 中间件 ,[西二旗]
柠檬微趣,java高级开发工程师,30k-50k·14薪,"移动互联网,游戏 上市公司 150-500人",经验3-5年 本科,“氛围活跃、轻松、扁平化管理”,游戏 Java 后端 网络优化 ,[车公庄]
美团点评,Java开发工程师,25k-50k,消费生活 上市公司 2000人以上,经验3-5年 本科,“待遇好，项目好，挑战高”,本地生活 后端 服务器端 分布式 中间件 ,[望京]
快手,Java开发工程师,25k-47k,文娱丨内容 D轮及以上 2000人以上,经验3-5年 本科,“机会多，发展好”,移动互联网 后端 ,[西二旗]
拉勾网,Java高级开发工程师,20k-40k·13薪,企业服务 D轮及以上 500-2000人,经验5-10年 本科,“挑战和有创造力的团队，领导nice”,服务器端 分布式 ,[海淀区]
通元软件,高级Java工程师,10k-20k,"移动互联网,教育 不需要融资 50-150人",经验不限 本科,"“创新,极有挑战,高手指导,氛围好”",Java MySQL ,[海淀区]
建信金科,JAVA后端开发工程师-政务,18k-30k,"金融,软件开发 不需要融资 2000人以上",经验不限 本科,“导师制”,本地生活 Java ,[西城区]
智运通,java开发工程师,15k-30k·13薪,物流丨运输 A轮 15-50人,经验3-5年 本科,“发展空间大，办公灵活”,Java MySQL ,[海淀区]
第三石科技,java开发工程师,18k-36k,"移动互联网,电商 B轮 50-150人",经验3-5年 本科,“活跃的技术氛围，弹性工作制，人性管理制度”,Java Python MySQL ,[朝阳区]
雪球,java开发工程师,20k-30k·14薪,金融 D轮及以上 150-500人,经验1-3年 本科,“金融科技 成长空间”,Java ,[朝阳区]
佳德智合,java开发工程师,15k-20k,企业服务 不需要融资 150-500人,经验3-5年 本科,“餐补”,节日礼物 专项奖金 带薪年假 领导好 ,[海淀区]
慧博云通,java开发工程师,17k-19k,"软件开发,其他 未融资 2000人以上",经验3-5年 本科,“JavaScript”,Java ,[海淀区]
OK Group,java开发工程师,15k-30k·14薪,金融 B轮 500-2000人,经验1-3年 本科,“大牛团队 行业领先”,Java ,[西北旺]
G7,java开发工程师,20k-30k·15薪,"物联网,数据服务 D轮及以上 500-2000人",经验3-5年 本科,“15薪 六险一金”,Java docker MySQL ,[西三旗]
欧非科技,java开发工程师,20k-35k·13薪,电商 B轮 500-2000人,经验3-5年 本科,“大平台 人才密度”,金融 Java ,[东城区]
比特大陆,java高级开发工程师,15k-30k·15薪,金融 不需要融资 500-2000人,经验3-5年 本科,“发展空间大 团队技术能力强 薪资福利好”,Java Golang ,[清河]
