公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
字节跳动,前端开发实习生,8k-10k,文娱丨内容 C轮 2000人以上,经验不限 本科,“免费三餐”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[海淀区]
字节跳动,前端架构师,50k-80k,文娱丨内容 C轮 2000人以上,经验不限 本科,“六险一金，弹性工作，免费三餐，租房补贴”,web前端 ,[海淀区]
中企动力,前端架构师,30k-60k,"电商,移动互联网 上市公司 2000人以上",经验5-10年 大专,“五险一金 绩效奖金 带薪年假 团队氛围好”,Vue 架构师 ,[大兴区]
易车公司,前端开发工程师,20k-30k·14薪,"移动互联网,电商 上市公司 2000人以上",经验5-10年 本科,“五险一金”,前端开发 Web前端 Vue ,[白石桥]
拉勾网,前端开发工程师,15k-30k,企业服务 D轮及以上 500-2000人,经验3-5年 本科,“数据开发”,移动端 HTML5 Vue ,[苏州街]
跟谁学,前端开发工程师,15k-20k,"移动互联网,教育 上市公司 2000人以上",经验应届毕业生 本科,“六险一金，带薪年假，午餐补助，定期体检”,教育 电商 前端开发 ,[海淀区]
美团点评,前端开发工程师,25k-45k,消费生活 上市公司 2000人以上,经验3-5年 本科,“管理扁平、活跃的团队氛围、上升空间”,前端开发 Javascript ,[望京]
快手,前端工程师,20k-40k·16薪,文娱丨内容 D轮及以上 2000人以上,经验1-3年 本科,“极具挑战的业务，极具竞争力的薪酬和年终奖”,前端开发 ,[西二旗]
纳通医疗集团,前端开发工程师,12k-15k,医疗丨健康 不需要融资 2000人以上,经验1-3年 本科,“七险一金 带薪年假 餐费补贴 交通补贴”,前端开发 HTML5 CSS CSS3 ,[海淀区]
齐聚科技（原呱呱视频）,前端开发工程师,10k-15k,"移动互联网,游戏 C轮 150-500人",经验不限 不限,“领导nice 热门行业”,社交 直播 移动端 Web前端 Vue ,[东城区]
中旅传媒,前端开发工程师,12k-20k,"旅游,移动互联网 不需要融资 15-50人",经验1-3年 本科,"“五险一金,地铁周边,扁平管理,央企背景”",旅游 ,[左家庄]
DaDa,前端开发工程师,20k-30k·15薪,教育 D轮及以上 2000人以上,经验3-5年 本科,“五险一金、节日福利、加班餐、行业TOP”,前端开发 Web前端 HTML5 ,[海淀区]
好大夫在线,前端架构师,35k-50k·13薪,医疗丨健康 D轮及以上 500-2000人,经验5-10年 本科,“挑战大 百万级日活 高并发 高成长”,电商 Web前端 架构师 Node.js Vue ,[定福庄]
盈嘉互联,前端开发工程师,15k-30k·13薪,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 本科,"“五险一金,职位晋升,员工福利,股票期权”",Web前端 React ,[杨庄]
字节跳动,前端开发实习生,8k-10k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[海淀区]
字节跳动,前端开发实习生,4k-8k,文娱丨内容 C轮 2000人以上,经验不限 本科,“免费三餐，租房补贴，休闲下午茶，职业大牛，晋升空间，团队氛围好”,Web前端 ,[海淀区]
易杰,前端开发工程师,12k-20k·13薪,"移动互联网,社交 上市公司 150-500人",经验3-5年 本科,"“企业好,平台好,福利好,项目好”",Vue ,[魏公村]
佳德智合,前端开发工程师,15k-18k,企业服务 不需要融资 150-500人,经验3-5年 本科,“餐补”,前端开发 ,[海淀区]
纳通医疗集团,前端开发工程师,12k-15k,医疗丨健康 不需要融资 2000人以上,经验1-3年 本科,“七险一金 带薪年假 餐费补贴 交通补贴”,前端开发 HTML5 CSS CSS3 ,[海淀区]
京东集团,前端开发工程师,25k-40k·14薪,电商 上市公司 2000人以上,经验5-10年 本科,“500强、领导nice、平台大”,前端开发 ,[亚运村]
北京聚和天成科技有限公司,前端开发工程师,20k-35k,"移动互联网,金融 不需要融资 50-150人",经验5-10年 本科,“五险一金，年终奖，环境好”,Javascript HTML Vue ,[海淀区]
音娱时光,前端开发工程师,15k-25k,移动互联网 A轮 50-150人,经验1-3年 本科,“年底多薪；租房补贴；七险一金；已盈利”,直播 Javascript 前端开发 ,[海淀区]
小药药,前端开发工程师,20k-25k·15薪,"移动互联网,电商 C轮 2000人以上",经验3-5年 本科,“项目好 成长迅速”,Web前端 Vue jQuery ,[朝阳区]
金山云,前端开发工程师,20k-40k·14薪,"移动互联网,数据服务 D轮及以上 2000人以上",经验5-10年 本科,“云计算”,云计算 Web前端 ,[上地]
窄门集团,前端工程师,10k-18k,"移动互联网,金融 C轮 50-150人",经验1-3年 不限,“五险一金有奖金、、年年有旅行、月月有团建”,大数据 工具软件 前端开发 ,[常营]
云势软件,前端开发工程师,15k-25k,企业服务 B轮 150-500人,经验3-5年 本科,“六险一金；扁平化管理；超长年假+带薪病假”,企业服务 工具软件 前端开发 React native Javascript CSS ,[三里屯]
DaDa,前端开发工程师,20k-30k·15薪,教育 D轮及以上 2000人以上,经验3-5年 本科,“五险一金、节日福利、加班餐、行业TOP”,前端开发 Web前端 HTML5 ,[海淀区]
北大附中基础教育投资有限公司,前端工程师,20k-40k,教育 不需要融资 50-150人,经验3-5年 本科,“创新教育 发展广阔 福利完善”,教育 移动互联网 Javascript Node.js React native ,[五道口]
字节跳动,前端开发实习生,8k-15k,文娱丨内容 C轮 2000人以上,经验不限 本科,“免费三餐，租房补贴，带薪休假，休闲下午茶”,web前端 ,[海淀区]
字节跳动,前端开发实习生,3k-6k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作，免费三餐，租房补贴，休闲下午茶”,人事 招聘 员工关系 薪酬福利 HRBP ,[海淀区]
乘法云,前端架构师,40k-60k·15薪,企业服务 C轮 150-500人,经验5-10年 本科,“不加班 五险一金 全年2次调薪 年终奖”,云计算 工具软件 架构师 前端开发 Web前端 ,[昌平区]
乘法云,前端架构师,20k-40k·15薪,企业服务 C轮 150-500人,经验3-5年 本科,“不加班 五险一金 全年2次调薪 年终奖”,云计算 工具软件 架构师 Web前端 前端开发 ,[昌平区]
北京中经惠众科技有限公司,前端开发工程师,13k-25k,"金融,企业服务 不需要融资 50-150人",经验3-5年 本科,“供应链金融平台，创始团队”,Web前端 前端开发 ,[知春路]
云势软件,前端开发工程师,15k-25k,企业服务 B轮 150-500人,经验3-5年 本科,“六险一金；扁平化管理；超长年假+带薪病假”,企业服务 工具软件 前端开发 React native Javascript CSS ,[三里屯]
藜麦信息,前端开发工程师,9k-14k·13薪,"移动互联网,数据服务 不需要融资 50-150人",经验1-3年 本科,“十三薪，带薪年假，饭补，加班费，五险一金”,前端开发 Vue HTML5 CSS3 ,[昌平区]
希悦,前端工程师,20k-40k,"移动互联网,教育 不需要融资 15-50人",经验3-5年 本科,“年轻友爱 创新自驱 发展广阔 福利完善”,教育 移动互联网 Javascript React native Node.js ,[中关村]
小年糕,前端开发工程师,14k-28k·14薪,软件开发 D轮及以上 150-500人,经验3-5年 本科,“弹性工作不打卡，加班打车报销”,React 前端开发 Web前端 Node.js ,[学院路]
易杰,前端开发工程师,12k-20k·13薪,"移动互联网,社交 上市公司 150-500人",经验3-5年 本科,"“企业好,平台好,福利好,项目好”",Vue ,[魏公村]
哗啦啦,前端架构师,30k-50k,"移动互联网,消费生活 不需要融资 500-2000人",经验5-10年 本科,"“五险一金,带薪年假”",架构师 ,[西直门]
酷玩实验室,前端开发工程师,12k-18k,"电商,社交 A轮 50-150人",经验1-3年 本科,“弹性工作 年底奖金 住房补贴”,前端开发 ,[望京]
神策数据,前端架构师,45k-70k,数据服务 C轮 500-2000人,经验5-10年 本科,"“七险一金,股票期权,绩效奖金”",大数据 云计算 前端开发 Javascript 架构师 ,[学院路]
动信通科技,前端工程师,20k-30k,"移动互联网,游戏 C轮 50-150人",经验3-5年 本科,“餐补交通补，带薪年假”,移动互联网 Javascript 前端开发 ,[西城区]
快手,前端开发工程师,15k-30k,文娱丨内容 D轮及以上 2000人以上,经验3-5年 本科,“大平台，发展空间大，福利好”,CSS React native Node.js Web前端 ,[西二旗]
快手,前端开发工程师,20k-40k,文娱丨内容 D轮及以上 2000人以上,经验3-5年 本科,“扁平管理、上升空间大，福利好”,移动互联网 Web前端 ,[西二旗]
龙猫数据,前端开发工程师（实习生）,4k-7k,"移动互联网,数据服务 B轮 50-150人",经验应届毕业生 本科,“超多大牛、做整个项目、技术氛围好”,Web前端 ,[海淀区]
阿里巴巴-高德,前端开发工程师,20k-40k·16薪,工具 上市公司 2000人以上,经验3-5年 本科,“高德打车去年绩效特，薪资和向上空间特别大”,webpack Vue React Node.js ,[无]
小药药,前端开发工程师,8k-16k·15薪,"移动互联网,电商 C轮 2000人以上",经验应届毕业生 本科,“技术氛围好，接触前沿技术，大牛导师，扁平管理”,移动互联网 医疗健康 前端开发 Vue HTML5 CSS3 ,[朝阳区]
好未来,前端开发工程师,20k-40k,教育 上市公司 2000人以上,经验3-5年 本科,“年终奖 地铁周边 技术氛围nice”,前端开发 Vue React native Web前端 ,[中关村]
泰克教育,前端开发工程师,10k-20k·14薪,教育 未融资 150-500人,经验3-5年 本科,“大咖带队”,前端开发 Web前端 ,[中关村]
京东数字科技控股有限公司,前端开发工程师,20k-40k,金融 B轮 2000人以上,经验5-10年 本科,“公司五险一金，14薪，各种团建”,前端开发 Web前端 Vue React ,[大兴区]
比特大陆,前端工程师,20k-35k·15薪,金融 不需要融资 500-2000人,经验3-5年 本科,“成长空间”,前端开发 Vue React Node.js ,[清河]
法天使,前端开发工程师,12k-22k·13薪,企业服务 A轮 15-50人,经验5-10年 本科,“发展前景”,React React native Web前端 TypeScript ,[朝阳区]
博阳互动,前端工程师,7k-10k,广告营销 不需要融资 15-50人,经验1-3年 本科,“技术覆盖面广，提升快”,广告营销 新零售 Vue HTML5 CSS 前端开发 ,[三元桥]
水滴 WATERDROP INC,前端架构师,35k-50k·15薪,金融 C轮 2000人以上,经验5-10年 本科,“弹性工作 六险一金 补充商业医疗”,移动互联网 移动端 前端开发 Web前端 Vue ,[望京]
小米,前端工程师,25k-50k·14薪,硬件 D轮及以上 2000人以上,经验5-10年 本科,“氛围好，福利佳，牛人多”,Node.js Web前端 React React native ,[西二旗]
汉熵通信有限公司,前端开发工程师,15k-25k,"信息安全,物联网 不需要融资 50-150人",经验1-3年 本科,“精英团队 公司高速发展 扁平管理”,Vue HTML5 Javascript CSS3 ,[万寿寺]
字节跳动,前端开发实习生,6k-10k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作，免费三餐，租房补贴，休闲下午茶”,web前端 ,[海淀区]
字节跳动,前端开发工程师,20k-40k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“六险一金,股票期权,弹性工作,免费三餐”",web前端 ,[海淀区]
鲨鱼记账,前端开发工程师,12k-24k,移动互联网 天使轮 15-50人,经验3-5年 本科,“五险一金，免费午餐，假日福利，快速成长”,前端开发 HTML HTML5 ,[西三旗]
磐沄科技,前端开发工程师,25k-45k·13薪,"软件开发,区块链 A轮 15-50人",经验3-5年 本科,“试用期全薪 五险一金 双休 13薪 带薪年假”,云计算 Node.js HTML Javascript CSS ,[海淀区]
妙健康,前端开发工程师,20k-25k,移动互联网 C轮 150-500人,经验3-5年 本科,“六险一金 团建活动 带薪年假 定期体检”,移动互联网 医疗健康 前端开发 ,[朝阳区]
致远互联,前端架构师,40k-60k,"移动互联网,社交 上市公司 500-2000人",经验5-10年 本科,“平台大，牛人多，氛围好”,CSS3 Node.js 架构师 React ,[四季青]
妙健康,前端开发工程师,15k-25k·13薪,移动互联网 C轮 150-500人,经验3-5年 本科,“六险一金 福利健全 弹性工作时间 领导nice”,医疗健康 前端开发 Web前端 移动端 ,[朝阳区]
猿辅导,前端开发工程师,20k-40k·14薪,"移动互联网,教育 D轮及以上 2000人以上",经验1-3年 本科,“福利待遇好，发展前景可观”,前端开发 ,[望京]
众安保险,前端工程师,20k-30k·15薪,金融 上市公司 2000人以上,经验5-10年 不限,“下午茶，团队大牛带，氛围年轻活跃”,Web前端 前端开发 ,[西城区]
