公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
国美控股集团,DBA(MySQL/Redis),17k-30k·14薪,"移动互联网,电商 不需要融资 2000人以上",经验5-10年 本科,“大平台、成长块”,电商 DBA MySQL ,[亮马桥]
比特大陆,dba,15k-30k·15薪,金融 不需要融资 500-2000人,经验3-5年 本科,“领导好”,丰厚底薪 年底双薪 六险一金 午餐补助 ,[清河]
易联汇华,dba,15k-25k,"移动互联网,金融 C轮 500-2000人",经验3-5年 本科,“年终奖”,运维 安全 DB2 ,[望京]
字节跳动,数据库开发工程师,20k-40k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,"“六险一金,免费三餐,租房补贴,带薪休假”",数据分析 ,[海淀区]
爱可生,MySQL DBA（实习）,3k-4k,数据服务 不需要融资 150-500人,经验不限 本科,"“新三板,团建,餐补,旅游”",DBA MySQL ,[朝阳区]
爱可生,MySQL DBA（驻场）,15k-30k,数据服务 不需要融资 150-500人,经验3-5年 本科,"“新三板,团建,餐补,旅游”",MySQL 数据库管理员 ,[昌平区]
闲徕互娱,DBA,15k-30k,移动互联网 不需要融资 150-500人,经验3-5年 本科,“发展前景 扁平管理”,MySQL ,[朝阳区]
老虎集团,DBA,20k-40k·14薪,"移动互联网,金融 上市公司 500-2000人",经验5-10年 本科,“优秀的团队，完善的福利待遇，弹性工作时间”,证券/期货 DevOps/AIOps ,[太阳宫]
瑞思学科英语,DBA,30k-40k,教育 上市公司 2000人以上,经验5-10年 本科,“入职缴纳五险一金；带薪年架；团建出游”,MySQL MongoDB ,[广渠门]
罗辑思维,DBA,20k-35k,"移动互联网,文娱丨内容 D轮及以上 150-500人",经验3-5年 本科,“大咖云集 六险一金 氛围极好 弹性工作”,MySQL MongoDB ,[大望路]
知网,高级MYSQL DBA,20k-30k,"移动互联网,电商 上市公司 2000人以上",经验3-5年 本科,“免费早午餐+免费班车+五险两金+年终奖”,DBA MySQL 数据架构 ,[小营]
学乐,MySQL DBA,20k-30k,教育 C轮 150-500人,经验3-5年 本科,"“五险一金,带薪年假”",教育 信息安全 DBA MySQL 数据库 信息安全 ,[中关村]
智蓝信息,数据库开发工程师,12k-18k,"企业服务,数据服务 不需要融资 150-500人",经验3-5年 本科,“团队大牛多，环境好”,Oracle ,[西城区]
人大金仓,C/C++开发工程师（数据库内核）,20k-36k,数据服务 不需要融资 150-500人,经验5-10年 本科,"“国有企业,六险一金,发展好,团队好”",大数据 数据库 ,[朝阳区]
字节跳动,DBA工程师-企业应用,20k-30k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[海淀区]
偶数科技,数据库开发工程师,20k-40k,数据服务 A轮 50-150人,经验1-3年 本科,“年底双薪 平台好 发展空间大”,数据库开发 ,[海淀区]
聚云位智,数据库内核高级开发工程师(存储引擎),25k-50k,数据服务 A轮 50-150人,经验3-5年 本科,“不打卡、周末双休、领导nice、带薪年假”,数据库开发 ,[西二旗]
百融云创,资深DBA工程师 (MJ000175),20k-30k,金融 C轮 500-2000人,经验5-10年 本科,"“年底双薪,年度旅游,带薪年假,绩效奖励”",互联网金融 运维 DBA ,[望京]
联想集团,数据库开发及数据分析岗,4k-7k,"移动互联网,数据服务 上市公司 2000人以上",经验应届毕业生 不限,“优秀团队，发展机会多，周末双休”,Linux Hadoop Spark Hive ,[西北旺]
每日一淘,DBA（数据库管理员）,15k-30k,"移动互联网,电商 不需要融资 150-500人",经验3-5年 本科,“团队棒，成长空间大”,电商 社交 Python DBA MySQL Java ,[朝阳区]
酷克数据,数据库内核开发工程师,35k-50k,企业服务 A轮 15-50人,经验5-10年 本科,“期权激励 弹性工作 技术大牛”,企业服务 C++ Golang ,[望京]
翼课网,高级DBA,18k-30k,"移动互联网,教育 不需要融资 500-2000人",经验3-5年 本科,“周末双休、餐补水果、法定假日、年终奖”,运维 DBA DevOps 数据库运维 ,[马驹桥]
比特大陆,dba工程师,25k-35k·15薪,金融 不需要融资 500-2000人,经验5-10年 本科,“领导好”,DBA ,[清河]
ETCP,dba,20k-30k,移动互联网 B轮 500-2000人,经验3-5年 本科,“DBA”,MySQL ,[双井]
高济医疗,dba数据库工程师,15k-30k·14薪,"医疗丨健康,数据服务 不需要融资 150-500人",经验3-5年 本科,“高瓴资本全资子公司，发展空间大”,新零售 ,[东城区]
北京中关村银行,数据库运维工程师（DBA）,15k-30k,金融 不需要融资 150-500人,经验3-5年 本科,“奖金、交通、通讯和午餐补助、节日福利”,运维 MySQL Oracle ,[知春路]
火花思维,DBA数据库管理员,20k-35k·14薪,"移动互联网,教育 D轮及以上 2000人以上",经验3-5年 本科,“七险一金，带薪年假”,DBA MySQL ,[望京]
人大金仓,dba数据库工程师,10k-20k,数据服务 不需要融资 150-500人,经验不限 本科,“年底奖金，弹性工作，六险一金，定期体检”,DBA ,[望京]
睿易教育,dba工程师,10k-20k,"教育,移动互联网 D轮及以上 150-500人",经验3-5年 本科,“五险一金、带薪年假、年终奖金、年度调薪”,教育 DBA ,[清河]
易联汇华,高级Oracle DBA,20k-25k,"移动互联网,金融 C轮 500-2000人",经验5-10年 本科,"“十三薪,月度奖金,领导nic,带薪年假”",数据库开发 ,[大山子]
蚂蚁集团,DBA（P6-P8）,25k-50k,"金融,移动互联网 B轮 2000人以上",经验5-10年 本科,“蚂蚁金服”,数据库 数据库管理员 ,[呼家楼]
安讯达盛,DBA数据库管理,20k-40k,移动互联网 / /,经验1-3年 本科,“五险一金、免费用餐、股权激励、年终分红”,医疗健康 DBA 数据库 数据库运维 ,[呼家楼]
狮桥集团,DBA运维工程师（Mysql与非关系数据库）,16k-30k,"金融,物流丨运输 不需要融资 2000人以上",经验3-5年 本科,“五险一金，免费水果，团队建设”,运维 MySQL MongoDB SQLServer ,[望京]
新浪网,MySQL数据库工程师,20k-40k,文娱丨内容 上市公司 2000人以上,经验不限 本科,“免费停车场、早餐、健身房”,MySQL ,[西北旺]
哗啦啦,DBA开发工程师,20k-30k,"移动互联网,消费生活 不需要融资 500-2000人",经验3-5年 本科,“带薪年假 专业培训 五险 双休”,DBA ,[西直门]
天眼查,MySQL DBA,20k-40k·15薪,数据服务 不需要融资 500-2000人,经验3-5年 本科,“发展前景大”,大数据 分类信息 MySQL DBA ,[知春路]
天鹏恒宇,Oracle DBA,15k-25k,"金融,医疗丨健康 不需要融资 150-500人",经验1-3年 本科,"“五险一金,出差补助,餐补,带薪年假”",信息安全 信息安全 DBA MySQL ,[上地]
河北艾钉科技,高级数据库管理员DBA,25k-40k,企业服务 未融资 50-150人,经验5-10年 本科,“五险一金”,医疗健康 DBA Oracle MySQL SQLServer ,[建外大街]
Bigo,高级/资深DBA工程师,25k-40k·15薪,"移动互联网,社交 上市公司 2000人以上",经验3-5年 本科,“技术大牛；神仙队友；工程师文化；快速成长”,年底双薪 五险一金 年终奖 员工旅游 ,[望京]
水滴 WATERDROP INC,DBA (MJ001320),25k-50k·15薪,金融 C轮 2000人以上,经验3-5年 本科,“技术大咖 薪资优越 扁平管理”,DBA 数据库开发 数据库运维 ,[望京]
