公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
字节跳动,PHP开发工程师,25k-40k,文娱丨内容 C轮 2000人以上,经验不限 本科,“六险一金，弹性工作，免费三餐，租房补贴”,后端开发 ,[海淀区]
乐元素游戏,php开发工程师,20k-30k,"移动互联网,游戏 不需要融资 500-2000人",经验3-5年 本科,“发展空间 项目前景 公司平台 薪资福利”,PHP ,[海淀区]
畅聊天下,php开发工程师,15k-30k·14薪,移动互联网 B轮 150-500人,经验3-5年 本科,“日活千万，公司不差钱”,PHP ,[上地]
玩加电竞,PHP工程师,15k-30k·14薪,"移动互联网,文娱丨内容 A轮 50-150人",经验3-5年 本科,“双休 年底多薪 五险一金 弹性工作”,游戏 ,[百子湾]
耀世星辉传媒有限公司,php开发工程师,15k-20k·13薪,"文娱丨内容,广告营销 上市公司 150-500人",经验1-3年 本科,“上市公司 核心部门 美女如云 股票”,电商 PHP ,[酒仙桥]
知嘛文化,php开发工程师,12k-16k,"移动互联网,教育 A轮 50-150人",经验1-3年 本科,“绩效奖金 管理扁平 潜力项目 团队氛围好”,电商 教育 ,[中关村]
RightCapital,高级PHP开发工程师,25k-40k,金融 A轮 15-50人,经验5-10年 本科,“外企，技术氛围好，工程师文化，双休不加班”,PHP 后端 ,[朝阳区]
小U出行,php开发工程师,13k-18k,"移动互联网,消费生活 天使轮 15-50人",经验3-5年 大专,“双休，弹性工作”,PHP MySQL ,[望京]
测测星座,php开发工程师,15k-23k,"移动互联网,消费生活 A轮 50-150人",经验3-5年 本科,“五险一金、带薪年假、扁平管理”,移动互联网 Yii Laravel 后端 ,[五道口]
九识佳,PHP开发工程师,18k-30k,社交 A轮 15-50人,经验3-5年 本科,"“逗逼氛围,餐补,每月团建”",PHP 后端 服务器端 ,[大望路]
安芯网盾,php开发工程师,18k-35k,"企业服务,信息安全 A轮 15-50人",经验1-3年 本科,“大牛云集”,信息安全 Laravel 后端 ,[海淀区]
卡车之家,php开发工程师,15k-22k,移动互联网 上市公司 150-500人,经验3-5年 本科,“每年多次调薪 五险一金 年底双薪”,汽车 MySQL 后端 搜索 ,[高碑店]
卡车之家,高级php开发工程师,22k-30k·13薪,移动互联网 上市公司 150-500人,经验5-10年 本科,“年终奖，福利假期，带薪年假，上市公司”,移动互联网 汽车 PHP ,[高碑店]
伴伴,高级php开发工程师,20k-40k,"移动互联网,社交 不需要融资 150-500人",经验3-5年 本科,“薪酬优厚、地铁周边、管理扁平、氛围简单”,社交 移动互联网 C++ C GO PHP ,[望京]
动信通科技,php开发工程师,20k-35k,"移动互联网,游戏 C轮 50-150人",经验3-5年 本科,“绩效奖励”,PHP ,[德胜门]
深圳金汇财富金融服务有限公司北京研发分公司,PHP开发工程师,15k-25k,"移动互联网,金融 不需要融资 15-50人",经验1-3年 本科,"“节日福利,团建活动,年底双薪,年终奖”",MySQL PHP ,[丰台体育馆]
站酷ZCOOL,php开发工程师,10k-20k,"社交,文娱丨内容 B轮 50-150人",经验1-3年 本科,“免费午餐; 七险一金”,移动互联网 PHP ,[朝阳区]
有咖互动,php开发工程师,15k-20k,移动互联网 B轮 150-500人,经验3-5年 本科,“微博控股，扁平化管理，技术氛围好”,后端 平台 PHP ,[望京]
唱吧-玩音乐，就上唱吧！,php开发工程师,20k-35k·15薪,"移动互联网,游戏 D轮及以上 150-500人",经验3-5年 本科,“福利好，空间大”,音乐 PHP ,[太阳宫]
OKAY智慧教育,PHP工程师,15k-20k,"移动互联网,教育 B轮 500-2000人",经验3-5年 本科,“团队nice”,PHP MySQL ,[中关村]
好未来,高级PHP开发工程师,20k-40k,教育 上市公司 2000人以上,经验不限 本科,“上市公司、大牛云集、好福利”,教育 PHP 后端 服务器端 ,[回龙观]
