公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
字节跳动,python开发工程师,20k-35k,文娱丨内容 C轮 2000人以上,经验1-3年 本科,“六险一金，高薪期权，弹性工作，免费三餐”,后端开发 ,[海淀区]
音娱时光,Python工程师,20k-30k,移动互联网 A轮 50-150人,经验3-5年 本科,“产品大牛；技术靠谱；项目有前景”,Python 抓取 C++ 服务器端 ,[海淀区]
北京泰斯听科技有限公司,python开发工程师,15k-30k,移动互联网 未融资 15-50人,经验3-5年 本科,“海外大牛”,旅游 医疗健康 ,[海淀区]
慧博云通,python开发工程师,17k-19k,"软件开发,其他 未融资 2000人以上",经验1-3年 本科,“大厂，技术前沿，领导nice”,Python ,[海淀区]
滴滴,python开发工程师,20k-40k·15薪,汽车丨出行 不需要融资 2000人以上,经验3-5年 本科,“六险一金 免费打车”,Python Shell MySQL Hadoop ,[海淀区]
猎户星空,Python开发工程师,18k-35k,"移动互联网,硬件 B轮 500-2000人",经验3-5年 本科,“高速发展，潜力无限”,Python ,[高碑店]
窄门集团,python工程师,15k-25k,"移动互联网,金融 C轮 50-150人",经验3-5年 大专,“五险一金，周末双休，定期体检，年底双薪”,大数据 新零售 后端 ,[常营]
云势软件,python开发工程师,18k-25k,企业服务 B轮 150-500人,经验3-5年 本科,“六险一金；扁平化管理；超长年假+带薪病假”,移动互联网 工具软件 后端 Python ,[三里屯]
360,python开发工程师,15k-30k·15薪,信息安全 上市公司 2000人以上,经验3-5年 本科,“六险一金 弹性时间 理发按摩 12天年假”,企业服务 信息安全 Python Golang Node.js Ruby ,[朝阳区]
第三石科技,Python开发工程师,18k-36k,"移动互联网,电商 B轮 50-150人",经验3-5年 本科,"“前沿技术,丰富下午茶,弹性工作,扁平管理”",信息安全 支付 Java Python ,[朝阳区]
第三石科技,python开发工程师,13k-25k,"移动互联网,电商 B轮 50-150人",经验1-3年 本科,“平台好 高精尖技术氛围”,电商 后端 ,[朝阳区]
博乐科技,python开发,12k-24k,移动互联网 不需要融资 150-500人,经验不限 本科,“13薪+项目奖金+出国游+周末双休”,后端 ,[来广营]
Games Vessel,Python开发工程师,15k-30k,"游戏,软件开发 不需要融资 50-150人",经验1-3年 本科,“下午茶 switch 弹性工时”,移动互联网 游戏 ,[五道口]
生仝智能,python工程师,14k-28k,移动互联网 天使轮 15-50人,经验不限 硕士,“集团子公司，新成立团队，前景广阔，”,医疗健康 云计算 后端 docker 服务器端 ,[亦庄]
嘉和美康,python开发工程师,18k-25k,"移动互联网,医疗丨健康 C轮 500-2000人",经验5-10年 本科,"“五险一金,带薪年假,定期体检,补充医疗”",医疗健康 大数据 Linux/Unix Shell MySQL Python ,[安定门]
豆瓣网,后端开发工程师（商业产品）,18k-26k,移动互联网 C轮 150-500人,经验3-5年 本科,"“六险一金,带薪病假,早餐下午茶,年度体检”",Python 后端 ,[朝阳区]
北京极睿科技有限责任公司,python开发工程师,20k-40k,"移动互联网,数据服务 A轮 50-150人",经验3-5年 本科,“清华团队，技术大牛，明星资本，”,新零售 移动互联网 MySQL Linux/Unix ,[中关村]
缔联科技,Python开发工程师（web端开发经验）,15k-18k·13薪,企业服务 B轮 50-150人,经验3-5年 本科,“财税领域，公司自有产品，下午茶零食”,后端 Python ,[中关村]
