公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
百得思维,c++开发工程师,11k-14k·14薪,其他 未融资 2000人以上,经验3-5年 大专,“年终奖+餐补+出差补+油补+双休+大平台”,汽车 C C++ Java ,[朝阳区]
思特奇Si-tech,java/c/c++实习生（可转正）,6k-10k,数据服务 上市公司 2000人以上,经验应届毕业生 本科,“补助津帖、带薪年假、健康管理、员工俱乐部”,工具软件 通信/网络设备 Linux/Unix 后端 C Java ,[高新开发区]
吉动盘古,c++开发工程师,8k-10k,"游戏,其他 未融资 150-500人",经验1-3年 本科,“动画学院平台 集团公司 学研产一体化发展”,C++ 软件开发 图像处理 ,[高新开发区]
一汽-大众,V2X工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,汽车 移动互联网 ,[汽车产业开发区]
一汽-大众,车联网产品工程师【信息安全】,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,汽车 移动互联网 ,[汽车产业开发区]
风直科技,golang开发工程师,6k-8k·14薪,物联网、企业服务 未融资 少于15人,经验不限 不限,“挑战自我”,Golang 全栈 数据库 服务器端 ,[高新开发区]
牟训佳人工智能,嵌入式工程师,5k-10k,医疗丨健康 不需要融资 15-50人,经验不限 本科,“股票期权 发展平台 五险一金”,嵌入式 C 单片机 ,[高新开发区]
一汽-大众,前端开发工程师（Android）,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,移动互联网 Android ,[汽车产业开发区]
一汽-大众,数据及智能领域专家,50k-100k,体育 不需要融资 2000人以上,经验10年以上 本科,“薪酬福利，发展前景”,,[汽车产业开发区]
一汽-大众,算法工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,语音识别 ,[汽车产业开发区]
