公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
派拉软件,前端开发工程师,5k-10k,数据服务 C轮 150-500人,经验1-3年 大专,“五险一金  餐补 通讯补 带薪假 体检”,大数据 信息安全 Node.js Javascript CSS HTML5 ,[高新开发区]
金角科技,前端开发工程师,6k-12k,"移动互联网,金融 未融资 15-50人",经验1-3年 大专,“七险一金，期权，年终奖丰厚，带薪年假等”,Web前端 前端开发 Vue HTML5 ,[南关区]
一汽-大众,前端开发工程师（Web）,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,移动互联网 Web前端 ,[汽车产业开发区]
凯之信软件,前端开发工程师,4k-7k,软件开发 未融资 15-50人,经验3-5年 本科,“五险一金，项目奖金，培训”,企业服务 CSS Javascript Vue 前端开发 ,[解放大路]
吉数发展,前端开发工程师,4k-8k,"软件开发,物联网 未融资 50-150人",经验3-5年 大专,“周末双休，五险一金，大牛带队，人性化管理”,Web前端 Vue HTML5 前端开发 ,[东南湖大路]
海腾科技,前端工程师,60k-100k,软件开发 未融资 15-50人,经验3-5年 不限,“五险一金餐补全勤奖旅游福利项目奖金分红”,工具软件 ,[二道区]
北京博林佳润商贸有限公司,web前端开发工程师,6k-10k,消费生活 上市公司 2000人以上,经验3-5年 大专,“五险一金、周末双休、项目奖金、弹性工作”,地图 直播 Javascript CSS SDK 移动端 ,[高新开发区]
创通科技,web前端开发工程师,6k-9k,其他 未融资 少于15人,经验1-3年 不限,“创业公司，注重个人能力，能力与薪酬正比匹配”,教育 ,[南关区]
北京云族佳科技,前端开发工程师（长春）,8k-12k,"移动互联网,人工智能 B轮 50-150人",经验3-5年 本科,“五险一金 带薪年假 节假日福利”,汽车 前端开发 React native ,[绿园区]
中国一汽,IT开发工程师（前端技术）,10k-15k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“五险一金、班车、食堂、年底奖金”,物流 Javascript 前端开发 ,[汽车产业开发区]
奥格智能,java开发工程师,8k-15k,其他 不需要融资 500-2000人,经验1-3年 本科,“六险一金，双休，年度体检，业务提成”,地图 J2EE ,[东南湖大路]
一汽-大众,软件工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,后端 架构师 ,[汽车产业开发区]
橡东信息,java中级开发工程师,10k-15k,"人工智能,软件开发 未融资 150-500人",经验3-5年 大专,“全勤奖，交通补助，公司重点项目，大牛带路”,Shell ,[朝阳区]
思特奇Si-tech,Java开发工程师,6k-12k,数据服务 上市公司 2000人以上,经验不限 本科,“七险一金、年度旅游、培养计划、职业发展等”,信息安全 移动互联网 ,[高新开发区]
聚点科技,web开发工程师,7k-9k,不限 未融资 50-150人,经验1-3年 大专,“平台项目稳定，工资可谈。”,Web前端 ,[高新开发区]
神州信息,java开发工程师,8k-12k,金融 上市公司 2000人以上,经验3-5年 本科,“专业培训，发展空间大，通讯补贴，五险一金”,互联网金融 银行 后端 分布式 Java SOA ,[南关区]
福建八萃,java开发工程师,8k-10k,"移动互联网,企业服务 未融资 150-500人",经验3-5年 大专,“周末双休、五险一金、年终奖”,J2EE 后端 Java Javascript ,[永昌]
大华股份,web前端（策软长春驻点）,7k-13k,信息安全 上市公司 2000人以上,经验3-5年 本科,“施展个人能力的平台”,Vue HTML Javascript CSS ,[朝阳区]
