公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
一汽-大众,V2X工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,汽车 移动互联网 ,[汽车产业开发区]
一汽-大众,IT应用运维工程师（AMS）,15k-30k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,IT支持 Linux ,[汽车产业开发区]
中国一汽,数据规划师,15k-25k,汽车丨出行 未融资 2000人以上,经验5-10年 本科,"“带薪年假,通讯津贴,午餐补助”",汽车 ,[经济开发区]
中国一汽,算法工程师,10k-11k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“五险一金、班车、食堂、年底奖金”,金融 人工智能 机器学习 深度学习 ,[经济开发区]
友通电子,软件运维,4k-6k,软件开发 未融资 150-500人,经验1-3年 大专,“Oracle 数据库Linux 操作系统”,大数据 ,[解放大路]
一汽-大众,应用架构工程师,30k-40k,体育 不需要融资 2000人以上,经验5-10年 本科,“薪酬福利，发展前景”,移动互联网 架构师 系统架构 技术管理 ,[汽车产业开发区]
一汽-大众,数字化业务专员,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,汽车 移动互联网 ,[绿园区]
一汽-大众,系统部署工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,移动互联网 系统运维 ,[汽车产业开发区]
一汽-大众,IT开发工程师【数据科学家】,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,,[汽车产业开发区]
一汽-大众,数据及智能领域专家,50k-100k,体育 不需要融资 2000人以上,经验10年以上 本科,“薪酬福利，发展前景”,,[汽车产业开发区]
一汽-大众,数据开发工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,移动互联网 Spark Hadoop 数据挖掘 ,[汽车产业开发区]
一汽-大众,算法工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,语音识别 ,[汽车产业开发区]
