公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
维斯登,c#开发工程师,8k-12k,医疗丨健康 未融资 50-150人,经验3-5年 大专,“五险一金 做五休二”,C#/.NET C# .NET ,[望城区]
梦图科技,c#开发工程师,6k-12k·13薪,软件开发 未融资 50-150人,经验1-3年 本科,“双休，五险一金”,.NET C# C++ ,[天心区]
维斯登,c#高级开发工程师,8k-12k,医疗丨健康 未融资 50-150人,经验3-5年 大专,“五险一金员工旅游绩效奖金”,医疗健康 ,[望城区]
鹤腾信息科技,c#/.net高级开发工程师,8k-12k,"移动互联网,电商 未融资 少于15人",经验3-5年 大专,"“五险一金,年底双薪,双休,弹性上班”",C#/.NET Java MySQL ,[麓谷]
上海中软华腾软件系统有限公司,c#软件工程师,6k-10k,"企业服务,金融 上市公司 2000人以上",经验3-5年 本科,“日本项目”,C# .NET MySQL ,[岳麓区]
湖南视拓信息,C#开发工程师,5k-10k,"移动互联网,企业服务 不需要融资 150-500人",经验1-3年 本科,“五险一金 项目奖金 年终奖金”,C#/.NET ,[劳动西路]
湖南视拓信息,c#开发工程师,8k-10k,"移动互联网,企业服务 不需要融资 150-500人",经验1-3年 本科,“能接受驻地项目”,大数据 C# ,[劳动西路]
锦瑞,c#软件工程师,10k-20k,医疗丨健康 D轮及以上 150-500人,经验3-5年 本科,“福利好，空间大”,电子/半导体/集成电路 智能硬件 C# ,[麓谷]
腾协网络,c#开发工程师,12k-20k,软件开发 A轮 50-150人,经验3-5年 不限,“五险，免费零食饮料，全勤奖”,C# ,[开福区]
林云医疗,C#开发工程师,8k-12k,医疗丨健康 A轮 150-500人,经验3-5年 大专,“五险一金 做五休二”,C#/.NET ,[岳麓区]
蓝岭信息技术有限公司,crm软件开发,6k-12k,"企业服务,移动互联网 不需要融资 50-150人",经验1-3年 本科,“周末双休 岗前培训 年度旅游 各类补贴”,云计算 大数据 Java MySQL HTML5 C# ,[芙蓉区政府]
蓝岭信息技术有限公司,Salesforce开发,6k-12k,"企业服务,移动互联网 不需要融资 50-150人",经验1-3年 本科,“周末双休 岗前培训 年度旅游 各类补贴”,云计算 大数据 Java 软件开发 MySQL 项目实施 ,[芙蓉区政府]
诚毅软件,.Net工程师,7k-10k,企业服务 不需要融资 150-500人,经验不限 本科,“六险一金加班补贴专业培训年终奖带薪年假”,C#/.NET C# .NET ,[侯家塘]
草花互动,客户端工程师,10k-18k,游戏 不需要融资 150-500人,经验3-5年 本科,“包吃包住 项目分红 五险一金 节假日福利”,游戏 C/C++ Unity3d ,[岳麓区]
中广汇智,U3D开发主管,8k-15k,其他 上市公司 150-500人,经验3-5年 本科,“周末双休 项目奖金 扁平化管理 气氛活跃”,移动互联网 ,[长沙县]
赢时胜软件,Java高级开发工程师,12k-20k,金融 上市公司 500-2000人,经验5-10年 本科,"“绩效奖金,职位晋升,年终奖金,股权激励”",金融 Java ,[伍家岭]
赢时胜软件,Java中级开发工程师,8k-15k,金融 上市公司 500-2000人,经验3-5年 本科,"“岗位晋升,绩效奖金,年终奖金,股权激励”",金融 Java ,[伍家岭]
鼎捷软件,软件开发工程师,6k-8k,其他 上市公司 2000人以上,经验应届毕业生 本科,“扁平管理 上市公司”,软件开发 数据库 MySQL ,[芙蓉区]
沃尔信息,U3D游戏开发（可考虑优秀本科或硕士研究生）,10k-15k·13薪,游戏 不需要融资 15-50人,经验1-3年 本科,“双休/ 五险一金/ 多绩效奖/ 团队稳定”,前端开发 Unity3d .NET ,[麓谷]
沃尔信息,游戏开发实习（大三、大四、研一、研二学生）,8k-10k·13薪,游戏 不需要融资 15-50人,经验应届毕业生 本科,“双休/ 五险一金/ 多绩效奖/ 团队稳定”,游戏 前端开发 Unity3d ,[麓谷]
中广汇智,Unity3D软件开发工程师,6k-10k,其他 上市公司 150-500人,经验1-3年 本科,“周末双休、项目奖金、免费班车、年终奖金”,移动互联网 Unity3d C/C++ ,[长沙县]
三一,java高级工程师,13k-25k,汽车丨出行 上市公司 2000人以上,经验3-5年 本科,“车联网，五险一金，大数据”,汽车 中间件 分布式 服务器端 J2EE ,[长沙县]
中通服创发科技有限责任公司,应急响应工程师,8k-15k,"移动互联网,电商 上市公司 150-500人",经验3-5年 本科,“一切皆有可能”,移动互联网 信息安全 Linux 安全 ,[张公岭]
蜜獾信息,.NET高级(SC0203),14k-18k,移动互联网 不需要融资 150-500人,经验3-5年 本科,"“五险一金,超长带薪期,周末双休,年终奖金”",C#/.NET ,[岳麓区]
蜜獾信息,.NET高级（SB0203）,14k-18k,移动互联网 不需要融资 150-500人,经验5-10年 本科,"“五险一金,超长带薪期,周末双休,年终奖金”",C#/.NET ,[岳麓区]
美创客互联,.NET开发工程师,6k-10k,物联网 未融资 15-50人,经验3-5年 大专,“发展空间大、90后团队”,.NET 后端 ,[岳麓区]
美创客互联,软件开发工程师,5k-8k,物联网 未融资 15-50人,经验1-3年 本科,“注重职业发展、项目奖金”,后端 软件开发 ,[岳麓区]
中国电建中南院,bim研发工程师,10k-20k,其他 未融资 2000人以上,经验3-5年 大专,“福利待遇好”,软件开发 C++ 系统架构 解决方案 ,[圭塘]
中国电建中南院,系统开发工程师,10k-15k,其他 未融资 2000人以上,经验不限 本科,“福利待遇好”,C Java Python ,[圭塘]
中航信息,高级.net开发工程师,8k-12k,"移动互联网,数据服务 不需要融资 50-150人",经验3-5年 本科,“五险一金 周末双休”,.NET ,[岳麓区]
O米支付,.NET初级开发工程师,5k-8k,"移动互联网,金融 不需要融资 50-150人",经验1-3年 大专,“资深技术团队、行业前沿产品、良好发展前景”,.NET C# ,[芙蓉区]
长沙眸瑞,系统架构师,15k-30k,"移动互联网,企业服务 不需要融资 50-150人",经验5-10年 本科,“微服务架构，springcloud”,系统架构 ,[雨花亭]
湖南卓帆,.net高级软件工程师,10k-15k,软件开发 未融资 150-500人,经验3-5年 本科,“五险一金；年底双薪；项目奖金；过节费”,教育 ,[岳麓区]
厚溥教育,.NET培训讲师,6k-11k,"教育,电商 未融资 150-500人",经验1-3年 本科,“带薪寒假、福利待遇好”,教育 C#/.NET Linux/Unix ,[岳麓区]
Trasen,.net高级开发工程师,8k-15k,"医疗丨健康,移动互联网 上市公司 150-500人",经验3-5年 本科,“你想要的平台”,医疗健康 ,[岳麓区]
都正生物,.net开发工程师,8k-13k,"其他,数据服务 不需要融资 50-150人",经验3-5年 不限,“绩效奖金 加班补助 全勤奖 员工旅游”,后端 C#/.NET ,[望岳]
中拓电子商务,高级前端工程师,20k-30k,"电商,移动互联网 上市公司 50-150人",经验5-10年 不限,“年终绩效 业绩提成 五险一金 定期旅游”,HTML5 CSS Web前端 ,[韶山南路]
ZTE中兴,it运维,10k-20k,"数据服务,信息安全 上市公司 2000人以上",经验3-5年 本科,“福利待遇好”,通信/网络设备 IT支持 应用运维 数据库 ,[岳麓区]
