公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
拓维信息,c++开发工程师,11k-17k·13薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“五险一金，定期体检，年终奖金，绩效奖金”,C++ C ,[岳麓区]
拓维信息,linux c/c++开发工程师,10k-17k·13薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“五险一金，定期体检，年终奖金，绩效奖金”,C++ ,[岳麓区]
天河国云,golang/C++研发工程师,8k-15k,"移动互联网,金融 天使轮 50-150人",经验不限 本科,“行业领先，大牛带队”,C++ Golang ,[长沙县]
华锐金融技术,C++研发技术专家（J10116）,20k-30k,"移动互联网,金融 B轮 150-500人",经验5-10年 本科,“股权激励 员工食堂 高科技高成长”,金融 分布式 中间件 C++ 后端 ,[岳麓区]
联软科技,C++高级开发工程师,15k-25k,信息安全 A轮 500-2000人,经验3-5年 本科,"“五险一金,带薪年假,月度绩效”",后端 Linux/Unix Windows ,[咸嘉湖]
华锐金融技术,c++工程师(J10145),9k-15k,"移动互联网,金融 B轮 150-500人",经验应届毕业生 本科,“五险一金 加班补贴 有战斗力的团队”,C++ 分布式 软件开发 ,[岳麓区]
特能博世科技,c++研发工程师,8k-12k,"数据服务,其他 未融资 150-500人",经验不限 本科,“五险一金、绩效奖金、年终分红、带薪年假等”,C++ C ,[天心区]
联软科技,linux c/c++开发工程师,12k-24k,信息安全 A轮 500-2000人,经验3-5年 本科,“行业和公司发展前景良好”,信息安全 C++ ,[咸嘉湖]
长沙掌控科技,c++开发工程师,12k-18k,"移动互联网,游戏 未融资 50-150人",经验3-5年 本科,“五险一金、项目奖金，年底奖金，提供食宿”,C++ C ,[麓谷]
优锘科技(uinnova),c++开发工程师,7k-13k·15薪,"移动互联网,企业服务 B轮 500-2000人",经验1-3年 本科,“可视化 ，大数据，机会多，团队牛，15薪”,C++ ,[岳麓区]
潭州教育,Java/python/c++讲师（食宿·+五险）,8k-16k,教育 B轮 2000人以上,经验3-5年 本科,“带薪岗前培训 一年多次加薪、晋升”,MySQL 后端 架构师 ,[岳麓区]
格是菁华,C++,7k-14k,"企业服务,其他 天使轮 少于15人",经验1-3年 本科,“双休、五险一金、弹性工作、13薪、股权”,QT MySQL ,[万家丽]
久久财务,软件工程师c++,18k-36k,电商 未融资 15-50人,经验1-3年 本科,“稳定 加班少”,,[岳麓区]
道通科技,c++开发工程师,15k-30k,其他 A轮 500-2000人,经验3-5年 本科,“丰厚年终奖+项目奖金+晋升空间”,C++ QT MFC ,[麓谷]
大可科技,软件工程师c++,6k-8k,教育、其他 未融资 15-50人,经验不限 本科,"“公司处在发展阶段,机会多”",工具软件 视频 客户端 C++ 音视频 ,[开福区]
北云科技,C/C++软件工程师,10k-15k,移动互联网 C轮 15-50人,经验不限 硕士,"“五险一金,绩效奖金,员工旅游,股票期权”",C C++ Linux/Unix ,[麓谷]
深圳航天工业技术研究院,c++开发工程师,8k-15k,其他 不需要融资 50-150人,经验3-5年 本科,“军工央企”,工具软件 通信/网络设备 C++ C MySQL ,[岳麓区]
游龙科技,LinuxC/C++网络内核开发工程师,10k-20k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“五险一金、节日福利”,年底双薪 带薪年假 岗位晋升 扁平管理 ,[侯家塘]
炎龙科技,c++/qt开发工程师,10k-15k,"游戏,移动互联网 未融资 50-150人",经验3-5年 大专,“公司有工作餐，旅游，团建，下午茶，五险”,C++ ,[岳麓区]
桥康智能,C++软件开发工程师,10k-20k,数据服务 不需要融资 50-150人,经验1-3年 本科,“餐补、带薪年假、节日福利、目标上市赚钱”,C++ QT Python 图像处理 ,[侯家塘]
拓维信息,C/C++开发,12k-20k,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“五险一金，带薪年假，节假日福利”,C C++ ,[麓谷]
云之翼,c/c++开发工程师,10k-18k,"数据服务,企业服务 不需要融资 50-150人",经验3-5年 大专,“专业培训 岗位晋升”,云计算 大数据 C C++ Linux/Unix 后端 ,[三一大道]
湖南优浪语音,C++软件工程师,9k-12k,移动互联网 未融资 50-150人,经验1-3年 本科,"“五险一金,双休”",MFC QT C++ ,[岳麓山]
人和未来,c++高级工程师,10k-20k,"医疗丨健康,数据服务 A轮 150-500人",经验5-10年 本科,“技术** 基因大数据 云计算”,医疗健康 C C++ 分布式 内核开发 ,[开福区]
佳讯飞鸿,C/C++开发,15k-25k,"数据服务,文娱丨内容 上市公司 150-500人",经验3-5年 本科,“餐补、七险一金、带薪年假”,软件开发 ,[岳麓区]
湖南澄科,C++高级软件工程师,10k-18k·13薪,"移动互联网,数据服务 未融资 15-50人",经验5-10年 本科,“互联网”,移动互联网 ,[岳麓区]
道通科技,c++开发工程师,15k-30k·15薪,其他 A轮 500-2000人,经验5-10年 本科,“平台广 丰厚的年终奖”,C++ ,[岳麓区]
猎狗网络,c++开发工程师,10k-20k,电商、软件开发 未融资 15-50人,经验3-5年 大专,“公司包餐”,电商 服务器端 ,[岳麓区]
新星心,c++工程师,8k-15k,硬件 不需要融资 15-50人,经验3-5年 本科,“清华团队，科技部支持，精准定位领军企业。”,体育 企业服务 C++ IOS Linux/Unix 平台 ,[伍家岭]
游日网络,c++服务端,15k-20k,移动互联网 / /,经验3-5年 本科,“公司氛围活跃，全江景办公，期待你的加入”,C++ 服务器端 数据库 软件开发 ,[开福区]
长沙开元仪器,C++软件工程师,8k-15k,"移动互联网,电商 上市公司 500-2000人",经验1-3年 本科,“上市公司+精英团队+良好的晋升空间”,C++ C#/.NET C ,[长沙县]
诚和达,c++开发工程师,8k-12k,移动互联网 未融资 50-150人,经验3-5年 本科,“年终奖励、包住、餐补、社保、晋升发展空间”,Linux/Unix C++ ,[岳麓区]
先进院,c++开发工程师,8k-15k,"通讯电子,软件开发 不需要融资 15-50人",经验不限 本科,“command 游戏可以玩玩”,后端 软件开发 中间件 自然语言处理 ,[岳麓区]
Ehomepoct,图像算法工程师,15k-20k,"移动互联网,医疗丨健康 天使轮 50-150人",经验3-5年 本科,“五险一金 节日福利 带薪年假”,医疗健康 深度学习 ,[雨花区]
Ehomepoct,嵌入式软件工程师,8k-15k,"移动互联网,医疗丨健康 天使轮 50-150人",经验3-5年 本科,“五险一金节日福利年底双薪带薪年假”,ARM ,[雨花区]
草花互动,资深服务器开发工程师,13k-20k,游戏 不需要融资 150-500人,经验3-5年 大专,“五险一金 工作餐 体检 年终奖 旅游等”,C++ 后端 服务器端 游戏开发 ,[岳麓区]
天河国云,区块链研发工程师,8k-15k,"移动互联网,金融 天使轮 50-150人",经验不限 本科,“行业领头羊，大牛带队”,C++ Golang 区块链 ,[长沙县]
海典软件,CTO/技术总监,40k-80k,医疗丨健康 上市公司 150-500人,经验5-10年 本科,“公司行业领先，互联网医药，大牛团队”,医疗健康 新零售 高级技术管理 技术管理 团队建设 领导力 ,[望岳]
长城金融,视频开发工程师,15k-25k,移动互联网 上市公司 500-2000人,经验不限 本科,"“朝阳行业,央企,五百强”",视频编解码 ,[长沙县]
赢时胜软件,高级DevOps开发工程师,12k-20k,金融 上市公司 500-2000人,经验不限 本科,"“绩效奖金,年终奖金,股权激励”",DevOps ,[伍家岭]
鼎捷软件,软件开发工程师,6k-8k,其他 上市公司 2000人以上,经验应届毕业生 本科,“扁平管理 上市公司”,软件开发 数据库 MySQL ,[芙蓉区]
联软科技,windows开发工程师,15k-25k,信息安全 A轮 500-2000人,经验3-5年 本科,"“五险一金,带薪年假,月度绩效”",信息安全 C++ Windows ,[咸嘉湖]
湖南大简科技有限公司,测试工程师,6k-8k,"移动互联网,电商 天使轮 15-50人",经验3-5年 大专,“有良好的发展前景及高于同行的薪酬待遇。”,年终分红 带薪年假 午餐补助 交通补助 ,[天心区]
顺风传媒,数字营销技术总监,10k-15k,"广告营销,其他 未融资 50-150人",经验5-10年 本科,“数字资产的开拓者”,部门管理 技术管理 团队建设 高级技术管理 ,[天心区]
腾讯,36665-乘车码后台开发工程师（腾讯云全资子公司）,13k-26k·16薪,社交 上市公司 2000人以上,经验3-5年 本科,“大厂”,Java ,[岳麓区]
