公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
海鹚科技,高级java开发工程师,14k-20k,移动互联网 C轮 150-500人,经验5-10年 本科,“福利待遇好”,docker 分布式 中间件 ,[岳麓区]
灵之心,高级java开发工程师,15k-30k,"教育,软件开发 未融资 15-50人",经验3-5年 本科,“前景佳 氛围好 福利齐全”,教育 图像处理 ,[岳麓区]
维斯登,高级java开发工程师,8k-15k,医疗丨健康 未融资 50-150人,经验5-10年 大专,“五险一金 做五休二”,医疗健康 Java ,[岳麓区]
Ehomepoct,java高级开发工程师,12k-20k,"移动互联网,医疗丨健康 天使轮 50-150人",经验3-5年 本科,“五险一金 节日福利 带薪年假”,医疗健康 大数据 Java ,[雨花区]
数金在线,java开发工程师,10k-15k,"硬件,软件开发 未融资 500-2000人",经验3-5年 本科,“五险一金，季度团建”,后端 分布式 ,[观沙岭]
芒果tv,高级java开发工程师,12k-18k·13薪,文娱丨内容 上市公司 500-2000人,经验5-10年 本科,“福利好”,Java ,[三一大道]
小算科技,Java,6k-8k,移动互联网 天使轮 150-500人,经验1-3年 大专,“五险一金”,,[天心区]
诚毅软件,Java开发工程师,8k-12k·13薪,企业服务 不需要融资 150-500人,经验1-3年 本科,“六险一金技术培训带薪假期加班补贴年终奖金”,企业服务 Java 后端 ,[雨花区]
天河国云,高级java开发工程师,10k-15k,"移动互联网,金融 天使轮 50-150人",经验3-5年 本科,“双休、五险一金”,Java ,[长沙县]
58到家,高级java开发工程师,12k-20k·14薪,消费生活 D轮及以上 2000人以上,经验3-5年 本科,“强大平台、优厚薪资、扁平管理、六险一金”,Java ,[咸嘉湖]
数魔,JAVA工程师,8k-13k,"电商,数据服务 天使轮 50-150人",经验3-5年 本科,“双休、项目奖金、五险一金、舒适办公环境”,大数据 电商 Java MySQL ,[岳麓区]
Anker,高级Java开发工程师,12k-20k,移动互联网 不需要融资 500-2000人,经验5-10年 本科,"“一日三餐,五险一金”",Java ,[岳麓区]
凌志软件,java开发工程师,10k-15k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“上市公司，年底双薪，国休不补班，周末双休”,金融 Java ,[麓谷]
联合众为,java高级开发工程师,10k-15k,"硬件,信息安全 不需要融资 150-500人",经验3-5年 本科,“五险一金 带薪年假”,后端 J2EE ,[岳麓区]
厦门唐普,java开发工程师,10k-15k,"企业服务,数据服务 B轮 50-150人",经验3-5年 大专,“双休”,本地生活 新零售 Java 分布式 ,[树木岭]
中国软件,java高级开发工程师,13k-18k·13薪,软件开发 上市公司 150-500人,经验5-10年 本科,“央企上市公司、具有竞争力的薪资福利”,移动互联网 通信/网络设备 Java MySQL 后端 ,[岳麓区]
中国软件,java开发工程师,8k-16k·13薪,软件开发 上市公司 150-500人,经验3-5年 本科,“央企上市公司、具有竞争力的薪资福利”,信息安全 Java Python 全栈 ,[岳麓区]
雅高彩印,java开发工程师,6k-12k·13薪,其他 不需要融资 15-50人,经验1-3年 本科,“工业4.0”,电商 新零售 ,[开福区]
拓维信息,高级java开发工程师,12k-18k,"移动互联网,教育 上市公司 2000人以上",经验5-10年 本科,“五险一金，定期体检，年终奖金，项目奖金”,Java Linux/Unix 架构师 ,[岳麓区]
长城金融,java开发工程师,10k-15k,移动互联网 上市公司 500-2000人,经验3-5年 不限,"“朝阳行业,央企,五百强”",后端 J2EE ,[长沙县]
赢时胜软件,Java高级开发工程师,12k-20k,金融 上市公司 500-2000人,经验5-10年 本科,"“绩效奖金,职位晋升,年终奖金,股权激励”",金融 Java ,[伍家岭]
竹间智能科技(上海)有限公司,Java开发工程师,8k-12k,"移动互联网,其他 B轮 150-500人",经验3-5年 大专,“人工智能，弹性工作，福利好”,Java ,[岳麓区]
奥途网络,java开发工程师,9k-15k·13薪,软件开发 不需要融资 150-500人,经验1-3年 本科,“公司规模大，管理规范，技术全面”,Java 后端 软件开发 ,[长沙县]
巧房科技,java开发工程师,10k-15k,"移动互联网,企业服务 C轮 150-500人",经验3-5年 本科,“五险一金，周末双休，扁平管理”,Java ,[咸嘉湖]
易观,高级Java开发工程师,15k-20k,"移动互联网,数据服务 B轮 150-500人",经验5-10年 本科,“带薪年假、技能培训、弹性工作、扁平管理”,大数据 Java ,[岳麓区]
校管家,java高级开发工程师,15k-25k,移动互联网 A轮 150-500人,经验5-10年 本科,“六险一金，周末双休，节假日福利等”,Java 后端 ,[岳麓区]
特能博世科技,JAVA开发工程师,10k-15k,"数据服务,其他 未融资 150-500人",经验3-5年 本科,“差旅补助 季度奖金 年终奖金”,工具软件 信息安全 后端 中间件 服务器端 客户端 ,[城南路]
厦门唐普,"JAVA(springcloud,spngboot)",10k-14k,"企业服务,数据服务 B轮 50-150人",经验3-5年 大专,“周末双休”,,[雨花区]
中项永达,java开发工程师,9k-14k,"企业服务,数据服务 不需要融资 150-500人",经验3-5年 大专,“晋升空间大、纯粹办公文化、可持续发展行业”,信息安全 Java ,[岳麓区]
悦行互联,java高级开发工程师,11k-16k,移动互联网 不需要融资 15-50人,经验5-10年 本科,“餐补、五险一金，下午茶”,后端 分布式 ,[麓谷]
金烽信息,Java开发工程师,7k-13k,移动互联网 不需要融资 150-500人,经验3-5年 本科,"“五险一金,双休”",Java ,[麓谷]
网信,java高级开发工程师,12k-20k,"电商,企业服务 上市公司 500-2000人",经验5-10年 本科,“劳保、餐补、项目奖、年终奖、体检、旅游”,后端 J2EE docker 分布式 ,[东屯渡]
海典软件,JAVA开发资深主管,16k-25k,医疗丨健康 上市公司 150-500人,经验5-10年 本科,“学习型组织，获得快速成长”,电商 分布式 ,[岳麓区]
海典软件,中高级java开发工程师,13k-21k·13薪,医疗丨健康 上市公司 150-500人,经验5-10年 本科,“B端产业互联网化大势所趋，想象空间巨大”,电商 医疗健康 Java 分布式 ,[岳麓区]
华资软件,Java开发工程师（长沙）,7k-13k·15薪,"移动互联网,数据服务 上市公司 500-2000人",经验1-3年 本科,“大平台，福利好，不加班，六险一金”,企业服务 工具软件 Java docker MySQL 后端 ,[五一大道]
