公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
美创客互联,前端开发工程师,4k-6k·13薪,物联网 未融资 15-50人,经验1-3年 本科,“年轻团队、注重发展、”,前端开发 Vue Web前端 HTML5 ,[岳麓区]
维斯登,前端工程师,8k-12k,医疗丨健康 未融资 50-150人,经验3-5年 大专,“发展空间大”,前端开发 Web前端 ,[望城区]
爱员工,前端开发工程师,12k-24k,移动互联网 B轮 150-500人,经验3-5年 本科,"“牛人多,架构扁平,上升空间大”",Web前端 Vue Flutter Angular ,[麓谷]
数魔,前端工程师,10k-15k,"电商,数据服务 天使轮 50-150人",经验3-5年 本科,“双休、项目奖金、五险一金、舒适办公环境”,大数据 前端开发 Vue React jQuery ,[岳麓区]
凌志软件,前端开发工程师,10k-15k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“上市公司，年底双薪，国休不补班，周末双休”,移动端 Web前端 Vue ,[麓谷]
竞网,前端工程师,8k-14k,"移动互联网,电商 不需要融资 500-2000人",经验3-5年 大专,“五险一金、年终13-14薪”,前端开发 移动端 Web前端 CSS ,[岳麓区]
天创,前端开发工程师,14k-28k,"移动互联网,社交 不需要融资 50-150人",经验1-3年 本科,“五险一金 年底双薪 带薪休假 出国旅游”,社交 移动互联网 前端开发 Android IOS React native ,[坡子街]
土流网,Javascript 前端开发工程师,6k-10k,消费生活 C轮 150-500人,经验不限 本科,“公司平台大，晋升空间大”,前端开发 ,[涂家冲]
赢时胜软件,前端开发工程师,10k-15k,金融 上市公司 500-2000人,经验3-5年 本科,"“绩效奖金,年终奖金,股权激励”",前端开发 ,[伍家岭]
竹间智能科技(上海)有限公司,前端开发工程师,9k-12k,"移动互联网,其他 B轮 150-500人",经验1-3年 不限,“人工智能，弹性工作，福利好”,React jQuery Vue ,[岳麓区]
新贵族教育咨询,前端开发工程师,12k-13k,教育 未融资 少于15人,经验3-5年 本科,“良好的审美，好的待遇”,移动互联网 音乐 前端开发 ,[长沙县]
通铭教育,前端工程师,8k-10k,"企业服务,教育 上市公司 150-500人",经验1-3年 本科,“福利好、大牛云集”,Vue React Angular ,[岳麓区]
巧房科技,前端开发工程师,10k-15k·13薪,"移动互联网,企业服务 C轮 150-500人",经验1-3年 本科,“五险一金，周末双休，扁平管理”,前端开发 HTML Javascript CSS ,[咸嘉湖]
易观,前端开发工程师,10k-15k,"移动互联网,数据服务 B轮 150-500人",经验3-5年 本科,“技能培训、弹性工作、扁平管理、氛围融洽”,大数据 前端开发 HTML5 Vue Javascript ,[岳麓区]
校管家,前端开发工程师,12k-16k,"移动互联网,教育 A轮 150-500人",经验3-5年 本科,“六险一金、周末双休、节假日福利、员工体检”,前端开发 Web前端 Angular React ,[麓谷]
凯德技术,前端开发工程师,10k-15k,软件开发 未融资 150-500人,经验5-10年 大专,“福利待遇好，发展前景广阔”,前端开发 ,[开福区]
新数物联,前端开发工程师,6k-9k·13薪,"信息安全,软件开发 不需要融资 15-50人",经验1-3年 不限,“态势感知平台开发”,信息安全 前端开发 ,[天心区]
网信,前端开发工程师,10k-20k,"电商,企业服务 上市公司 500-2000人",经验5-10年 本科,“年底双薪，年终奖，饭补，公积金12%”,Web前端 ,[东屯渡]
腾云悦智,前端架构师,20k-30k,"企业服务,信息安全 不需要融资 500-2000人",经验5-10年 本科,“大牛带队，发展空间大”,前端开发 ,[岳麓区]
海典软件,中高级前端开发工程师,12k-20k·13薪,医疗丨健康 上市公司 150-500人,经验3-5年 本科,“B端产业互联网化大势所趋，想象空间巨大”,电商 医疗健康 Vue Node.js ES6 ,[岳麓区]
灵之心,web前端开发工程师,7k-10k,"教育,软件开发 未融资 15-50人",经验3-5年 不限,“前景佳 氛围好 福利齐全”,教育 前端开发 CSS ,[岳麓区]
聚之唯,Web前端工程师,8k-12k,软件开发、企业服务 天使轮 少于15人,经验3-5年 不限,“朝阳行业，年终奖，旅游，节日福利”,工具软件 ,[岳麓区]
诚毅软件,web前端开发工程师,7k-10k,企业服务 不需要融资 150-500人,经验不限 本科,“六险一金加班补贴专业培训年终奖带薪年假”,bootstrap Web前端 React native Vue ,[侯家塘]
