公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
湖南视拓信息,DBA,12k-20k,"移动互联网,企业服务 不需要融资 150-500人",经验3-5年 大专,“五险一金 项目奖金 年终奖金”,Oracle Linux Openstack ,[劳动西路]
海创智能,dba数据库管理员,4k-6k,"教育,数据服务 不需要融资 15-50人",经验不限 大专,“早九晚五、双休、五险一金、年底双薪”,MongoDB MySQL SQLServer ,[雨花区]
芒果tv,php开发工程师,12k-18k,文娱丨内容 上市公司 500-2000人,经验3-5年 本科,“福利好”,电商 ,[三一大道]
绝味食品,PHP高级开发工程师,12k-24k,"电商,广告营销 上市公司 2000人以上",经验5-10年 本科,“五险一金，双休，包中餐”,PHP Golang Java ,[火星]
绝味食品,服务器运维工程师,10k-20k,"电商,广告营销 上市公司 2000人以上",经验3-5年 本科,“五险一金，双休，包中餐”,CDN Zabbix/Prometheus Python ,[火星]
海典软件,JAVA开发资深主管,16k-25k,医疗丨健康 上市公司 150-500人,经验5-10年 本科,“学习型组织，获得快速成长”,电商 分布式 ,[岳麓区]
海典软件,中高级java开发工程师,13k-21k·13薪,医疗丨健康 上市公司 150-500人,经验5-10年 本科,“B端产业互联网化大势所趋，想象空间巨大”,电商 医疗健康 Java 分布式 ,[岳麓区]
维斯登,java开发应届生,3k-6k,医疗丨健康 未融资 50-150人,经验1年以下 大专,“发展空间大”,Java ,[岳麓区]
数金在线,java开发工程师,10k-15k,"硬件,软件开发 未融资 500-2000人",经验3-5年 本科,“五险一金，季度团建”,后端 分布式 ,[观沙岭]
芒果tv,高级java开发工程师,12k-18k·13薪,文娱丨内容 上市公司 500-2000人,经验5-10年 本科,“福利好”,Java ,[三一大道]
蓝岭信息技术有限公司,crm软件开发,6k-12k,"企业服务,移动互联网 不需要融资 50-150人",经验1-3年 本科,“周末双休 岗前培训 年度旅游 各类补贴”,云计算 大数据 Java MySQL HTML5 C# ,[芙蓉区政府]
