公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
芒果tv,php开发工程师,12k-18k,文娱丨内容 上市公司 500-2000人,经验3-5年 本科,“福利好”,电商 ,[三一大道]
中广汇智,php开发工程师,7k-10k,其他 上市公司 150-500人,经验1-3年 本科,“周末双休 项目奖金 扁平化管理 气氛活跃”,PHP MySQL ,[长沙县]
天创,php开发工程师,15k-25k,"移动互联网,社交 不需要融资 50-150人",经验1-3年 本科,“五险一金 年底双薪 带薪休假 出国旅游”,移动互联网 社交 PHP Python MySQL 架构师 ,[坡子街]
绝味食品,PHP高级开发工程师,12k-24k,"电商,广告营销 上市公司 2000人以上",经验5-10年 本科,“五险一金，双休，包中餐”,PHP Golang Java ,[火星]
百变大侦探,php后端开发工程师,12k-16k·13薪,"移动互联网,文娱丨内容 不需要融资 15-50人",经验3-5年 本科,“五险一金 周末双休 带薪年假”,社交 移动互联网 PHP Golang 后端 ,[岳麓区]
数魔,PHP后端开发工程师,12k-18k,"电商,数据服务 天使轮 50-150人",经验5-10年 本科,“双休、项目奖金、五险一金、舒适办公环境”,PHP 后端 MySQL ,[岳麓区]
天创,PHP高级工程师,15k-25k,"移动互联网,社交 不需要融资 50-150人",经验3-5年 本科,“如能胜任技术总监一职，月薪可达25K”,后端 PHP ,[天心区]
草花互动,高级php开发工程师,15k-20k·13薪,游戏 不需要融资 150-500人,经验5-10年 本科,“五险一金、年度奖金、父母津贴、无息贷款”,游戏 PHP ,[岳麓区]
汇聚云,php架构师,15k-25k,软件开发 未融资 少于15人,经验5-10年 本科,“新零售，云计算”,新零售 云计算 PHP 架构师 ,[圭塘]
腾讯,22989-腾讯云域名产品PHP后端研发工程师,12k-20k,社交 上市公司 2000人以上,经验3-5年 本科,“平台大，发展快，待遇好，福利棒”,后端 PHP ,[岳麓区]
湖南盛大金禧金融集团,PHP,7k-10k,金融 不需要融资 2000人以上,经验3-5年 本科,“大平台发展空间大，福利待遇好，制度完善”,金融 MySQL ,[开福区]
长沙市云研网络科技有限公司,PHP中高级开发工程师,8k-15k,"移动互联网,消费生活 未融资 15-50人",经验3-5年 本科,“双休、五险、半年调薪一次的机会”,云计算 移动互联网 PHP MySQL Linux/Unix Yii ,[天心区]
欧昇电子商务,php开发工程师,7k-14k·13薪,"电商,软件开发 不需要融资 少于15人",经验3-5年 大专,“发展空间大”,PHP ,[芙蓉区]
映客直播,php高级开发工程师,12k-18k·14薪,"移动互联网,社交 上市公司 150-500人",经验3-5年 本科,“上市公司”,PHP ,[麓谷]
赛思互动,PHP开发工程师,5k-9k,"移动互联网,企业服务 未融资 15-50人",经验1-3年 不限,“五险一金、双休、通讯助补、餐补”,PHP ,[侯家塘]
楼盘网,中/高级PHP开发工程师,8k-12k,"移动互联网,电商 A轮 150-500人",经验3-5年 大专,“PHP、中级开发工程师”,软件开发 ,[黄土岭]
长沙易蓬,php开发工程师,7k-10k,电商、企业服务 未融资 15-50人,经验1-3年 不限,“湖南高桥大市场电商和外贸平台软件服务商”,电商 PHP ,[岳麓区]
极点通信,PHP开发工程师,6k-8k,移动互联网 / /,经验3-5年 大专,“项目分红、扁平化管理”,企业服务 后端 分布式 ,[长沙县]
奇忆果,php后端,5k-10k,企业服务、软件开发 天使轮 少于15人,经验1-3年 大专,“年轻活力灵活高成长”,企业服务 移动互联网 后端 服务器端 客户端 平台 ,[伍家岭]
北归,php开发工程师,4k-8k,"移动互联网,教育 天使轮 少于15人",经验不限 不限,“新浪微博架构师带队研发项目”,PHP 后端 ,[岳麓区]
添豆,php开发工程师,10k-18k,电商 天使轮 50-150人,经验1-3年 大专,“加班补助，节假日带薪休假，不定期团建”,电商 ,[雨花区]
博卡网络,php后端,5k-10k,"移动互联网,电商 未融资 15-50人",经验1-3年 不限,“团队氛围棒，大牛带路”,电商 新零售 ,[长沙县]
努一天网络科技,php开发工程师,6k-9k,软件开发 未融资 少于15人,经验1-3年 不限,“弹性制上下班、五险、不定期团建活动”,移动互联网 MySQL ,[岳麓区]
启新信息,php开发工程师,7k-12k,"电商,软件开发 不需要融资 50-150人",经验1-3年 大专,“支持远程办公”,移动互联网 新零售 后端 服务器端 PHP 数据挖掘 ,[望岳]
长沙昂晟信息科技有限公司,php,6k-8k,"移动互联网,电商 未融资 15-50人",经验3-5年 大专,“发展前景好，团队氛围好”,,[芙蓉区政府]
兴隆仓电子商务中心,php开发工程师,4k-7k,电商 不需要融资 50-150人,经验不限 大专,"“年轻团队,有发展空间”",电商 PHP MySQL ,[芙蓉区]
长沙全速,php开发工程师,9k-14k,"移动互联网,游戏 未融资 50-150人",经验3-5年 大专,“项目奖金，开发培训”,PHP 后端 ,[岳麓区]
大汉电商,PHP开发工程师,10k-15k,"电商,移动互联网 A轮 50-150人",经验3-5年 本科,“周末双休五险一金定期体检交通补助节日福利”,电商 企业服务 ,[望城区]
联美优选,php开发工程师,7k-12k,电商 不需要融资 少于15人,经验3-5年 大专,“能力优异者可享受项目分红或公司期权”,电商 后端 PHP MySQL ,[望城区]
长沙昂晟信息科技有限公司,php开发工程师,6k-8k,"移动互联网,电商 未融资 15-50人",经验1-3年 大专,“公司氛围融洽，年轻有活力，期待您的加入！”,后端 MySQL PHP ,[清水塘]
度辰网络,php开发工程师,10k-14k,软件开发 不需要融资 15-50人,经验5-10年 本科,“1，2”,游戏 移动互联网 PHP MySQL 后端 数据库 ,[岳麓区]
湖南比诺牛,php开发工程师,5k-10k,"电商,社交 不需要融资 15-50人",经验1-3年 大专,“周末双休，法定节假日，带薪年假，工作餐”,PHP MySQL Node.js HTML/CSS ,[远大路]
银生宝电子支付服务,php,5k-9k,金融 不需要融资 150-500人,经验1-3年 大专,“福利待遇好”,其他 后端 ,[开福区]
添豆,php高级工程师,10k-15k,电商 天使轮 50-150人,经验3-5年 大专,“晋升空间大，福利高”,电商 新零售 PHP MySQL ,[雨花区]
炎龙科技,高级PHP,13k-18k,"游戏,移动互联网 未融资 50-150人",经验5-10年 本科,“五险一金、年底双薪、带薪旅游、包吃等”,后端 PHP ,[岳麓区]
飓风网络,php开发工程师,5k-9k,"游戏,移动互联网 天使轮 50-150人",经验应届毕业生 本科,“团队专业、福利好、假期多、吃喝玩乐”,后端 PHP 平台 ,[雨花区]
慧而乐,PHP软件开发工程师,7k-9k,"移动互联网,教育 不需要融资 50-150人",经验1-3年 大专,“双休，包食宿”,教育 PHP MySQL JS Laravel ,[浏阳市]
浩月信息,PHP全栈工程师,8k-15k·13薪,"移动互联网,游戏 不需要融资 15-50人",经验3-5年 不限,“五险一金、13薪、技术大牛”,游戏 后端 服务器端 IOS 全栈 ,[岳麓区]
度辰网络,php程序员,8k-12k,软件开发 不需要融资 15-50人,经验5-10年 本科,“五险”,后端 Laravel ,[岳麓区]
众讯品牌,php程序员,4k-8k,"移动互联网,电商 未融资 少于15人",经验3-5年 不限,“招募CTO合伙人”,PHP ,[桐梓坡]
数魔,PHP后端工程师,6k-11k,"电商,数据服务 天使轮 50-150人",经验1-3年 本科,“发展前景，福利待遇”,后端 ,[麓谷]
万优科技,php全栈,4k-8k,"移动互联网,区块链 B轮 15-50人",经验应届毕业生 本科,“五险一金，上九下六，周末休息”,社交 金融 ,[开福区]
湖南度百网络营销有限公司,php主管,15k-25k,移动互联网 未融资 15-50人,经验3-5年 本科,“双休 五险一金 分红”,本地生活 电商 ,[雨花区]
维斯登,测试工程师,7k-10k,医疗丨健康 未融资 50-150人,经验3-5年 本科,“平台发展空间大”,功能测试 性能测试 ,[岳麓区]
绝味食品,服务器运维工程师,10k-20k,"电商,广告营销 上市公司 2000人以上",经验3-5年 本科,“五险一金，双休，包中餐”,CDN Zabbix/Prometheus Python ,[火星]
百变大侦探,golang开发工程师,12k-16k·13薪,"移动互联网,文娱丨内容 不需要融资 15-50人",经验3-5年 本科,“五险一金 周末双休 带薪年假”,社交 移动互联网 PHP Golang 后端 ,[岳麓区]
同程旅行,全栈工程师,15k-25k,旅游 上市公司 2000人以上,经验5-10年 本科,“上市公司”,后端 爬虫工程师 前端开发 ,[银盆岭]
数魔,高级python工程师,15k-20k·13薪,"电商,数据服务 天使轮 50-150人",经验3-5年 本科,“双休、项目奖金、五险一金、舒适环境”,大数据 电商 数据采集 数据抓取 Python MySQL ,[岳麓区]
凌志软件,前端开发工程师,10k-15k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“上市公司，年底双薪，国休不补班，周末双休”,移动端 Web前端 Vue ,[麓谷]
竹间智能科技(上海)有限公司,前端开发工程师,9k-12k,"移动互联网,其他 B轮 150-500人",经验1-3年 不限,“人工智能，弹性工作，福利好”,React jQuery Vue ,[岳麓区]
逻辑,python,5k-7k,"移动互联网,教育 未融资 15-50人",经验1-3年 大专,“五险，发展空间大，生日福利，年度绩效”,爬虫 ,[望岳]
顺风传媒,产品支持总监,10k-12k,"广告营销,其他 未融资 50-150人",经验5-10年 本科,“数字资产的开拓者”,大数据 原型设计 流程设计 产品设计 交互设计 ,[天心区]
顺风传媒,数字营销技术总监,10k-15k,"广告营销,其他 未融资 50-150人",经验5-10年 本科,“数字资产的开拓者”,部门管理 技术管理 团队建设 高级技术管理 ,[天心区]
腾讯,36603-高级测试工程师（腾讯云全资子公司）,12k-20k,社交 上市公司 2000人以上,经验3-5年 不限,“平台大，发展快，待遇好，福利棒”,测试开发 ,[岳麓区]
长沙朝辉房地产经纪有限责任公司一分公司,java高级开发工程师,8k-11k,房产家居 不需要融资 2000人以上,经验3-5年 本科,“Java高级开发”,Java ,[雨花区]
腾讯,web前端开发工程师,15k-24k,社交 上市公司 2000人以上,经验3-5年 本科,“来就对啦”,Node.js TypeScript Javascript ES6 ,[岳麓区]
腾云悦智,区域售前架构师,15k-20k,"企业服务,信息安全 不需要融资 500-2000人",经验3-5年 大专,“大牛带队”,定期体检 通讯津贴 绩效奖金 ,[岳麓区]
深圳市卡儿酷软件技术有限公司,Web开发实习生,2k-4k,"移动互联网,其他 不需要融资 150-500人",经验应届毕业生 不限,"“知名项目,一线锻炼,快速成长”",全栈 PHP Linux/Unix Java ,[岳麓山]
中通服创发科技有限责任公司,安全产品研发工程师,5k-8k,"移动互联网,电商 上市公司 150-500人",经验3-5年 本科,“我们能提供给你的，肯定是你希望的！”,信息安全 ,[张公岭]
芒果tv,大前端开发工程师,15k-25k,文娱丨内容 上市公司 500-2000人,经验5-10年 本科,“国企上市公司，发展空间大”,HTML HTML5 Javascript 移动端 ,[三一大道]
亚信,Web前端开发,15k-20k,"企业服务,移动互联网 上市公司 2000人以上",经验5-10年 本科,"“五险一金,年底双薪,项目奖,年度绩效奖”",前端开发 Javascript ,[岳麓区]
Kdan Mobile,运维开发工程师,5k-9k·14薪,移动互联网 A轮 50-150人,经验1-3年 本科,“五险一金、绩效奖、年终奖、旅游假、定期体验等”,股票期权 带薪年假 绩效奖金 年度旅游 ,[定王台]
