公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
数魔,python开发工程师,8k-13k,"电商,数据服务 天使轮 50-150人",经验1-3年 本科,“双休、项目奖金、五险一金、舒适办公环境”,大数据 数据抓取 爬虫 网络爬虫 爬虫工程师 ,[岳麓区]
凌志软件,python开发工程师,10k-15k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“周末双休，国休不补班，五险一金”,证券/期货 Python 后端 Shell ,[麓谷]
赢时胜软件,python开发工程师,8k-12k,金融 上市公司 500-2000人,经验3-5年 本科,"“绩效奖金,年终奖金,股权激励”",Python ,[伍家岭]
数魔,高级python工程师,15k-20k·13薪,"电商,数据服务 天使轮 50-150人",经验3-5年 本科,“双休、项目奖金、五险一金、舒适环境”,大数据 电商 数据采集 数据抓取 Python MySQL ,[岳麓区]
逻辑,python,5k-7k,"移动互联网,教育 未融资 15-50人",经验1-3年 大专,“五险，发展空间大，生日福利，年度绩效”,爬虫 ,[望岳]
深信服科技集团,python开发,15k-22k,"信息安全,企业服务 不需要融资 2000人以上",经验1-3年 本科,"“前沿技术,大平台,竞争力薪酬”",信息安全 云计算 Node.js Python 云计算 ,[麓谷]
潭州教育,Java/python/c++讲师（食宿·+五险）,8k-16k,教育 B轮 2000人以上,经验3-5年 本科,“带薪岗前培训 一年多次加薪、晋升”,MySQL 后端 架构师 ,[岳麓区]
旭科,python开发工程师,8k-12k,软件开发 未融资 15-50人,经验3-5年 本科,“大平台 成长空间大 稳定”,Python 数据库 MySQL Shell ,[岳麓区]
潭州教育,python培训讲师+可应届+食宿,8k-15k,教育 B轮 2000人以上,经验不限 大专,“一年多次晋升 专业团队 线上教育”,,[岳麓区]
蜜獾信息,python,10k-15k,移动互联网 不需要融资 150-500人,经验1-3年 本科,“技术氛围一流的牛逼团队”,后端 ,[岳麓区]
思迪信息,Python后端开发,12k-15k,"移动互联网,金融 未融资 500-2000人",经验3-5年 本科,“周末双休、带薪年假”,Python MySQL ,[麓谷]
长沙紫檀数据科技有限公司,Java Python软件工程师,6k-12k,数据服务 不需要融资 15-50人,经验不限 本科,"“周末双休,薪酬待遇优,带薪年假”",大数据 后端 J2EE Java Python ,[望岳]
卡娱网络,python,4k-8k,软件开发 未融资 少于15人,经验不限 大专,“五险一金 周末双休”,爬虫 数据抓取 数据库 ,[雨花区]
