公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
NAVER China,C++,15k-20k,"移动互联网,社交 上市公司 2000人以上",经验5-10年 本科,“最高比例公积金、上市公司、额外商业保险”,视频编解码 MFC QT ,[高新区]
旷视MEGVII,c++开发工程师,15k-25k·14薪,人工智能 D轮及以上 500-2000人,经验3-5年 本科,“AI独角兽、大牛多、福利好”,C++ ,[高新区]
成都数字天空科技有限公司,c++开发工程师,10k-12k,游戏 不需要融资 500-2000人,经验应届毕业生 本科,“周末双休 可转正 免费健身房 技术大牛多”,游戏 C++ 算法 ,[武侯区]
Aunbox,c++/QT开发工程师,8k-13k,移动互联网 未融资 150-500人,经验1-3年 本科,“发展空间大，13薪”,大数据 信息安全 C++ ,[武侯区]
华为技术有限公司,C/C++嵌入式软件开发工程师,14k-22k·13薪,通讯电子 不需要融资 2000人以上,经验不限 本科,“绩效奖金、发展空间大、500强”,通信/网络设备 C++ C 无线传输 ,[高新区]
星罗互动,C++服务器开发（初级、中级,6k-12k·13薪,游戏 未融资 50-150人,经验1-3年 大专,“五险一金、员工培训、团建、生日福利、下午茶”,游戏 Python ,[高新区]
睿智融科,c++开发工程师,7k-12k,"数据服务,企业服务 不需要融资 150-500人",经验1-3年 本科,“行业标杆-建行理财子公司大资管家！非外包”,互联网金融 C++ ,[锦江区]
人大金仓,C/C++,15k-25k,数据服务 不需要融资 150-500人,经验5-10年 本科,"“六险一金,带薪年假,发展前景好,团队氛围好”",C++ ,[高新区]
科来,C++开发工程师,15k-25k,"企业服务,其他 A轮 150-500人",经验3-5年 本科,“15薪 职业发展 领导nice”,信息安全 后端 C++ Linux/Unix ,[高新区]
科来,（2021校招）C++开发工程师,8k-10k·14薪,"企业服务,其他 A轮 150-500人",经验应届毕业生 本科,“导师制 高成长”,信息安全 C C++ ,[高新区]
生学教育,c++开发工程师,18k-22k·13薪,"移动互联网,教育 A轮 150-500人",经验5-10年 本科,“五险一金、带薪年假、年终奖金、年度体检”,大数据 移动互联网 C++ ,[高新区]
中电万维,c++开发工程师(成都0,10k-20k·13薪,软件开发 不需要融资 500-2000人,经验3-5年 本科,“年底双薪 周末双休 交通补贴”,C++ ,[高新区]
NoahMob,高级游戏C++服务器开发 / C++服务器主程,15k-25k·14薪,"移动互联网,广告营销 不需要融资 150-500人",经验3-5年 本科,"“五险一金,带薪年假,零食管够,定期团建”",游戏 C++ 服务器端 ,[青羊区]
成都佳发,C++研发工程师,6k-12k,教育 上市公司 500-2000人,经验1-3年 本科,“蓝海行业 上市公司 股权激励 项目奖金”,教育 后端 C++ ,[武侯区]
成都佳发,C++兼IOS开发工程师,6k-12k,教育 上市公司 500-2000人,经验1-3年 本科,“蓝海行业 上市公司 股权激励 项目奖金”,教育 移动端 IOS ,[武侯区]
傲梅科技,c/c++开发工程师,10k-15k,"移动互联网,电商 不需要融资 50-150人",经验3-5年 本科,“六险一金 职业发展 人性化管理”,工具软件 C++ ,[牛王庙]
成都淞幸科技,c++工程师（中高级）,9k-15k,软件开发 未融资 150-500人,经验1-3年 本科,“晋升空间，发展平台”,C C++ 软件开发 ,[白家]
江民,linux c/c++开发工程师,15k-30k,信息安全 未融资 50-150人,经验3-5年 本科,“五险一金”,Python ,[高新区]
成都主导,c++开发工程师,7k-12k,其他 不需要融资 500-2000人,经验1-3年 本科,“高铁行业、六险一金、岗位晋升、年终奖、项目奖”,C++ 数据库 数据采集 ,[文家]
东方盛行,C++开发工程师（成都）,8k-16k,"移动互联网,文娱丨内容 未融资 50-150人",经验1-3年 本科,"“新媒体,软件,电视台业务,采编制播存”",C++ 后端 ,[高新区]
NAVER China,C++客户端,11k-20k,"移动互联网,社交 上市公司 2000人以上",经验3-5年 本科,"“上市公司,外企文化,研发中心，技术氛围浓”",C++ QT ,[高新区]
博信通,c++开发工程师,8k-11k,"企业服务,信息安全 未融资 2000人以上",经验1-3年 本科,“五险一金 双休 节日福利 加班补助”,C++ ,[武侯区]
风际游戏,高级C++服务器开发工程师,15k-25k,"移动互联网,游戏 未融资 150-500人",经验3-5年 本科,“六险一金 餐补 节假日福利”,游戏 C++ ,[双流县]
GARMIN佳明,C/C++嵌入式软件开发工程师,10k-15k,"移动互联网,通讯电子 上市公司 2000人以上",经验3-5年 本科,“外企研发中心 智能穿戴 六险一金 福利完善”,智能硬件 C C++ ,[高新区]
GARMIN佳明,c++软件开发工程师,10k-15k,"移动互联网,通讯电子 上市公司 2000人以上",经验不限 本科,“外企研发中心 汽车电子 六险一金 福利完善”,汽车 C C++ ,[高新区]
音创,c++开发工程师,8k-15k,"移动互联网,文娱丨内容 不需要融资 50-150人",经验不限 大专,“股权分红”,移动互联网 C++ ,[高新区]
久远银海,C++开发工程师（研发中心）,8k-12k,"移动互联网,硬件 上市公司 2000人以上",经验1-3年 本科,“五险一金，年终奖，生日福利，工会活动”,C++ ,[柳江]
易我科技,c++高级开发工程师,15k-25k,"移动互联网,游戏 不需要融资 150-500人",经验3-5年 本科,“新团队、大牛领导、丰厚薪酬”,工具软件 移动互联网 PHP Python ,[石羊]
臻识科技,C++服务器开发工程师（嵌入式方向）,10k-20k,移动互联网 A轮 50-150人,经验3-5年 本科,"“员工股权,绩效奖,年终奖,年度旅游”",信息安全 软件开发 嵌入式 C++ Linux ,[武侯区]
晶石石油,c++开发工程师,10k-16k·15薪,软件开发 不需要融资 15-50人,经验3-5年 本科,“双休、不加班、行业稳定”,工具软件 C++ ,[高新区]
成都安舟,C++开发工程师,12k-24k,信息安全 未融资 50-150人,经验3-5年 本科,“网络安全”,信息安全 C++ ,[高新区]
四象联创,c++开发工程师,15k-25k,"移动互联网,金融 未融资 50-150人",经验3-5年 本科,“双休”,C++ ,[武侯区]
信息技术、软件开发、测试及应用,QT/C++讲师,12k-18k,"移动互联网,教育 不需要融资 50-150人",经验1-3年 本科,“五险一金，年底双薪，员工旅游，周末双休”,教育 移动互联网 C++ QT ,[高新区]
上亿互动,c++,12k-24k,软件开发 不需要融资 150-500人,经验5-10年 本科,“五险一金、周末双休、公司旅游等”,后端 ,[高新区]
登临科技,C/C++软件开发工程师,15k-30k,"区块链,人工智能 A轮 50-150人",经验1-3年 本科,"“c,c++”",C C++ ,[高新区]
华栖云,C++,12k-16k,"移动互联网,企业服务 B轮 500-2000人",经验1-3年 本科,"“大平台,弹性工作,补充保险”",媒体 Linux 嵌入式 ,[高新区]
顺网科技,【2021校招】c++开发工程师,10k-15k·16薪,游戏 上市公司 500-2000人,经验应届毕业生 本科,“高大尚的办公环境 各种新奇的小玩意”,C# C C++ ,[高新区]
西山居游戏,高级c++程序员,15k-25k,游戏 不需要融资 2000人以上,经验3-5年 本科,"“美术大牛,一流项目,花园式办公”",游戏 C++ GO ,[高新区]
腾讯,c++客户端开发工程师,12k-17k,社交 上市公司 2000人以上,经验1-3年 本科,“大平台，行业前沿，发展机会大，学习资源多”,C++ ,[高新区]
腾讯,C++后台开发工程师,10k-15k,社交 上市公司 2000人以上,经验1-3年 本科,“带薪年假;内部晋升;五险一金;”,C++ Linux/Unix ,[高新区]
优驰医疗,c++开发工程师,12k-18k,医疗丨健康 不需要融资 15-50人,经验3-5年 本科,“硅谷团队，文化和自由开发氛围”,医疗健康 C++ 后端 图像处理 ,[高新区]
俊云科技,c++开发工程师,15k-25k,"移动互联网,硬件 不需要融资 50-150人",经验5-10年 本科,“福利满满 扁平高效”,C++ C ,[高新区]
迅游网络,c/c++服务器开发,18k-25k,移动互联网 上市公司 150-500人,经验5-10年 本科,“六险一金、周末双休、扁平管理、标准开发流程”,C C++ 服务器端 数据库 ,[武侯区]
