公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
西南凯亚,中高级java开发工程师,8k-12k·15薪,"信息安全,其他 不需要融资 150-500人",经验3-5年 本科,"“国企,五险一金,带薪休假,没有996”",Java MySQL 后端 ,[高新区]
美呗,java开发工程师,15k-20k,移动互联网 B轮 500-2000人,经验5-10年 本科,“大团队 弹性工作 加班补贴”,Java ,[高新区]
小鸡叫叫,Java开发工程师,15k-25k·14薪,"移动互联网,文娱丨内容 B轮 500-2000人",经验3-5年 本科,“平台发展 周末双休 年终奖金”,Java ,[高新区]
易宝软件科技（南京）有限公司,java工程师,10k-15k,移动互联网 上市公司 150-500人,经验1-3年 本科,“五险一金、项目奖”,Java ,[高新区]
天府通,Java开发工程师,10k-18k,"移动互联网,金融 不需要融资 50-150人",经验3-5年 本科,"“周末双休,带薪年假”",支付 Java ,[武侯区]
衫数科技,java高级开发工程师,12k-18k·14薪,"数据服务,软件开发 A轮 150-500人",经验5-10年 不限,“发展前景”,分布式 Java 中间件 ,[高新区]
效率源科技,java开发工程师,8k-12k,信息安全 不需要融资 150-500人,经验1-3年 本科,“项目奖金、年度体检、年终奖、公司重点项目”,信息安全 大数据 Java Hadoop docker MySQL ,[高新区]
美呗,Java开发工程师【2021届】,7k-10k,移动互联网 B轮 500-2000人,经验应届毕业生 本科,“导师带教、扁平管理、成长空间”,Java ,[高新区]
成都四平软件,高级JAVA开发工程师,10k-15k,"企业服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,"“平台好,薪资高,老板不错,氛围佳”",后端 数据库 ,[高新区]
微慕客（成都）科技有限公司,java开发工程师,8k-12k,数据服务 不需要融资 50-150人,经验1-3年 本科,“五险一金 弹性工作 扁平管理 微软项目”,教育 大数据 后端 服务器端 平台 Java ,[双流县]
厚立信息,Java工程师,10k-15k·13薪,"医疗丨健康,数据服务 天使轮 50-150人",经验3-5年 大专,“项目奖/交通补助/全勤奖/电脑补贴”,医疗健康 大数据 后端 ,[高新区]
成都艾乐橙文化传播有限公司,高级java开发工程师,12k-24k,"教育,文娱丨内容 A轮 500-2000人",经验3-5年 大专,“年终福利 、带薪寒暑假期（7-15天）”,Java 后端 ,[桂溪]
企企科技,java开发工程师,12k-20k·13薪,"移动互联网,企业服务 A轮 150-500人",经验3-5年 本科,“上班不打卡 全额社保公积金”,移动互联网 Java ,[高新区]
企企科技,高级java开发工程师,15k-30k·13薪,"移动互联网,企业服务 A轮 150-500人",经验3-5年 本科,“上班不打卡 全额社保公积金”,移动互联网 后端 ,[高新区]
成都汉康,java高级开发工程师,9k-18k,"数据服务,软件开发 不需要融资 50-150人",经验3-5年 大专,“多元化发展；平台大；”,Java ,[高新区]
聚美优品,JAVA开发工程师,12k-20k,电商 上市公司 2000人以上,经验3-5年 本科,"“五险一金,餐饮补贴,双休”",视频 分布式 ,[高新区]
国科云漫,java高级开发工程师,10k-16k,"企业服务,电商 A轮 50-150人",经验3-5年 大专,“超长春节假期，年终奖”,分布式 服务器端 后端 Java ,[高新区]
紫光云数,Java开发工程师,7k-11k·14薪,"企业服务,数据服务 不需要融资 2000人以上",经验1-3年 本科,“超大工位”,云计算 大数据 Java ,[双流县]
翌擎智能,java开发工程师,13k-18k·13薪,"移动互联网,数据服务 A轮 150-500人",经验5-10年 本科,“上升空间大 13薪 技术大牛 六险一金”,汽车 大数据 Java Hadoop docker ,[武侯区]
翌擎智能,高级java开发工程师,13k-18k·13薪,"移动互联网,数据服务 A轮 150-500人",经验5-10年 本科,“上升空间大 13薪 技术大牛 六险一金”,Java Hadoop docker ,[武侯区]
不问科技,高级java开发工程师,12k-24k·13薪,"移动互联网,人工智能 天使轮 15-50人",经验5-10年 本科,“大牛领导，成长空间大，年底双薪、弹性工作制”,大数据 移动互联网 ,[高新区]
紫川软件,java工程师,9k-16k,"电商,金融 不需要融资 500-2000人",经验3-5年 大专,“节假日礼金发放，一年一度免费旅游”,金融 Java ,[锦江区]
科来,Java开发工程师,12k-20k,"企业服务,其他 A轮 150-500人",经验3-5年 本科,“15薪 职业发展 领导nice”,分布式 J2EE 中间件 Java ,[高新区]
仙潭酒业集团,java,10k-15k,其他 不需要融资 500-2000人,经验3-5年 本科,“周末双休 五险一金”,MySQL 后端 数据库 ,[高新区]
DataCastle,Java工程师,10k-14k,移动互联网 天使轮 15-50人,经验1-3年 本科,“奖金，带薪假，培训，节假日福利，补贴”,大数据 Java ,[高新区]
贝壳金服,高级java开发工程师,15k-27k,金融 不需要融资 500-2000人,经验3-5年 本科,“上市公司”,Java MySQL ,[高新区]
众鹏科技,java开发工程师,8k-16k,"移动互联网,消费生活 未融资 50-150人",经验3-5年 本科,"“六险一金,年底双薪,节日福利,年度体检”",企业服务 Java 后端 ,[高新区]
