公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
字节跳动,前端开发工程师,20k-40k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金，免费三餐，租房补贴，职业大牛”,web前端 ,[高新区]
西山居游戏,前端开发工程师,6k-12k·14薪,游戏 不需要融资 2000人以上,经验1-3年 本科,“平台好 领导nice 同事关系轻松愉悦”,前端开发 ,[高新区]
汇合,前端开发工程师,9k-14k·14薪,"企业服务,金融 不需要融资 2000人以上",经验3-5年 本科,“5天工作制 年终奖 六险一金 项目稳定”,金融 前端开发 Web前端 Vue Angular ,[武侯区]
法本信息,前端开发工程师,11k-13k·13薪,"企业服务,软件开发 上市公司 2000人以上",经验3-5年 大专,“500强”,前端开发 Web前端 React Node.js ,[高新区]
维朗,前端开发工程师,9k-12k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“发展前景，五险一金，项目优势，双休”,前端开发 Web前端 ,[锦江区]
致远互联,前端架构师,30k-35k·14薪,"移动互联网,社交 上市公司 500-2000人",经验5-10年 本科,"“平台大,牛人多,氛围好”",React 架构师 ,[高新区]
安杰信,前端开发工程师,10k-15k·13薪,企业服务 上市公司 150-500人,经验3-5年 本科,“五险一金、周末双休、年终奖、团队建设”,前端开发 Web前端 jQuery React ,[高新区]
中电科特种飞机系统工程,前端开发工程师,10k-15k·13薪,"软件开发,其他 未融资 50-150人",经验1-3年 本科,“绩效奖金、五险一金、补助、带薪年假、子女福利”,Web前端 Javascript HTML ,[郫县]
微慕客（成都）科技有限公司,前端工程师,9k-15k,数据服务 不需要融资 50-150人,经验1-3年 本科,“五险一金 弹性工作 扁平管理 微软项目”,Vue CSS 前端开发 ,[双流县]
成都汉康,前端开发工程师,10k-15k,"数据服务,软件开发 不需要融资 50-150人",经验3-5年 本科,“平台大，多元化，扁平化管理，发展前景大”,前端开发 Web前端 HTML HTML5 ,[高新区]
成都汉康,前端开发工程师,10k-15k,"数据服务,软件开发 不需要融资 50-150人",经验3-5年 大专,“五险一金、商业保险、超长年假”,前端开发 HTML5 ,[高新区]
企企科技,前端开发工程师,14k-20k·13薪,"移动互联网,企业服务 A轮 150-500人",经验3-5年 本科,“上班不打卡 全额社保公积金”,移动互联网 React React native ,[高新区]
安迈云,前端开发工程师,8k-10k,软件开发 不需要融资 150-500人,经验3-5年 本科,“五险一金 季度奖金 年终分红 扁平化管理”,云计算 大数据 前端开发 Web前端 Vue React ,[高新区]
顺网科技,前端开发工程师,10k-15k·14薪,游戏 上市公司 500-2000人,经验1-3年 本科,“上市公司、试用期全薪、入职即买五险一金”,Javascript Vue 前端开发 ,[高新区]
小蟾科技,前端开发工程师,10k-15k,"电商,移动互联网 不需要融资 150-500人",经验3-5年 本科,"“自动化,数据库,功能,性能”",电商 前端开发 ,[高新区]
不问科技,前端开发工程师,10k-15k·13薪,"移动互联网,人工智能 天使轮 15-50人",经验3-5年 本科,“年底项目奖、五险一金、福利补贴”,前端开发 Web前端 Vue 移动端 ,[高新区]
无右区块链,前端开发工程师,8k-12k,移动互联网 天使轮 50-150人,经验1-3年 本科,“发展前景广阔”,HTML5 CSS ,[高新区]
和美信息,前端开发工程师,15k-28k·13薪,"金融,人工智能 不需要融资 500-2000人",经验5-10年 本科,“年终奖 补贴”,前端开发 Web前端 ,[锦江区]
和美信息,前端开发工程师,15k-25k·13薪,"金融,人工智能 不需要融资 500-2000人",经验5-10年 本科,“AI团队”,前端开发 Web前端 ,[锦江区]
海链数字资产,前端开发工程师,8k-12k,"金融,数据服务 未融资 50-150人",经验1-3年 大专,“弹性上班”,前端开发 HTML HTML5 CSS ,[高新区]
成都肆零肆,前端开发工程师,7k-9k,"信息安全,数据服务 未融资 50-150人",经验1-3年 本科,“13薪 五险一金 年终奖 平台广阔”,前端开发 Web前端 ,[肖家河]
成信宏,前端工程师,5k-8k,企业服务 未融资 50-150人,经验1-3年 大专,“周末双休 五险 护理假 婚假 年终奖”,前端开发 ,[城隍庙]
久远银海,前端开发工程师,8k-12k,"移动互联网,硬件 上市公司 2000人以上",经验3-5年 本科,“五险一金，年终福利”,Javascript CSS Vue Web前端 ,[锦江区]
