公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
天府通,DBA,10k-15k,"移动互联网,金融 不需要融资 50-150人",经验1-3年 大专,“周末双休，补充养老，带薪年假”,MySQL Oracle ,[武侯区]
咕咚,DBA,15k-25k,移动互联网 C轮 150-500人,经验3-5年 本科,“行业标杆、平台大、团队nice、薪酬给力”,MongoDB 数据仓库 ,[武侯区]
NAVER China,Java开发工程师 实时数据库,13k-23k,"移动互联网,社交 上市公司 2000人以上",经验3-5年 本科,"“上市公司,外企文化,研发中心，技术氛围浓”",工具软件 后端 MySQL ,[高新区]
四川医信,dba,6k-12k,"移动互联网,医疗丨健康 未融资 150-500人",经验1-3年 大专,“五险一金餐补房补通讯补贴带薪年假周末双休”,SQLServer Linux Windows ,[高新区]
慧择网,DBA,15k-25k,"移动互联网,电商 上市公司 500-2000人",经验3-5年 本科,“六险一金 周末双休 福利完善”,保险 MySQL 系统运维 ,[武侯区]
安必奇,PHP/MYSQL WEB高级开发工程师,8k-15k,其他 未融资 50-150人,经验应届毕业生 不限,“五险一金，带薪假，节日福利，生日福利等”,后端 PHP Yii Linux/Unix ,[高新区]
聚美优品,中级/高级DBA,25k-35k,电商 上市公司 2000人以上,经验3-5年 本科,“双休、五险一金、餐补、带薪休假”,信息安全 云计算 ,[高新区]
生学教育,DBA（数据管理员）,13k-20k,"移动互联网,教育 A轮 150-500人",经验3-5年 大专,"“五险一金,带薪年假,弹性工作,扁平管理”",云计算 DBA MySQL 数据库 ,[高新区]
云思智,DBA,10k-20k,"教育,软件开发 未融资 15-50人",经验3-5年 本科,“福利优、待遇高、发展空间大”,电商 教育 MySQL 监控 ,[高新区]
精创国芯,DBA工程师,10k-18k,移动互联网 未融资 50-150人,经验3-5年 大专,“周末双休 项目奖金 年终奖 员工旅游”,Linux MySQL DBA ,[中和]
企朋,DBA工程师 (MJ000781),15k-25k,"移动互联网,电商 不需要融资 150-500人",经验3-5年 本科,“免费零食 优秀同事 弹性工作时间”,Shell DBA MySQL Go ,[高新区]
思瑞奇,数据库开发工程师,7k-14k·13薪,"硬件,软件开发 未融资 50-150人",经验3-5年 本科,“业务稳定的基础上公司正不断壮大，管理层”,ETL 数据仓库 数仓工程师 DB2 ,[高新区]
万里开源,中高级运维工程师-MySQL DBA,12k-24k,数据服务 不需要融资 150-500人,经验3-5年 本科,“牛人多 工资多 假期多 弹性工作多”,MySQL 运维 数据库管理员 ,[高新区]
成享软件,Oracle DBA 数据库运维工程师,10k-20k·13薪,企业服务 上市公司 50-150人,经验3-5年 大专,“每年有两次技术等级晋升机会”,企业服务 数据库运维 数据库管理员 DBA ,[高新区]
唯它时代,DBA运维(mysql),10k-20k·14薪,"电商,移动互联网 B轮 50-150人",经验3-5年 本科,“14薪”,MySQL ,[高新区]
字节跳动,数据库开发工程师,15k-30k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“牛人多，成长快”,Hive ,[高新区]
海量数据,mysql dba,8k-12k,数据服务 上市公司 150-500人,经验3-5年 大专,“上市公司，六险一金，福利待遇好”,Oracle MySQL 数据库管理员 ,[桂溪]
万里开源,分布式数据库引擎开发工程师,15k-25k,数据服务 不需要融资 150-500人,经验3-5年 本科,“牛人多 工资多 假期多 弹性工作多”,分布式 C++ MySQL ,[高新区]
G7,DBA,15k-25k·15薪,"物联网,数据服务 D轮及以上 500-2000人",经验1-3年 本科,“核心业务 团队氛围棒”,物流 MySQL ,[双流县]
成享软件,DBA,9k-13k·13薪,企业服务 上市公司 50-150人,经验3-5年 本科,“六险一金 额外商业保险”,金融 数据库运维 ,[高新区]
优信创展,DBA运维工程师,7k-14k,企业服务 天使轮 15-50人,经验3-5年 本科,“福利待遇好，团队氛围好”,MySQL Linux Shell Python ,[武侯区]
街电科技,高级DBA工程师,20k-30k,"消费生活,汽车丨出行 A轮 500-2000人",经验3-5年 本科,“发展前景好，福利待遇优”,本地生活 DBA MySQL Python ,[高新区]
腾讯,云数据库高级DBA（成都）,20k-40k,社交 上市公司 2000人以上,经验不限 本科,“业务高增大、大牛多、发挥空间大、福利津贴”,DBA Linux ,[武侯区]
兰途科技,DBA实习生,2k-3k,移动互联网 不需要融资 15-50人,经验应届毕业生 本科,“大佬带，年终奖，团建，下午茶”,移动互联网 Linux MySQL ,[武侯区]
万里开源,dba数据库工程师,15k-25k,数据服务 不需要融资 150-500人,经验3-5年 本科,“福利待遇好，有实习补贴”,MySQL DBA ,[犀浦]
神州信息,Oracle数据库开发工程师,10k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“上市公司体制健全、福利保障、团队稳定”,Oracle 数据库开发 ,[武侯区]
新希望六和,资深DBA工程师,15k-25k,其他 上市公司 2000人以上,经验3-5年 本科,“大平台 团队佳 大牛多”,DBA ,[柳江]
美呗,Java开发工程师【2021届】,7k-10k,移动互联网 B轮 500-2000人,经验应届毕业生 本科,“导师带教、扁平管理、成长空间”,Java ,[高新区]
字节跳动,NewSQL研发工程师-成都,30k-60k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,"“弹性工作,免费三餐,带薪休假,下午茶”",后端开发 ,[武侯区]
哈啰出行,助力车-经营管理专家-成都,15k-25k,"移动互联网,硬件 D轮及以上 2000人以上",经验5-10年 本科,“五险一金 年假 晋升空间”,汽车 运营 策略运营 ,[高新区]
哈啰出行,经营分析专家-西南(J12987),10k-15k,"移动互联网,硬件 D轮及以上 2000人以上",经验3-5年 本科,“出行行业独角兽，丰厚奖金”,市场竞争分析 市场分析 数据分析 营销策略 ,[高新区]
美团点评,公司事务平台-高级Java开发工程师,20k-35k,消费生活 上市公司 2000人以上,经验3-5年 本科,“平台，发展空间，技术成长”,Java ,[高新区]
企鹅杏仁,自动化测试工程师,7k-13k,"移动互联网,消费生活 B轮 500-2000人",经验1-3年 大专,"“环境好,福利好,氛围好,发展好”",测试 性能测试 自动化测试 ,[武侯区]
企鹅杏仁,Java 开发主管,20k-35k,"移动互联网,消费生活 B轮 500-2000人",经验5-10年 本科,"“环境好,福利好,氛围好,发展好”",技术管理 架构师 系统架构 ,[武侯区]
厦门唐普,高级java开发（短期驻场2个月）,13k-18k,"企业服务,数据服务 B轮 50-150人",经验5-10年 大专,“双休，加班调休加班费”,Java ,[武侯区]
成都鼎安华,软件测试工程师,7k-10k,"移动互联网,数据服务 未融资 50-150人",经验3-5年 大专,“六险一金、晋升空间大、朝九晚六”,性能测试 自动化测试 安全测试 功能测试 ,[创业路]
心田花开,PHP架构师,20k-30k,教育 未融资 500-2000人,经验5-10年 本科,“晋升空间大 优秀而有活力的团队 五险一金”,教育 MySQL 服务器端 ,[桐梓林]
小鸡叫叫,Java开发工程师,15k-25k·14薪,"移动互联网,文娱丨内容 B轮 500-2000人",经验3-5年 本科,“平台发展 周末双休 年终奖金”,Java ,[高新区]
法本信息,数据分析师,12k-18k·13薪,"企业服务,软件开发 上市公司 2000人以上",经验5-10年 本科,“500强 银行”,银行 大数据 需求分析 数据分析 ,[高新区]
川大智胜,中/高级java开发工程师,9k-18k,"移动互联网,电商 未融资 150-500人",经验3-5年 本科,“川投国资背景 平台大福利佳”,旅游 Java ,[机投桥]
成都拟合未来科技有限公司,后端资深开发工程师,25k-40k·14薪,"人工智能,消费生活 A轮 150-500人",经验5-10年 本科,“年终奖 带薪年假 五险一金 年度体检”,Java ,[高新区]
成都雨诺,java研发工程师,8k-15k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“上市公司，项目前景，扁平化管理，团队nice”,电商 新零售 Java ,[高新区]
东华,etl,6k-12k,"企业服务,数据服务 上市公司 2000人以上",经验不限 不限,“上市公司、五险一金、年终奖、弹性工作制”,年底双薪 专项奖金 股票期权 带薪年假 ,[金牛区]
东华,数据仓库开发工程师,7k-14k,"企业服务,数据服务 上市公司 2000人以上",经验不限 不限,“上市公司、五险一金、年终奖、弹性工作制”,ETL ,[金牛区]
中电万维,区块链开发工程师,10k-20k·13薪,软件开发 不需要融资 500-2000人,经验1-3年 本科,“五险一金 年底双薪 绩效奖金”,Golang ,[高新区]
中电万维,高级JAVA研发工程师（成都）,11k-22k,软件开发 不需要融资 500-2000人,经验5-10年 本科,“起点高 成长快”,Java 后端 JS ,[高新区]
数科网维,实施工程师,6k-12k,企业服务 未融资 150-500人,经验不限 不限,“团建、年度旅游、年终奖、项目奖、弹性办公”,实施 ,[武侯区]
商汤科技,高级运维工程师,20k-40k,人工智能 C轮 2000人以上,经验5-10年 本科,“周末双休；竞争力的薪资；午餐补贴”,Python Linux K8s/Docker 运维开发 ,[高新区]
马来西亚东南亚玩家商城股份有限公司成都代表处,PHP开发工程师,5k-7k,"移动互联网,电商 未融资 50-150人",经验1-3年 大专,"“六险一金,带薪年假,周末双休,节日福利”",电商 游戏 后端 PHP MySQL ,[新鸿路]
新希望金科,后台研发岗（go)G00187,12k-18k,"移动互联网,金融 不需要融资 150-500人",经验1-3年 本科,“社保公积金最高比例购买 试用期不打折”,Linux/Unix Golang ,[高新区]
新希望金科,后台开发岗G00171,15k-30k,"移动互联网,金融 不需要融资 150-500人",经验3-5年 本科,“福利亮眼；环境优越 ；表现优秀可转正式”,GO C++ Java Python ,[高新区]
保微科技,中高级测试工程师,8k-12k,"移动互联网,企业服务 B轮 500-2000人",经验5-10年 本科,“海外项目、发展机会大”,Web测试 ,[高新区]
成都四平软件,高级JAVA开发工程师,10k-15k,"企业服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,"“平台好,薪资高,老板不错,氛围佳”",后端 数据库 ,[高新区]
Trusfort芯盾时代,大数据开发工程师,10k-20k·13薪,"移动互联网,信息安全 C轮 150-500人",经验3-5年 本科,"“五险一金,工作居住证,节日福利,出国旅游”",数据运营 ,[高新区]
Trusfort芯盾时代,大数据项目经理,10k-20k·13薪,"移动互联网,信息安全 C轮 150-500人",经验3-5年 本科,"“五险一金,工作居住证,节日福利,出国旅游”",项目管理 ,[桂溪]
微慕客（成都）科技有限公司,java开发工程师,8k-12k,数据服务 不需要融资 50-150人,经验1-3年 本科,“五险一金 弹性工作 扁平管理 微软项目”,教育 大数据 后端 服务器端 平台 Java ,[双流县]
依图科技,前端开发工程师/专家,13k-26k·15薪,数据服务 C轮 150-500人,经验3-5年 本科,“人工智能 弹性上下班 扁平管理”,云计算 大数据 React native ,[武侯区]
依图科技,java后端开发工程师,15k-30k·15薪,数据服务 C轮 150-500人,经验5-10年 本科,“人工智能 弹性上下班 扁平管理”,云计算 大数据 Java 后端 全栈 ,[武侯区]
厚立信息,Java工程师,10k-15k·13薪,"医疗丨健康,数据服务 天使轮 50-150人",经验3-5年 大专,“项目奖/交通补助/全勤奖/电脑补贴”,医疗健康 大数据 后端 ,[高新区]
成都艾乐橙文化传播有限公司,测试工程师,8k-16k·13薪,"教育,文娱丨内容 A轮 500-2000人",经验3-5年 本科,“年终福利 、带薪寒暑假期（7-15天）”,教育 黑盒测试 Web测试 客户端 ,[桂溪]
企企科技,高级java开发工程师,15k-30k·13薪,"移动互联网,企业服务 A轮 150-500人",经验3-5年 本科,“上班不打卡 全额社保公积金”,移动互联网 后端 ,[高新区]
企企科技,java开发工程师,12k-20k·13薪,"移动互联网,企业服务 A轮 150-500人",经验3-5年 本科,“上班不打卡 全额社保公积金”,移动互联网 Java ,[高新区]
