公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
法本信息,python开发工程师,11k-16k·13薪,"企业服务,软件开发 上市公司 2000人以上",经验3-5年 大专,“腾讯子公司”,Python 后端 ,[高新区]
乐信圣文,python 开发工程师,15k-30k,"游戏,软件开发 不需要融资 150-500人",经验不限 本科,“团队实力强”,Python ,[高新区]
成都鼎安华,python开发工程师,7k-9k,"移动互联网,数据服务 未融资 50-150人",经验不限 本科,“加班少 晋升空间大 团队氛围好 六险一金”,Python ,[创业路]
PALMAX,python开发工程师,10k-20k,移动互联网 A轮 150-500人,经验3-5年 本科,“五险一金 试用期全薪 餐补 14薪”,后端 数据挖掘 搜索 爬虫 ,[高新区]
微银合创,python开发工程师,8k-16k·13薪,"企业服务,金融 不需要融资 15-50人",经验3-5年 本科,“五险一金 年度旅游 体检 周末双休”,Java Python Scala MySQL ,[高新区]
NAVER China,python开发工程师,11k-18k·14薪,"移动互联网,社交 上市公司 2000人以上",经验3-5年 本科,“技术氛围浓厚，薪酬福利完善优厚”,Python 音视频 服务器端 ,[高新区]
无糖信息,python开发工程师,10k-14k,"信息安全,数据服务 A轮 50-150人",经验1-3年 本科,“公司平台强大 五险一金 福利待遇好”,Python ,[高新区]
新希望金科,后台研发工程师（go/Python）G00126,8k-11k,"移动互联网,金融 不需要融资 150-500人",经验不限 本科,“实力平台；福利亮眼；免费班车；扁平年轻化”,后端 ,[高新区]
捷云智慧,python高级开发工程师,8k-15k,移动互联网 不需要融资 15-50人,经验3-5年 本科,“有很大的上升空间”,工具软件 新零售 Python ,[高新区]
团子出行（原四川汽车票务网）,python工程师,5k-10k·13薪,移动互联网 上市公司 150-500人,经验应届毕业生 本科,“七险一金、交通补贴、周末双休”,Python ,[高新区]
达观数据,高级Python开发工程师,12k-18k·14薪,人工智能 B轮 150-500人,经验3-5年 本科,“技术强 发展空间大 人工智能 薪资福利优”,云计算 大数据 Python 后端 服务器端 ,[武侯区]
新希望金科,校招：后台研发岗（Java/python/golang）G00228,10k-15k,"移动互联网,金融 不需要融资 150-500人",经验应届毕业生 本科,“社保公积金高比例购买”,Golang C++ Java Ruby ,[高新区]
成都肆零肆,Python高级开发工程师,10k-18k,"信息安全,数据服务 未融资 50-150人",经验3-5年 本科,"“五险一金,带薪年假,项目提成,周末双休”",大数据 Python ,[肖家河]
Intellisn,Python 高级软件开发工程师,15k-20k·13薪,硬件 天使轮 少于15人,经验3-5年 本科,“最高十五薪、全额保险和公积金、美式管理范儿”,新零售 智能硬件 Python docker 全栈 ,[锦江区]
成都安舟,JAVA / Python工程师,7k-10k,信息安全 未融资 50-150人,经验1-3年 不限,“网络安全行业 行业优势”,Java Python ,[高新区]
腾讯,python开发工程师,10k-18k,社交 上市公司 2000人以上,经验1-3年 本科,“大平台，内部晋升，带薪年假，年度旅游”,Python ,[高新区]
腾讯,Python高级开发工程师,25k-50k,社交 上市公司 2000人以上,经验3-5年 本科,“大平台”,后端 ,[高新区]
校园安心付,python后端,10k-14k,"移动互联网,消费生活 C轮 150-500人",经验3-5年 本科,“校园业务 六险一金 周末双休”,Python ,[高新区]
北京天空卫士网络安全,Python 中级开发工程师,12k-16k,"信息安全,移动互联网 A轮 150-500人",经验3-5年 本科,“五险一金，股票股权，补充医疗，定期体检”,信息安全 大数据 Python ,[高新区]
北京荣泰创想,软件开发工程师-python,8k-15k,其他 未融资 50-150人,经验1-3年 本科,“五险一金/绩效奖金/带薪年假/项目奖金”,Python Shell ,[武侯区]
思而科,python开发工程师,8k-15k,电商 未融资 50-150人,经验3-5年 本科,“五险一金 年终奖 餐补 下午茶”,Python 爬虫 软件开发 ,[武侯区]
PALMAX,python研发工程师（中级）,9k-12k,移动互联网 A轮 150-500人,经验3-5年 本科,“成长快 团队氛围好”,广告营销 大数据 MySQL Python 平台 ,[高新区]
易宝软件科技（南京）有限公司,Python开发工程师,10k-15k,移动互联网 上市公司 150-500人,经验3-5年 本科,“五险一金 餐补 员工福利 周末双休”,Python 后端 ,[郫县]
无糖信息,python工程师,10k-14k,"信息安全,数据服务 A轮 50-150人",经验3-5年 本科,“五险一金 平台大 团队氛围年轻”,Python ,[高新区]
易路,Python开发工程师,8k-15k,"移动互联网,企业服务 C轮 150-500人",经验3-5年 大专,“弹性工时/年轻团队/人性管理/高端客户群”,Java Python ,[高新区]
北京图灵信服科技有限公司,python开发工程师,8k-14k,软件开发 / /,经验3-5年 大专,“试用期可以申请 9折。”,Python docker Hadoop Node.js ,[武侯区]
易宝软件科技（南京）有限公司,python开发工程师,9k-18k,移动互联网 上市公司 150-500人,经验1-3年 本科,“五险一金、免费体检”,Python ,[高新区]
成都快师傅科技有限公司,python工程师,2k-4k,"移动互联网,消费生活 未融资 50-150人",经验应届毕业生 本科,“大牛”,体育 Python ,[柳江]
黑帕云,高级python工程师（成都）,15k-30k·13薪,"企业服务,软件开发 天使轮 15-50人",经验5-10年 本科,“扁平 技术氛围好 技术交流多”,企业服务 Python 后端 Golang ,[高新区]
亿览态势,高级python开发工程师,16k-20k·13薪,信息安全 天使轮 15-50人,经验3-5年 本科,“13薪”,云计算 大数据 Python 后端 Node.js ,[高新区]
宽邦（BigQuant）,python开发工程师,10k-15k·13薪,"金融,数据服务 不需要融资 15-50人",经验3-5年 本科,“人工智能、大牛团队、FinTech、试用期全薪”,金融 Python C++ 软件开发 ,[高新区]
萌想科技,python后端开发工程师,8k-15k,企业服务 B轮 150-500人,经验1-3年 本科,“五险一金、平台大、大牛、周末双休、年终奖”,Python ,[高新区]
华律网,Java/python工程师,8k-15k·13薪,电商 不需要融资 150-500人,经验1-3年 本科,“发展前景广，技术团队技术实力雄厚”,Python Java ,[犀浦]
成都快师傅科技有限公司,python开发工程师,8k-15k,"移动互联网,消费生活 未融资 50-150人",经验3-5年 不限,“可在家办公”,服务器端 docker ,[高新区]
微入商贸,python开发工程师,10k-15k,"金融,人工智能 不需要融资 15-50人",经验1-3年 本科,“公司大牛云集 项目提成 地铁口”,大数据 金融 算法 ,[高新区]
泰游趣,Python爬虫工程师,5k-7k,移动互联网 未融资 少于15人,经验1-3年 大专,“弹性工作，成长空间大，团队氛围好”,后端 爬虫 爬虫工程师 ,[锦江区]
国研网,python爬虫工程师,4k-6k,"企业服务,数据服务 上市公司 150-500人",经验1-3年 本科,“央企 超长假期 工会福利 五险一金 体检”,大数据 爬虫架构 数据抓取 MySQL Python ,[高新区]
桃李未来学院,少儿编程Python实习教师,4k-8k,"教育,人工智能 天使轮 15-50人",经验应届毕业生 大专,“发展前景 福利补贴 提供转正”,教育 ,[高新区]
智诚创梦,高级python开发工程师,10k-15k·13薪,"移动互联网,消费生活 天使轮 少于15人",经验3-5年 本科,“年轻团队！！”,Python ,[武侯区]
好房通科技,python开发工程师,7k-10k,电商 上市公司 150-500人,经验3-5年 本科,“团队年轻充满活力，一年有四次涨薪机会”,房产服务 Python 网络安全 SQLServer 数据挖掘 ,[高新区]
成都金飞凌科技,Python开发工程师,8k-10k,"移动互联网,信息安全 未融资 15-50人",经验1-3年 大专,“节日福利、绩效奖金”,Python Linux/Unix ,[武侯区]
纬创软件（武汉）有限公司,python开发工程师,10k-12k,"移动互联网,企业服务 上市公司 2000人以上",经验1-3年 大专,“入职就买五险一金、全球五百强、无出差”,Python ,[武侯区]
北京安普诺,安全开发工程师(Python 方向)（成都）,10k-20k,信息安全 天使轮 15-50人,经验1-3年 本科,“公司期权，业内大牛交流，成长快，各项补助”,后端 Python 软件开发 ,[高新区]
北京图灵信服科技有限公司,python运维开发工程师,5k-10k,软件开发 / /,经验3-5年 本科,“入职五险一金、法定假日、各种美味小零食”,Python 爬虫 网络爬虫 ,[桂溪]
安恒信息,【实习】python开发（成都）,2k-3k,"信息安全,数据服务 上市公司 500-2000人",经验应届毕业生 本科,“导师一带一”,Python ,[高新区]
仁和安信,急招python工程师,5k-10k,"移动互联网,文娱丨内容 未融资 15-50人",经验1-3年 本科,"“环境轻松,团队和谐,五险一金,行业有前途”",Java PHP Python 后端 ,[高新区]
意科特,Python机器学习、深度学习、强化学习聊天机器人,10k-20k,"移动互联网,硬件 不需要融资 150-500人",经验1-3年 本科,“开发智能语音机器人行业趋势非常有前途”,人工智能 机器学习 深度学习 ,[高新区]
时时同云科技（成都）有限责任公司,python工程师-大数据可视化(J11073),15k-25k,"移动互联网,消费生活 C轮 2000人以上",经验3-5年 本科,“弹性工作制”,本地生活 后端 Python ,[高新区]
鼎润达,python（odoo)开发工程师,10k-20k,电商 不需要融资 50-150人,经验3-5年 本科,"“科技领域,前景明亮,五险一金,丰厚福利”",后端 Linux/Unix Python ,[高新区]
京波科技,高级python爬虫工程师,10k-18k,"移动互联网,游戏 不需要融资 15-50人",经验3-5年 本科,“5险一金，每年旅游，免费零食，每月团建”,服务器端 后端 Python Linux/Unix ,[高新区]
京波科技,高级python工程师,10k-18k,"移动互联网,游戏 不需要融资 15-50人",经验3-5年 本科,“5险一金，每年旅游，免费零食，每月团建”,服务器端 后端 Python Linux/Unix ,[高新区]
