公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
成都佳发,品质管理工程师,4k-7k,教育 上市公司 500-2000人,经验1-3年 大专,"“周末双休,带薪年假,六险一金,节日福利”",移动互联网 ,[武侯区]
爱奇艺,IT支持工程师,5k-10k·13薪,文娱丨内容 上市公司 2000人以上,经验3-5年 本科,“新项目、大平台”,IT支持 ,[武侯区]
爱奇艺,IT支持工程师,10k-15k·14薪,文娱丨内容 上市公司 2000人以上,经验1-3年 本科,“大平台”,Linux ,[四川大学]
富璟科技,RPA开发工程师（成都）,6k-10k,"信息安全,数据服务 不需要融资 50-150人",经验1-3年 本科,“双休 奖金 年度出游 体检”,工具软件 ,[紫荆]
富璟科技,RPA开发工程师（成都）,8k-15k,"信息安全,数据服务 不需要融资 50-150人",经验3-5年 大专,“双休 年底奖金 年度出游 体检”,大数据 工具软件 ,[紫荆]
亨得利眼镜,测试工程师,10k-15k,电商 / /,经验3-5年 本科,“朝九晚六，弹性工作，五险一金，定期体检”,Android测试 Web测试 Loadrunner 测试开发 ,[高新区]
贝泰福医疗,算法工程师,9k-15k,医疗丨健康 未融资 15-50人,经验3-5年 本科,“五险一金，双休，节假日福利”,深度学习 算法 图像处理 ,[高新区]
成都泓睿科技,机器视觉算法工程师,8k-15k,其他 不需要融资 50-150人,经验1-3年 本科,“学习机会多”,计算机视觉 图像处理 算法 ,[高新区]
爱奇艺,IT技术支持,8k-13k·13薪,文娱丨内容 上市公司 2000人以上,经验3-5年 本科,“六险一金”,Linux 机房运维 ,[高新区]
爱奇艺,it技术支持,4k-8k·13薪,文娱丨内容 上市公司 2000人以上,经验1-3年 本科,“六险一金”,IT支持 TCP/IP协议 ,[高新区]
爱奇艺,it运维工程师,5k-10k,文娱丨内容 上市公司 2000人以上,经验1-3年 本科,“大平台”,系统运维 IT支持 ,[武侯区]
