公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
星云股份,c#软件工程师,10k-15k,硬件 上市公司 500-2000人,经验3-5年 本科,“上市公司，大牛带队”,工具软件 软件开发 数据采集 C# .NET ,[马尾区]
福昕软件,漏洞挖掘工程师,15k-22k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“上市公司、股权激励、专注做产品、氛围好”,技能培训 年底双薪 节日礼物 绩效奖金 ,[鼓楼区]
鼎捷软件,软件开发工程师,6k-8k,其他 上市公司 2000人以上,经验应届毕业生 本科,“扁平管理 上市公司”,MySQL 后端 软件开发 数据库 ,[鼓楼区]
网龙网络有限公司,软件自动化测试工程师,8k-13k·13薪,"移动互联网,教育 上市公司 2000人以上",经验不限 本科,“发展前景好”,自动化测试 app测试 Web测试 ,[温泉]
龙腾简合,高级引擎开发工程师,30k-50k,"游戏,移动互联网 未融资 500-2000人",经验5-10年 本科,"“五险一金,国外旅游，周末双薪”",Unity3d 底层 ,[工业路]
龙腾简合,测试主管,10k-15k,"游戏,移动互联网 未融资 500-2000人",经验5-10年 本科,“周末双薪 新项目 五险一金”,测试 ,[工业路]
Windpayer,.net程序员,8k-16k,"电商,金融 天使轮 50-150人",经验1-3年 大专,“发展前景好 、岗位培训、薪资可议”,C# ,[仓山区]
畅游世界,asp.net,8k-15k,"移动互联网,游戏 不需要融资 15-50人",经验不限 本科,“游戏开发”,.NET ,[闽清县]
信之游科技,ios开发工程师,8k-15k,"游戏,信息安全 未融资 50-150人",经验1-3年 大专,“福利待遇、发展前景”,游戏 社交 iOS Swift OC ,[晋安区]
网龙网络有限公司,Unity开发程序员,15k-25k,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,"“五险一金,弹性工作,健身房,福利水吧”",Unity3d C/C++ ,[温泉]
兴业数金,Java开发工程师,14k-18k,"金融,移动互联网 不需要融资 500-2000人",经验不限 本科,“兴业数字金融股份有限公司，兴业银行子公司”,移动互联网 工具软件 服务器端 分布式 Java Linux/Unix ,[罗星]
棋乐网络,Unity3D程序员,8k-12k,"移动互联网,游戏 不需要融资 50-150人",经验不限 大专,"“弹性工作制,项目奖金,氛围好”",游戏 ,[鳌峰]
有度安全,渗透测试工程师,6k-12k,"软件开发,信息安全 未融资 少于15人",经验1-3年 大专,"“绩效奖金
带薪年假
弹性工作
发展空间大”",信息安全 大数据 黑盒测试 Web测试 渗透测试 app测试 ,[台江区]
卓越信息,软件开发工程师,12k-18k,软件开发 未融资 15-50人,经验1-3年 大专,“我们有你需要的舞台”,新零售 .NET C# ,[福清]
超智,java高级开发工程师,8k-15k·13薪,"通讯电子,物联网 未融资 50-150人",经验1-3年 本科,“20年行业基础、校企合作研发”,Java ,[闽侯县]
IGG,高级Unity3D客户端程序,17k-25k,游戏 上市公司 500-2000人,经验3-5年 不限,"“五险一金,公司氛围好,环境福利棒”",C++ Unity3D C# 游戏开发 ,[温泉]
天外天艺术设计,u3d主程,10k-20k,"游戏,软件开发 不需要融资 50-150人",经验1-3年 不限,“公司发展机会大”,游戏 ,[鼓楼区]
IGG,高级unity3d开发工程师,18k-25k·13薪,游戏 上市公司 500-2000人,经验3-5年 本科,“大牛带队 五险一金 定期团建 每月餐补”,游戏 Unity3d ,[温泉]
睿和科技,.NET,6k-12k,"教育,物联网 不需要融资 50-150人",经验3-5年 不限,“发展前景好”,教育 大数据 C#/.NET Linux/Unix ,[鼓楼区]
新大陆自动识别,C/C++工程师,7k-14k,"硬件,电商 不需要融资 2000人以上",经验1-3年 本科,“六险一金、年终奖金、带薪年假、周末双休”,硬件制造 移动互联网 QT C++ 嵌入式 移动开发 ,[马尾区]
七兆科技,系统运维工程师,6k-10k,"数据服务,其他 未融资 50-150人",经验不限 大专,“月薪6千-1万；房补、餐补”,运维 MySQL ,[温泉]
龙腾简合,cocos游戏客户端,10k-20k,"游戏,移动互联网 未融资 500-2000人",经验3-5年 大专,"“大牛多,薪酬福利好，周末双薪，带薪年假”",COCOS2D-X ,[工业路]
龙腾简合,U3D引擎开发工程师,25k-50k,"游戏,移动互联网 未融资 500-2000人",经验3-5年 大专,"“项目奖金,年终奖金,海外游,晋升空间大”",游戏 Unity3d ,[工业路]
龙腾简合,高级游戏测试工程师,9k-15k,"游戏,移动互联网 未融资 500-2000人",经验3-5年 本科,"“公司发展好,部门氛围好,全额公积金~”",游戏测试 压力测试 接口测试 白盒测试 ,[工业路]
龙腾简合,u3d客户端主程,20k-40k·14薪,"游戏,移动互联网 未融资 500-2000人",经验5-10年 本科,“餐补、过节福利、加班补贴、项目奖金”,游戏 ,[工业路]
龙腾简合,高级引擎开发工程师,25k-35k,"游戏,移动互联网 未融资 500-2000人",经验5-10年 本科,“发展前景，扁平管理，海外游戏”,Unity3d 底层 ,[工业路]
龙腾简合,高级u3d客户端开发工程师,18k-24k,"游戏,移动互联网 未融资 500-2000人",经验5-10年 大专,“发展前景，扁平管理，海外游戏”,游戏 Unity3d ,[工业路]
网龙网络有限公司,脚本程序员（客户端）,8k-13k,"移动互联网,教育 上市公司 2000人以上",经验1-3年 本科,“五险一金、定期体检、节日福利、加班补贴”,游戏 Javascript Unity3d COCOS2D-X Node.js ,[温泉]
IGG,u3d,15k-25k,游戏 上市公司 500-2000人,经验5-10年 不限,“薪资+餐补+项目奖+年度旅行”,游戏 Unity3d COCOS2D-X C/C++ ,[温泉]
网龙网络有限公司,脚本程序员（客户端）,8k-16k,"移动互联网,教育 上市公司 2000人以上",经验不限 本科,“五险一金，月度晋升”,游戏 移动互联网 客户端 Unity3D 游戏开发 ,[鼓楼区]
