公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
福昕软件,c++开发工程师,12k-18k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“上市公司、股权激励、专注做产品、氛围好”,C++ ,[鼓楼区]
福昕软件,C++/QT开发工程师,13k-20k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“上市公司、股权激励、专注做产品、氛围好”,C++ ,[鼓楼区]
顶点软件,初级C++开发工程师,6k-10k,"移动互联网,企业服务 上市公司 500-2000人",经验1-3年 本科,"“五险一金,年底双薪,过节费,旅游体检”",C ,[鼓楼区]
顶点软件,高级C++开发工程师,10k-15k,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 本科,"“五险一金,年底双薪,过节费,体检旅游”",C++ ,[鼓楼区]
达观,c++,15k-20k,金融 未融资 15-50人,经验3-5年 大专,“福利待遇高，公司结构简单，晋升通道顺畅”,游戏 教育 音视频 服务器端 客户端 ,[台江区]
北京殷图,c++软件工程师,8k-15k·14薪,"信息安全,数据服务 上市公司 50-150人",经验1-3年 本科,“14薪、年休假”,C++ MySQL Node.js 全栈 ,[茶亭]
IGG,c++服务端,10k-20k·13薪,游戏 上市公司 500-2000人,经验3-5年 本科,“有发展，有前途”,游戏 服务器端 游戏开发 后端 数据库 ,[晋安区]
至简科技,c++开发工程师,10k-20k·13薪,"金融,软件开发 未融资 50-150人",经验3-5年 本科,“学习平台，技能提升，”,C C++ MySQL ,[鳌峰]
新大陆自动识别,C/C++工程师,7k-14k,"硬件,电商 不需要融资 2000人以上",经验1-3年 本科,“六险一金、年终奖金、带薪年假、周末双休”,硬件制造 移动互联网 QT C++ 嵌入式 移动开发 ,[马尾区]
数科网维,实施工程师,6k-12k,企业服务 未融资 150-500人,经验不限 大专,“团建、年度旅游、年终奖、项目奖、弹性办公”,软件开发 实施 ,[晋安区]
鼎捷软件,软件开发工程师,6k-8k,其他 上市公司 2000人以上,经验应届毕业生 本科,“扁平管理 上市公司”,MySQL 后端 软件开发 数据库 ,[鼓楼区]
网龙网络有限公司,软件测试工程师,8k-13k·13薪,"移动互联网,教育 上市公司 2000人以上",经验不限 本科,“发展前景”,性能测试 接口测试 自动化测试 功能测试 ,[温泉]
网龙网络有限公司,软件自动化测试工程师,8k-13k·13薪,"移动互联网,教育 上市公司 2000人以上",经验不限 本科,“发展前景好”,自动化测试 app测试 Web测试 ,[温泉]
龙腾简合,高级引擎开发工程师,30k-50k,"游戏,移动互联网 未融资 500-2000人",经验5-10年 本科,"“五险一金,国外旅游，周末双薪”",Unity3d 底层 ,[工业路]
龙腾简合,客户端开发工程师,15k-25k,"游戏,移动互联网 未融资 500-2000人",经验3-5年 不限,“新项目 周末双薪 带薪年假”,COCOS2D-X ,[工业路]
宝宝巴士,iOS开发工程师,10k-15k,移动互联网 B轮 500-2000人,经验不限 本科,“扁平化管理 前景好”,移动互联网 IOS OC ,[金山工业]
宝宝巴士,iOS架构师,20k-40k,移动互联网 B轮 500-2000人,经验5-10年 本科,“六险一金，部门旅游”,SDK OC 架构师 ,[金山工业]
天础科技,java开发工程师,2k-3k,"移动互联网,其他 不需要融资 15-50人",经验应届毕业生 本科,“实习生每月有500元的住房补贴”,移动互联网 互联网金融 后端 Linux/Unix MySQL 软件开发 ,[鼓楼区]
朴朴,自动化测试工程师,10k-15k,"电商,移动互联网 B轮 2000人以上",经验3-5年 本科,“快速成长企业，期权激励，百万用户APP”,电商 新零售 自动化 Web测试 测试开发 ,[仓前]
飞鱼科技,UE4开发,15k-25k·13薪,游戏 上市公司 150-500人,经验3-5年 不限,“战略项目；团队优秀；氛围开放”,游戏 前端开发 ,[鼓楼区]
星云股份,嵌入式软件工程师,7k-12k,硬件 上市公司 500-2000人,经验1-3年 本科,“五险一金 上市公司 包住宿”,单片机 嵌入式 智能硬件 ,[马尾区]
兴业数金,Java开发工程师,14k-18k,"金融,移动互联网 不需要融资 500-2000人",经验不限 本科,“兴业数字金融股份有限公司，兴业银行子公司”,移动互联网 工具软件 服务器端 分布式 Java Linux/Unix ,[罗星]
有度安全,渗透测试工程师,6k-12k,"软件开发,信息安全 未融资 少于15人",经验1-3年 大专,"“绩效奖金
带薪年假
弹性工作
发展空间大”",信息安全 大数据 黑盒测试 Web测试 渗透测试 app测试 ,[台江区]
中电数据福建公司,java开发工程师,10k-20k,"医疗丨健康,数据服务 不需要融资 15-50人",经验1-3年 本科,“五险一金、餐补、交通补助、通讯补助”,后端 J2EE ,[长乐]
犀牛运动,高级java开发工程师,15k-25k,移动互联网 不需要融资 150-500人,经验5-10年 不限,“五险一金 年终保底14薪”,大数据 医疗健康 平台 ,[金山工业]
江苏谷科软件有限公司,c语言,8k-12k,"信息安全,金融 未融资 150-500人",经验1-3年 本科,“六险一金、年终奖、一年两次调薪机会”,C 数据库 ,[罗星]
IGG,高级Unity3D客户端程序,17k-25k,游戏 上市公司 500-2000人,经验3-5年 不限,"“五险一金,公司氛围好,环境福利棒”",C++ Unity3D C# 游戏开发 ,[温泉]
字客网,深度学习开发工程师,10k-20k,"移动互联网,电商 未融资 少于15人",经验1-3年 本科,"“行业高薪,精英团队,前沿技术”",Python ,[台江区]
泽钦信息,unity3d客户端,8k-15k,教育 / /,经验1-3年 本科,“自由，氛围好”,游戏 教育 ,[闽侯县]
帅光年网络,android开发工程师,8k-12k,移动互联网 未融资 15-50人,经验1-3年 不限,“五险一金 员工生日 定期旅游体检双休”,移动互联网 C/C++ Android Javascript ,[金山工业]
土土优选,ios开发工程师,10k-20k,电子商务 未融资 50-150人,经验1-3年 大专,“周末双休，五险一金，多元化员工福利”,电商 IOS ,[鳌峰]
新大陆自动识别,驱动开发工程师,8k-13k,"硬件,电商 不需要融资 2000人以上",经验1-3年 本科,"“五险一金,周末双休,学习成长,晋升机制”",电子/半导体/集成电路 ARM Linux 嵌入式 智能硬件 ,[马尾区]
新大陆教育,python开发工程师（机器学习方向）,10k-20k,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“六险一金，14薪，法定假期，过节费”,教育 其他 ,[马尾区]
