公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
半云科技,Java开发工程师,6k-12k,移动互联网 天使轮 150-500人,经验1-3年 本科,“节日福利、定期体检、六险一金、绩效奖金”,Javascript ,[鼓楼区]
易杰,高级JAVA软件开发工程师（舆情大数据）,18k-23k,"移动互联网,社交 上市公司 150-500人",经验5-10年 本科,“稳定、工作相对轻松”,大数据 后端 Linux/Unix Hadoop MySQL ,[鼓楼区]
易杰,中级JAVA软件开发工程师（舆情）,7k-10k,"移动互联网,社交 上市公司 150-500人",经验1-3年 本科,“上市公司，福利好，平台佳”,大数据 后端 Linux/Unix Java ,[鼓楼区]
左邻,【福州】Java高级工程师,12k-18k,移动互联网 A轮 150-500人,经验5-10年 本科,“晋升空间、扁平管理、薪资丰厚、活动多多”,企业服务 云计算 Java MySQL 后端 ,[建新]
华资软件,Java开发经理（福州）,14k-18k·15薪,"移动互联网,数据服务 上市公司 500-2000人",经验5-10年 大专,“六险一金，大团队，福利好，14薪+”,企业服务 工具软件 Java 后端 全栈 软件开发 ,[铜盘]
华资软件,高级Java开发工程师（福州）,14k-18k·15薪,"移动互联网,数据服务 上市公司 500-2000人",经验5-10年 大专,“六险一金，福利好，大团队，14薪+”,企业服务 工具软件 Java 后端 架构师 MySQL ,[铜盘]
厦门唐普,中级java开发工程师,8k-15k,"企业服务,数据服务 B轮 50-150人",经验3-5年 本科,“五险一金”,银行 Java ,[台江区]
广州南天,Java中级开发工程师（福州）,10k-14k,数据服务 上市公司 500-2000人,经验5-10年 大专,"“五险一金,带薪年假,节日福利,周末双休”",Java ,[鼓楼区]
广州南天,java开发工程师（福州）,7k-10k,数据服务 上市公司 500-2000人,经验1-3年 大专,"“五险一金,带薪年假,节日福利,周末双休”",Java ,[鼓楼区]
顶点软件,高级JAVA开发工程师,10k-15k,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 本科,"“五险一金,年底双薪,过节费,体检旅游”",Java ,[鼓楼区]
汇泉信,Java开发工程师,5k-7k,"信息安全,软件开发 未融资 15-50人",经验不限 本科,“13薪，项目奖”,Java ,[鼓楼区]
