公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
网翔网络,高级php开发工程师,10k-15k·13薪,电商 不需要融资 50-150人,经验3-5年 本科,“绩效奖金 双休”,电商 PHP ,[晋安区]
一米网络,php开发工程师,4k-8k,"不限,企业服务 不需要融资 15-50人",经验1-3年 不限,“移动互联网，弹性工作，五险一金，节日福利”,MySQL 后端 PHP ,[宝龙]
墨家互娱,PHP工程师,8k-15k,游戏 不需要融资 15-50人,经验3-5年 大专,“弹性工作制、工作氛围活跃”,移动互联网 后端 PHP JS ,[工业路]
剑讯网络,高级PHP开发工程师,15k-30k,电商 不需要融资 15-50人,经验3-5年 不限,“项目、绩效激励、技术挑战、薪资福利”,电商 MySQL PHP ,[洪山桥]
睿佳贤,php开发工程师,10k-15k·13薪,企业服务 不需要融资 少于15人,经验3-5年 本科,“平台好 待遇好 发展空间大”,PHP MySQL ,[台江区]
随乐软件有限公司,php开发工程师,9k-15k,"游戏,移动互联网 不需要融资 15-50人",经验3-5年 大专,“五险一金，周末双休，弹性工作，娱乐氛围”,Linux/Unix PHP ,[鳌峰]
票付通,php开发工程师,12k-20k,"移动互联网,硬件 B轮 150-500人",经验3-5年 本科,“薪资高 环境氛围好”,PHP ,[洪山桥]
国科云漫,php开发工程师,5k-10k,"企业服务,电商 A轮 50-150人",经验1-3年 大专,“周末双休 五险一金”,PHP ,[铜盘]
客家网络科技,PHP开发工程师,8k-16k,"移动互联网,企业服务 不需要融资 少于15人",经验3-5年 大专,“项目红利，加班补贴，13薪等等”,Laravel 后端 MySQL PHP ,[建新]
畅玩网络（18183）,php（腾讯外包）,8k-12k·13薪,"文娱丨内容,游戏 未融资 500-2000人",经验3-5年 大专,“腾讯线上线下培训机会”,游戏 MySQL PHP ,[金山工业]
无锋网络,php开发工程师,10k-15k,数据服务 不需要融资 50-150人,经验1-3年 本科,“弹性上班时间 待遇弹性化 优质的成长空间”,后端 服务器端 PHP docker ,[金山]
良弩,php,5k-10k,"企业服务,数据服务 未融资 少于15人",经验不限 本科,“季度奖金，年终奖”,后端 服务器端 JS ,[闽侯县]
良弩,php,5k-10k,"企业服务,数据服务 未融资 少于15人",经验应届毕业生 本科,“季度奖金，年终奖”,后端 服务器端 Javascript ,[闽侯县]
泰嘉华,php开发工程师,10k-20k,电商 不需要融资 50-150人,经验5-10年 大专,“五险一金，13薪”,电商 后端 ,[台江区]
掌易科技,PHP工程师/程序开发,4k-8k,"移动互联网,企业服务 天使轮 50-150人",经验1-3年 不限,“只要你有能力，就会给你平台，甚至是股权。”,移动互联网 企业服务 PHP MySQL Web前端 后端 ,[华大]
分啦科技,中高级php开发工程师,9k-17k,"移动互联网,金融 未融资 500-2000人",经验3-5年 大专,“六险一金 满勤 餐补 带薪年假 健身房”,旅游 PHP Laravel Yii ,[梅峰]
字客网,PHP程序员,5k-10k,"移动互联网,电商 未融资 少于15人",经验1-3年 大专,"“行业高薪,前沿技术,精英团队”",节日礼物 专项奖金 股票期权 带薪年假 ,[西禅寺]
