公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
蓝鲨信息,python开发工程师,2k-3k,"移动互联网,信息安全 天使轮 15-50人",经验应届毕业生 大专,“五险一金 下午茶 零食供应”,Python ,[闽侯县]
新大陆教育,python开发工程师（机器学习方向）,10k-20k,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“六险一金，14薪，法定假期，过节费”,教育 其他 ,[马尾区]
易杰,中级前端开发工程师（福州-舆情大数据）,8k-11k,"移动互联网,社交 上市公司 150-500人",经验1-3年 本科,“大数据，上市公司，福利好”,大数据 前端开发 HTML5 Vue ,[鼓楼区]
福昕软件,高级DevOps工程师,13k-20k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“上市公司、股权激励、专注做产品、氛围好”,DevOps/AIOps Python ,[鼓楼区]
福昕软件,linux运维工程师,9k-15k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“上市公司、股权激励、专注做产品、氛围好”,Linux ,[鼓楼区]
网翔网络,运维工程师,7k-10k·13薪,电商 不需要融资 50-150人,经验1-3年 本科,“多渠道晋升 项目制 双休”,电商 Shell Linux 运维开发 ,[晋安区]
网翔网络,etl工程师,10k-15k·13薪,电商 不需要融资 50-150人,经验1-3年 本科,“多渠道晋升 项目制 双休”,ETL 数据仓库 数仓建模 ,[晋安区]
顶点软件,高级全栈工程师,10k-20k,"移动互联网,企业服务 上市公司 500-2000人",经验不限 本科,"“六险一金,丰厚年终奖,多项补贴,员工旅游”",Java 全栈 系统架构 ,[鼓楼区]
顶点软件,测试工程师（配置管理）,8k-12k,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 大专,“金融科技、证券”,证券/期货 功能测试 ,[鼓楼区]
网龙网络有限公司,软件测试工程师,8k-13k·13薪,"移动互联网,教育 上市公司 2000人以上",经验不限 本科,“发展前景”,性能测试 接口测试 自动化测试 功能测试 ,[温泉]
17173,测试开发工程师,15k-30k·14薪,"游戏,文娱丨内容 上市公司 500-2000人",经验5-10年 本科,“富有挑战和价值的工作内容，具有竞争力的薪酬”,测试开发 自动化测试 安全测试 性能测试 ,[温泉]
东南网,网络运维工程师,5k-10k,"文娱丨内容,数据服务 不需要融资 150-500人",经验1-3年 本科,“五险一金”,Linux MySQL 网络安全 系统运维 ,[华大]
诺基亚华诺科技,通信解决方案工程师,5k-8k,"移动互联网,数据服务 不需要融资 500-2000人",经验应届毕业生 本科,"“高薪酬,高福利,世界五百强”",通信/网络设备 通信网络优化 通信系统集成 ,[长乐]
佰聆数据,数据分析师（实习生）,2k-4k·13薪,"数据服务,软件开发 不需要融资 150-500人",经验不限 本科,“周末双休，大数据行业，档案挂靠，可转正”,数仓建模 Python nlp算法工程师 数据挖掘 ,[鼓楼区]
佰聆数据,数据分析师,8k-15k,"数据服务,软件开发 不需要融资 150-500人",经验不限 本科,“周末双休、餐补、通讯补贴、年终奖”,大数据 数据分析 SPSS SQL ,[鼓楼区]
龙腾简合,测试主管,10k-15k,"游戏,移动互联网 未融资 500-2000人",经验5-10年 本科,“周末双薪 新项目 五险一金”,测试 ,[工业路]
数神科技,数据开发工程师,10k-15k,"移动互联网,数据服务 未融资 150-500人",经验3-5年 本科,“能力提升”,ETL 数据仓库 Hadoop 数仓工程师 ,[仓山区]
宝宝巴士,高级测试工程师,8k-16k,移动互联网 B轮 500-2000人,经验3-5年 本科,“扁平化管理 前景好”,移动互联网 Android测试 自动化 移动端 ,[金山工业]
宝宝巴士,大数据分析工程师（中高级）,8k-15k,移动互联网 B轮 500-2000人,经验不限 本科,“六险一金，部门旅游”,数据库 SQL ,[金山工业]
朴朴,安全测试工程师,10k-18k·13薪,"电商,移动互联网 B轮 2000人以上",经验3-5年 本科,“即时电商头部玩家，期权激励，千万用户平台”,电商 新零售 安全测试 ,[中亭街]
朴朴,大数据研发工程师,18k-30k,"电商,移动互联网 B轮 2000人以上",经验3-5年 本科,“快速成长型企业，期权激励，百万用户APP”,电商 新零售 Spark Hadoop Storm Flink ,[中亭街]
戎易商智（北京）科技有限公司,中高级数据分析师,6k-7k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 本科,“周末双休，节日福利，带薪年假”,移动互联网 通信/网络设备 数据分析 数据挖掘 MySQL ,[五四路]
龙腾简合,高级运维经理,20k-40k·14薪,"游戏,移动互联网 未融资 500-2000人",经验5-10年 本科,“公司发展好，团队氛围好，薪资福利好~”,DBA 运维开发 自动化运维 ,[工业路]
蓝鲨信息,网络安全工程师,2k-3k,"移动互联网,信息安全 天使轮 15-50人",经验应届毕业生 大专,“五险一金 下午茶 零食供应”,,[闽侯县]
慧科集团,大数据讲师（福州）,15k-20k,"移动互联网,教育 D轮及以上 500-2000人",经验不限 本科,“年终奖、五险一金、寒暑假、带薪年假”,大数据 移动互联网 ,[闽侯县]
瀚华投资,java高级开发工程师,15k-20k,"房产家居,软件开发 不需要融资 500-2000人",经验5-10年 本科,“期权加现金激励”,后端 服务器端 ,[仓山区]
康升全电子商务,测试工程师,6k-10k,电商 不需要融资 少于15人,经验1-3年 大专,“五险一金 13薪 周末双休 加班少”,分类信息 Android测试 IOS测试 Web测试 自动化 ,[仓山区]
