公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
德科信息,c#开发,10k-15k·13薪,"软件开发,物联网 不需要融资 2000人以上",经验3-5年 本科,“双休 六险一金 年终奖 包吃3餐”,股票期权 帅哥多 领导好 技能培训 ,[广州]
小卫科技,C# .net软件开发工程师,8k-15k,"移动互联网,医疗丨健康 C轮 150-500人",经验3-5年 本科,“纵向/横向职业晋升机制”,医疗健康 移动互联网 ,[海珠区]
高奈特,C#开发工程师,5k-10k,"信息安全,数据服务 上市公司 150-500人",经验1年以下 本科,“五险一金、节日福利、生日福利、定期团建”,C# ,[芳村]
高奈特,C#开发工程师,10k-15k,"信息安全,数据服务 上市公司 150-500人",经验3-5年 本科,“五险一金、节日福利、生日福利、定期团建”,C# ,[芳村]
中国外运,c#开发工程师,10k-17k,其他 不需要融资 2000人以上,经验1-3年 不限,“央企、五险二金、有食堂”,C++ C#/.NET ,[大沙]
广州南天,c#开发工程师,5k-10k,数据服务 上市公司 500-2000人,经验1-3年 本科,"“五险一金,年终奖金,带薪年假,周末双休”",C#/.NET ,[番禺区]
鼎捷软件,c#开发工程师,8k-16k,其他 上市公司 2000人以上,经验1-3年 本科,“五险一金”,C# ,[天河区]
方图智能,.net/C#开发工程师,8k-13k,"硬件,移动互联网 A轮 150-500人",经验1-3年 本科,“互联网行业，项目奖金，五险一金”,.NET C# ,[天河区]
宏脉软件,C#工程师,10k-20k,移动互联网 未融资 50-150人,经验1-3年 本科,"“五险一金,海外旅游,绩效奖金,节日福利”",旅游 Java 软件开发 ,[番禺区]
学塾加 交通仿真,急聘C#初级研发工程师,3k-6k,其他 未融资 少于15人,经验不限 大专,“软件工程师”,软件开发 ,[元岗]
广州康塔科技有限公司,高级C#开发工程师,10k-17k·13薪,"硬件,人工智能 不需要融资 15-50人",经验3-5年 大专,“周末双休五险一金员工旅游带薪年假绩效奖金”,大数据 C# 软件开发 人脸识别 ,[东圃]
广东广信通信服务有限公司,C#/C++/QT Windows高级开发工程师,15k-25k,"企业服务,信息安全 上市公司 500-2000人",经验3-5年 本科,“专业培训；周末双休；五险一金；节日福利”,C++ ,[五山]
玄武科技,c#开发工程师,12k-18k,企业服务 上市公司 500-2000人,经验3-5年 本科,“B端产品，领导很nice”,Java C# MySQL .NET ,[天河北]
德惟科技,c#开发（体育西路）,10k-16k,"金融,移动互联网 不需要融资 150-500人",经验3-5年 本科,“包餐，团队大型，技术牛人多，金融行业标杆”,C# ,[天河北]
极点三维,C#高级开发工程师,10k-20k,企业服务 不需要融资 500-2000人,经验3-5年 本科,"“福利待遇好,机会多”",C#/.NET C++ Winform Wpf ,[天河区]
商搜,高级.NET（C#网站开发）程序员,8k-16k,移动互联网 不需要融资 50-150人,经验1-3年 大专,"“周末双休,弹性上班,五险一金,年底双薪”",移动互联网 平台 ASP C++ 移动开发 ,[萝岗区]
广州华工弈高,c#,8k-15k,其他 未融资 50-150人,经验3-5年 本科,“五险一金、双休、年终奖、加班补贴”,C#/.NET ,[天河区]
北京云族佳科技,c#开发工程师,10k-15k,"移动互联网,人工智能 B轮 50-150人",经验1-3年 本科,“五险一金 餐补 下午茶 班车接送”,C# ,[员村]
中商,.Net开发工程师（C#开发工程师）,9k-18k,电商 不需要融资 150-500人,经验3-5年 本科,“福利待遇好 双休 国企”,C++ C C#/.NET ,[荔湾区]
华盈,c#开发工程师,13k-20k·13薪,文娱丨内容 A轮 150-500人,经验1-3年 本科,“项目发展前景好、环境好、待遇好”,移动互联网 大数据 C# .NET ,[珠江新城]
印萌,.net客户端工程师（C#）,11k-20k,消费生活 天使轮 15-50人,经验3-5年 本科,“快速发展”,Winform C# ,[番禺区]
