公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
赞赏,C++开发工程师,18k-25k·14薪,移动互联网 A轮 150-500人,经验3-5年 本科,“五险一金 工作餐 年终奖 发展前景大”,大数据 直播 C++ ,[天河区]
易杰,c++开发工程师-联通医疗大数据平台项目,13k-25k·13薪,"移动互联网,社交 上市公司 150-500人",经验3-5年 本科,“平台好”,大数据 C++ ,[官洲]
游雁游戏,服务端开发工程师（LUA&C++）,15k-20k·13薪,游戏 不需要融资 150-500人,经验3-5年 本科,“包餐 五险一金”,C++ Lua ,[天河区]
游雁游戏,C++服务端开发工程师,12k-18k·13薪,游戏 不需要融资 150-500人,经验1-3年 大专,“包三餐+全勤奖+项目奖金+节日福利”,游戏 C++ 游戏开发 ,[天河区]
赞赏,c++开发工程师,15k-25k·14薪,移动互联网 A轮 150-500人,经验3-5年 本科,“午餐晚餐下午茶 14薪”,工具软件 直播 C++ 流媒体转封装 ,[天河区]
金其利,Linux驱动开发工程师（C/C++）,10k-20k,"信息安全,软件开发 未融资 15-50人",经验1-3年 本科,“周末双休 五险一金 带薪年假等等”,硬件开发 Linux C++ 驱动开发 ,[黄埔区]
广州闪游,C++服务端工程师,10k-15k,"移动互联网,游戏 未融资 15-50人",经验1-3年 大专,"“股权分红,福利待遇好,高成长、”",游戏 C++ 服务器端 ,[五山]
万界网络,C++开发工程师,12k-18k,游戏 不需要融资 150-500人,经验1-3年 大专,“包三餐 项目发展 薪资福利”,游戏 C++ Lua 服务器端 游戏开发 ,[东圃]
酷麦,c++后台开发工程师,15k-25k,移动互联网 不需要融资 50-150人,经验3-5年 本科,"“五险一金,绩效奖金,员工旅游,免费下午茶”",后端 MySQL ,[天河区]
拓维信息,c++开发工程师,11k-17k·13薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“六险一金，定期体检，年终奖金，绩效奖金”,视频识别 音频编解码 音频处理 Python ,[天河区]
广东三维家信息科技有限公司,C++开发工程师（监控平台）,15k-25k·15薪,"移动互联网,硬件 B轮 500-2000人",经验1-3年 本科,“双休 年终奖 绩效奖 六险一金”,移动互联网 C++ 后端 软件开发 ,[天河区]
广东三维家信息科技有限公司,C++引擎专家,30k-50k·13薪,"移动互联网,硬件 B轮 500-2000人",经验5-10年 本科,“双休 年终奖 绩效奖 六险一金”,游戏 视频算法 ,[天河区]
坚果动力,c++开发工程师（UE4）,15k-20k,游戏 A轮 50-150人,经验3-5年 大专,“五险一金、带薪年假、周末双休、年底双薪”,C++ UE4 Unity3D ,[员村]
广州趣炫,C++游戏开发工程师,7k-14k,游戏 不需要融资 500-2000人,经验不限 本科,“公司包餐，项目奖金，年终奖，晋升快”,游戏 C++ 服务器端 Lua ,[天河北]
新文溯科技,c++开发工程师,15k-30k,企业服务 不需要融资 15-50人,经验不限 本科,“五险一金 周末双休 带薪年假 发展空间”,C++ QT MFC 图像识别 ,[番禺区]
广州天越电子科技有限公司,c++高级开发工程师,17k-20k,"移动互联网,硬件 不需要融资 150-500人",经验5-10年 本科,“周末双休 节日福利 项目奖”,C++ MFC ,[萝岗区]
赫墨拉游戏,C++服务端开发,9k-18k,游戏 天使轮 50-150人,经验1-3年 本科,"“包餐,全勤奖,五险一金,年底双薪”",C++ Golang ,[天河区]
易宝软件科技（南京）有限公司,c++开发工程师,8k-13k,移动互联网 上市公司 150-500人,经验1-3年 本科,“做五休二，五险一金，精英团队”,C++ C Linux/Unix ,[珠江新城]
奇异果科技,高级c++开发工程师,18k-30k,"移动互联网,游戏 不需要融资 50-150人",经验3-5年 本科,“五险一金，1年2次出国旅游”,游戏 移动互联网 服务器端 Linux/Unix C++ MySQL ,[海珠区]
网龙网络有限公司,c++客户端开发工程师,15k-30k·15薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“平台资源丰富，空间广阔，通道清晰，有大牛”,C++ 音视频 ,[越秀区]
中移互联网,C++研发工程师,15k-20k,移动互联网 不需要融资 500-2000人,经验不限 本科,“年终奖，双休，职位晋升”,C++ ,[珠江新城]
建信金科,C/C++开发工程师,20k-40k,"金融,软件开发 不需要融资 2000人以上",经验1-3年 本科,“六险一金、餐补、定期体检、带薪年假”,互联网金融 后端 C C++ ,[员村]
联通（广东）产业互联网...,c++开发工程师,10k-14k·18薪,"移动互联网,医疗丨健康 不需要融资 500-2000人",经验3-5年 本科,“包三餐、免费班车、交补餐补话补、节日福利”,交通补助 通讯津贴 绩效奖金 专项奖金 ,[官洲]
金十数据,C++开发工程师（服务端）,15k-30k·15薪,"移动互联网,金融 不需要融资 150-500人",经验3-5年 大专,“年终奖 周末双休 带薪年假 五险一金”,金融 Python C++ 服务器端 ,[海珠区]
Bigo,C++开发工程师/专家-短视频/直播,28k-45k,"移动互联网,社交 上市公司 2000人以上",经验3-5年 本科,“平台宽广、团队优秀、办公环境优美”,后端 服务器端 C++ ,[市桥]
Bigo,Push系统C++研发工程师,28k-50k·15薪,"移动互联网,社交 上市公司 2000人以上",经验3-5年 本科,“平台宽广、团队优秀、办公环境优美”,C++ 后端 ,[市桥]
欢聚集团（JOYY Inc.）,C++客户端开发工程师 (MJ002613),15k-30k,文娱丨内容 上市公司 2000人以上,经验3-5年 本科,“年底双薪，定期体检，餐补，健身房”,C++ 客户端 ,[番禺区]
欢聚集团（JOYY Inc.）,C++开发工程师 (MJ002314),15k-30k,文娱丨内容 上市公司 2000人以上,经验3-5年 不限,“公司大，平台广，福利多，设施配备全”,移动互联网 C++ ,[番禺区]
研游,C++高级开发工程师,15k-25k·13薪,游戏 不需要融资 50-150人,经验3-5年 大专,"“团队氛围好,周末双休,下午茶,弹性上下班”",游戏 C++ 后端 服务器端 游戏开发 ,[车陂]
研游,C++服务端开发工程师,10k-18k,游戏 不需要融资 50-150人,经验1-3年 大专,“双休 包餐 上升空间大”,游戏 C++ 后端 服务器端 游戏开发 ,[车陂]
玩动,c++游戏服务端,15k-25k·13薪,"移动互联网,游戏 不需要融资 150-500人",经验3-5年 本科,“工作餐 六险一金 项目奖金 年终奖”,C C++ 服务器端 ,[五山]
祺曜互娱,C++服务端主程,20k-30k,游戏 不需要融资 150-500人,经验5-10年 大专,"“五险,公积金,节日福利,包吃,女神多”",C++ 后端 服务器端 ,[天河区]
祺曜互娱,C++服务端,10k-18k,游戏 不需要融资 150-500人,经验1-3年 大专,"“五险一金,节日福利,包餐，绩效奖金”",游戏 C++ 后端 服务器端 ,[天河区]
经传多赢,C++开发工程师（级别多待遇好）,12k-24k·17薪,金融 不需要融资 2000人以上,经验不限 本科,“全栈全牛多 技术实力雄厚 技术氛围浓厚”,移动互联网 互联网金融 C++ 后端 服务器端 ,[番禺区]
未来科技城,c++开发工程师（广州）,15k-30k·14薪,"移动互联网,企业服务 不需要融资 50-150人",经验不限 本科,“弹性上班、免费午餐、周末双休、六险一金”,C++ ,[天河区]
广东全娱科技有限公司,C++游戏开发工程师,8k-15k,文娱丨内容 未融资 50-150人,经验1-3年 大专,“朝九晚六，周末双休， 六险一金”,C++ Lua ,[洛溪]
佳都科技,高级c++开发工程师,15k-25k·13薪,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“上市公司+食堂+有竞争力的薪资待遇”,C++ ,[天河区]
CVTE,高级C++研发工程师,39k-50k·13薪,"数据服务,硬件 上市公司 2000人以上",经验5-10年 本科,“中国500强，季度奖金，发展空间大”,C++ C 算法 ,[黄埔区]
广州闪游,初级C++游戏工程师,4k-6k,"移动互联网,游戏 未融资 15-50人",经验应届毕业生 不限,“年股票期权 分红 上升空间高”,游戏 C++ Lua MySQL ,[天河区]
翼课网,C++研发工程师 (IOS开发方向）,8k-15k,"移动互联网,教育 不需要融资 500-2000人",经验应届毕业生 本科,“周末双休（不996）、队友奈斯、弹性上班”,移动互联网 教育 IOS Swift OC 移动端 ,[大石]
芹菜科技,c++开发工程师,10k-15k,游戏 天使轮 15-50人,经验1-3年 大专,“交通补贴、餐补、节日礼品生日福利”,游戏 ,[元岗]
4399游戏,C++开发（有高级开发和主程岗位）,15k-30k,游戏 不需要融资 500-2000人,经验不限 本科,“薪酬待遇好，发展空间大”,服务器端 C++ ,[龙口]
玩动,c/c++开发工程师,7k-13k·13薪,"移动互联网,游戏 不需要融资 150-500人",经验应届毕业生 本科,“工作餐 下午茶 项目奖金 大神带飞”,游戏 C++ C# Lua ,[五山]
佑盛文化传播,C++开发工程师,8k-15k,"游戏,移动互联网 不需要融资 15-50人",经验1-3年 大专,"“发展空间大,周末双休,交通便利,年终奖金”",后端 C++ Linux/Unix C ,[天河北]
趣丸,高级C++开发工程师,25k-50k,游戏 不需要融资 500-2000人,经验5-10年 本科,"“大牛多,平台大,福利好,高薪”",移动互联网 Linux/Unix C++ 服务器端 ,[珠江新城]
