公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
全球购骑士特权,前端开发工程师,10k-15k,电商 A轮 500-2000人,经验3-5年 本科,“五险一金，年终奖，周末双休，团建”,电商 前端开发 HTML5 Node.js ,[天河北]
微咔世纪,前端开发工程师,8k-15k,社交 A轮 150-500人,经验1-3年 本科,“六险一金、周末双休、贴心餐补、零食畅享”,移动端 HTML5 ,[琶洲]
Mobvista,前端开发工程师,12k-20k·15薪,广告营销 上市公司 500-2000人,经验1-3年 本科,“平均15-16薪，一日三餐下午茶”,移动互联网 前端开发 ,[珠江新城]
清风科技,前端开发工程师,8k-15k·13薪,移动互联网 不需要融资 50-150人,经验5-10年 本科,“年底双薪，五险一金，地铁周边”,移动互联网 前端开发 Web前端 HTML5 ,[越秀区]
中翰云,前端开发工程师,10k-13k·13薪,"信息安全,软件开发 不需要融资 15-50人",经验1-3年 本科,“公司自有产品”,HTML HTML5 前端开发 Angular ,[珠江新城]
ENTROBUS,前端开发工程师,10k-15k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“地铁周边，周末双休，五险一金”,前端开发 ,[大学城]
伊智,前端工程师,10k-20k,消费生活 不需要融资 500-2000人,经验3-5年 大专,"“设备补贴,月度奖金,年底奖金,mac环境”",前端开发 Javascript Node.js HTML5 ,[天河区]
广州超链,前端工程师,8k-13k,"移动互联网,电商 不需要融资 50-150人",经验3-5年 本科,"“高薪,成长空间大”",移动端 HTML Javascript Web前端 ,[越秀区]
广州超链,前端开发工程师,8k-12k,"移动互联网,电商 不需要融资 50-150人",经验3-5年 大专,“氛围活跃，技术大牛多，双休，扁平化”,前端开发 ,[越秀区]
易幻网络,前端开发工程师,9k-13k,游戏 上市公司 150-500人,经验1-3年 本科,“周末双休、14 薪、餐补、发展空间大”,游戏 移动互联网 前端开发 Javascript CSS Vue ,[林和]
修炼,前端工程师,10k-15k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“五险一金 周末双休 交通便利”,前端开发 Web前端 Vue Javascript ,[石牌]
富力地产,前端开发工程师,15k-30k,"移动互联网,电商 上市公司 2000人以上",经验3-5年 本科,“技术大牛、扁平化管理”,前端开发 ,[珠江新城]
网新新思,前端开发工程师,10k-14k,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 大专,“五险一金周末双休”,Vue ES6 Javascript ,[天河区]
哇嘎互娱,前端开发工程师,8k-15k,"移动互联网,文娱丨内容 不需要融资 15-50人",经验1-3年 大专,“五险一金 扁平化团队 下午茶 生日福利”,社交 CSS HTML Node.js ,[东圃]
网新新思,前端开发工程师,10k-14k·13薪,"移动互联网,企业服务 上市公司 500-2000人",经验1-3年 大专,“互联网氛围 技术大牛 年轻化”,HTML5 ES6 Javascript CSS ,[天河区]
Medalsoft,前端开发实习生,3k-4k,"企业服务,信息安全 不需要融资 50-150人",经验应届毕业生 本科,“发展空间大 团队氛围好 领导nice”,企业服务 移动端 前端开发 Javascript ,[元岗]
格利食品网,前端开发工程师,6k-9k,电商 不需要融资 50-150人,经验1-3年 本科,“拟上市阶段、B2B电商平台、技术型团队”,电商 工具软件 ,[南源]
数鹏通科技,前端开发工程师,8k-12k,移动互联网 未融资 150-500人,经验1-3年 本科,“有强大的研发团队”,Web前端 前端开发 Vue ,[五山]
智尧信息,前端工程师,10k-16k·14薪,移动互联网 未融资 50-150人,经验3-5年 本科,“六险一金，周末双休，加班不多，龙腾出行年卡”,React ,[广州]
蓝深科技,前端开发工程师,9k-15k,电商 A轮 500-2000人,经验3-5年 本科,“周末双休 五险一金”,前端开发 ,[龙溪]
网新新思,前端开发工程师,10k-14k,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 大专,“五险一金周末双休”,Vue ES6 Javascript ,[天河区]
淳享科技,前端开发工程师,8k-15k·13薪,"移动互联网,消费生活 未融资 15-50人",经验1-3年 大专,“周末双休、五险一金、年底双薪、节日福利”,电商 新零售 移动端 前端开发 Web前端 ES6 ,[天河区]
广州趣米网络,前端开发工程师,7k-10k,"移动互联网,企业服务 不需要融资 150-500人",经验不限 本科,"“五险一金,带薪年假,周末双休,晋升培训”",Javascript Node.js ,[天河区]
广州细刻,前端开发工程师,14k-18k,电商 A轮 500-2000人,经验3-5年 本科,"“带薪年假,五险一金,餐补”",电商 前端开发 Web前端 React native Node.js ,[天河北]
金十数据,前端开发实习生,4k-5k,"移动互联网,金融 不需要融资 150-500人",经验应届毕业生 本科,"“转正机会,周末双休,节日礼物,实习证明”",前端开发 Web前端 Vue ,[海珠区]
雳德,前端开发工程师,10k-15k,"移动互联网,其他 未融资 50-150人",经验3-5年 大专,“央企上班大平台大项目牛人多多加班补贴”,jQuery Vue HTML5 CSS3 ,[天河区]
