公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
蜜源新媒体,DBA,25k-35k·14薪,"移动互联网,电商 不需要融资 150-500人",经验不限 本科,“丰厚年终 行业****”,MySQL ,[海珠区]
博纳德,DBA,15k-22k,移动互联网 天使轮 150-500人,经验3-5年 大专,“发展潜力大；薪资福利好”,运维 MySQL ,[天河区]
博纳德,dba,15k-22k,移动互联网 天使轮 150-500人,经验3-5年 大专,“五险一金 发展空间大 餐补”,MySQL ,[天河区]
广州棒谷科技股份有限公司,DBA(SQL sever/mysql),13k-25k,电商 不需要融资 2000人以上,经验3-5年 大专,“年终奖”,SQLServer ,[同德]
中移互联网,数据库开发工程师,15k-22k·16薪,移动互联网 不需要融资 500-2000人,经验5-10年 本科,“国企稳定 福利优 平台大 资源多”,即时通讯 企业服务 ,[珠江新城]
触漫,DBA运维工程师,15k-25k·13薪,"移动互联网,文娱丨内容 B轮 150-500人",经验3-5年 大专,“扁平架构 团队耐撕 年终奖”,DBA MySQL ,[海珠区]
上海井胜,DBA工程师,15k-20k,数据服务 未融资 500-2000人,经验3-5年 本科,“工作稳定、每年2次升级调整”,DBA ,[东风东]
德惟科技,高级DBA工程师,11k-18k,"金融,移动互联网 不需要融资 150-500人",经验3-5年 不限,“年终奖，有加班费，团队氛围轻松”,移动互联网 数据库运维 MySQL Shell 数据库管理员 ,[五山]
中视信息,dba数据库管理员,20k-40k,"数据服务,软件开发 不需要融资 50-150人",经验3-5年 本科,“五险一金，期权”,大数据 MySQL ,[淘金]
Bigo,高级DBA工程师,25k-40k·15薪,"移动互联网,社交 上市公司 2000人以上",经验3-5年 本科,“技术氛围好；发展空间广；注重分享”,DBA ,[市桥]
酷狗音乐,ZNXT-DBA,10k-20k,文娱丨内容 上市公司 500-2000人,经验3-5年 本科,“福利待遇好、下午茶、餐补、大互联网平台”,音乐 直播 ,[棠下]
CLPS,数据库开发（Oracle）,12k-20k,"数据服务,金融 未融资 500-2000人",经验3-5年 本科,"“500强,六险一金,带薪年假,年终奖”",Oracle 数据库开发 DBA ,[建设]
建信金科,oracle数据库研发工程师/DBA,15k-25k,"金融,软件开发 不需要融资 2000人以上",经验1-3年 本科,“银行系金融科技公司、六险一金、餐补”,DBA Oracle 数据仓库 ,[越秀区]
朗新科技,DBA(J11576),8k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“朝九晚六 周末双休 六险一金 上下班不打卡”,技能培训 年底双薪 带薪年假 岗位晋升 ,[海珠区]
