公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
三七互娱,php开发工程师,10k-15k·15薪,游戏 上市公司 2000人以上,经验1-3年 本科,“待遇佳、福利好、各种免费零食、15薪”,PHP ,[车陂]
依琪信息科技,php开发工程师,8k-15k,"移动互联网,电商 不需要融资 50-150人",经验1-3年 大专,“社会保险 全勤奖 工龄奖”,电商 MySQL PHP 后端 ,[白云区]
触漫,高级php开发工程师,18k-30k,"移动互联网,文娱丨内容 B轮 150-500人",经验3-5年 本科,"“周末双休,六险一金,年度旅游,年底双薪”",PHP Golang 服务器端 ,[海珠区]
触漫,PHP开发工程师,10k-20k,"移动互联网,文娱丨内容 B轮 150-500人",经验1-3年 本科,"“周末双休,六险一金,年度旅游,年底双薪”",移动互联网 ,[海珠区]
依琪信息科技,php开发工程师,8k-10k,"移动互联网,电商 不需要融资 50-150人",经验1-3年 大专,“五险一金 带薪年假 全勤奖 工龄奖”,后端 PHP MySQL Linux/Unix ,[白云区]
福大科技,php开发工程师,15k-17k,"医疗丨健康,软件开发 未融资 15-50人",经验3-5年 大专,“技术经理，五险一金，双休，中餐福利等”,医疗健康 新零售 PHP Java C++ MySQL ,[海珠区]
酷麦,PHP工程师,10k-16k,移动互联网 不需要融资 50-150人,经验1-3年 本科,"“五险一金,餐饮补贴,周末双休,年终奖”",后端 MySQL PHP ,[天河区]
织点智能,PHP开发工程师,12k-18k,"移动互联网,人工智能 A轮 50-150人",经验3-5年 大专,"“双休,六险一金,弹性工作,扁平管理”",新零售 Java Python 系统架构 Node.js ,[昌岗]
哇嘎互娱,php开发工程师,8k-15k,"移动互联网,文娱丨内容 不需要融资 15-50人",经验1-3年 大专,“五险一金 扁平化团队 下午茶 生日福利”,后端 Laravel ,[东圃]
卖家宝,php开发工程师,10k-15k,电商 不需要融资 150-500人,经验1-3年 本科,“加班工资 季度活动 带薪年假”,电商 Laravel ,[东圃]
悦跑圈,php开发工程师,15k-22k,体育 C轮 150-500人,经验5-10年 本科,“优秀的团队+有挑战的目标”,移动互联网 PHP ,[珠江新城]
广州细刻,php开发工程师,14k-18k,电商 A轮 500-2000人,经验3-5年 本科,“五险一金 晋升机制 节假日福利”,电商 PHP ,[天河北]
蜂擎科技,高级php开发工程师,12k-20k,"电商,软件开发 未融资 50-150人",经验3-5年 大专,“地铁口上办公，交通便利”,电商 PHP ,[白云区]
蜂擎科技,php开发工程师,8k-12k,"电商,软件开发 未融资 50-150人",经验1-3年 大专,“地铁口上办公，交通便利”,电商 ,[白云区]
建顺信息,PHP开发工程师,10k-14k,"消费生活,物流丨运输 A轮 50-150人",经验3-5年 大专,“弹性工作 五险一金 年终奖金 双休”,PHP 后端 MySQL Javascript ,[天河区]
青鹿教育,php开发工程师,8k-13k·14薪,"教育,移动互联网 不需要融资 150-500人",经验1-3年 本科,“朝阳行业，五险一金，包双餐，晋升空间大”,教育 PHP ,[黄埔区]
3K游戏,php工程师,12k-24k·13薪,"游戏,移动互联网 上市公司 150-500人",经验3-5年 本科,"“包三餐,海外旅游,氛围环境好,六险一金”",游戏 PHP ,[棠下]
安豆科技,高级php开发工程师,15k-25k,游戏 A轮 50-150人,经验3-5年 大专,“福利待遇好，发展空间大”,游戏 游戏开发 PHP Laravel MySQL ,[天河区]
蓝光智能,php开发工程师,15k-30k,"数据服务,物联网 天使轮 50-150人",经验5-10年 本科,“高薪”,大数据 ,[南岗]
一手,php开发工程师,15k-25k,"移动互联网,电商 C轮 500-2000人",经验3-5年 大专,“五险一金、期权”,电商 PHP ,[荔湾区]
爱德,php工程师,6k-12k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“地铁直达、周末双休、福利齐全”,PHP ,[新港]
四九游戏,php开发工程师,12k-15k,游戏 B轮 150-500人,经验1-3年 大专,"“五险一金,项目分红,年终奖,全勤奖”",游戏 PHP MySQL ,[珠江新城]
点购集团,PHP开发工程师,10k-18k,金融 D轮及以上 500-2000人,经验3-5年 大专,“五险一金、餐补、下午茶、双休”,电商 后端 ,[天园]
广州市搜游网络科技,php开发工程师,13k-19k·13薪,移动互联网 A轮 15-50人,经验1-3年 本科,“福利”,,[天河区]
好悦游戏,php开发工程师,7k-10k,"移动互联网,游戏 未融资 50-150人",经验1-3年 大专,“五险一金，包餐，下午茶，全勤奖，成长快、大小周”,PHP ,[天河公园]
