公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
网易,python开发工程师,15k-25k·16薪,电商 上市公司 2000人以上,经验1-3年 本科,“16薪，平台大，大牛多”,Python ,[天河区]
蜂擎科技,python开发工程师,10k-18k,"电商,软件开发 未融资 50-150人",经验1-3年 大专,“发展前景广，福利待遇无上限”,电商 Python ,[白云大道]
优路,Python工程师,6k-10k·13薪,不限 未融资 少于15人,经验不限 本科,“弹性工作制，双休，团队有资深海外互联网经验”,游戏 工具软件 后端 网络优化 数据采集 广告算法 ,[天河区]
博纳德,python开发工程师,12k-20k,移动互联网 天使轮 150-500人,经验3-5年 大专,“发展潜力大；工作氛围融洽；公司发展快”,Python 爬虫 爬虫工程师 ,[天河区]
广州宸百广告策划有限公司,python开发工程师,12k-18k,"文娱丨内容,游戏 未融资 15-50人",经验1-3年 不限,“晋升空间大”,Python ,[海珠区]
悦谦科技,Python开发工程师,15k-30k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“双休 扁平化管理 发展平台好 团队氛围好”,移动互联网 互联网金融 Python ,[客村]
经传多赢,python爬虫工程师,8k-15k,金融 不需要融资 2000人以上,经验1-3年 本科,“技术氛围浓厚 多样下午茶 不定期团建”,移动互联网 互联网金融 Python 爬虫 python爬虫 ,[天河区]
经传多赢,量化开发工程师（Python）,8k-13k,金融 不需要融资 2000人以上,经验1-3年 本科,“试用期全额 量化实力雄厚 行业前列 大平台”,移动互联网 金融 Python MySQL ,[番禺区]
百捷教育投资,python教员,8k-10k,教育 未融资 50-150人,经验1-3年 大专,“发展前景良好，团队实力雄厚。”,教育 大数据 Python 数据架构 数据库开发 Hadoop ,[白云区]
广州市搜游网络科技,Python工程师（爬虫）15k-23k,15k-23k,移动互联网 A轮 15-50人,经验1-3年 本科,“高薪、五险一金”,Python ,[天河区]
织点智能,Python开发工程师（天文背景）,6k-8k,"移动互联网,人工智能 A轮 50-150人",经验应届毕业生 本科,“周末双休；餐饮补贴；五险一金；扁平管理”,新零售 Python ,[昌岗]
酷狗音乐,PTBU-后端开发工程师（python),20k-35k,文娱丨内容 上市公司 500-2000人,经验3-5年 本科,“年终奖金、五险一金、三餐补贴、周末双休”,音乐 直播 ,[棠下]
乐其电商,数据分析师（Python）,8k-12k,电商 不需要融资 500-2000人,经验1-3年 本科,“双休 年终奖 带薪年假 内买福利”,电商 网络爬虫 爬虫工程师 ,[天河区]
深圳道乐,python爬虫实习生,2k-3k,"移动互联网,金融 未融资 150-500人",经验应届毕业生 本科,“拥抱互联网金融大平台，接触一线券商企业客户”,Python ,[琶洲]
优图网络,Python服务端开发工程师,8k-12k·13薪,"移动互联网,社交 不需要融资 少于15人",经验不限 本科,“网易游戏创业团队，大牛直接带你”,社交 即时通讯 Python ,[番禺区]
网易,Python开发工程师,20k-30k·16薪,电商 上市公司 2000人以上,经验3-5年 本科,“餐补 五险一金”,Python 数据库 中间件 ,[天河区]
