公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
华苏,java工程师,5k-8k,"移动互联网,数据服务 未融资 500-2000人",经验1-3年 本科,“发展前景好，周末双休”,移动互联网 大数据 ,[云岩区]
开科唯识,java开发工程师,6k-11k,金融 未融资 500-2000人,经验1-3年 本科,“五险一金 带薪年假 调薪机会 结婚和中秋礼金”,金融 Java ,[观山湖区]
贵州电商云,java开发工程师,6k-12k,"电商,数据服务 未融资 50-150人",经验1-3年 本科,“五险一金 工作环境 午餐美味”,电商 大数据 Java docker ,[观山湖区（金阳新区）]
黔云联创,Java开发工程师,6k-11k,软件开发、物联网 未融资 15-50人,经验1-3年 本科,“致力于旅游服务行业”,Java 全栈 ,[南明区]
文德数慧,java开发工程师-贵阳,12k-15k,企业服务 不需要融资 150-500人,经验3-5年 本科,“调薪机制 五险一金”,前端开发 Java 中间件 Linux/Unix ,[南明区]
贵州电商云,JAVA中级工程师,7k-14k,"电商,数据服务 未融资 50-150人",经验3-5年 本科,“五险一金 氛围好 工作环境好”,电商 Java MySQL ,[观山湖区（金阳新区）]
多彩宝,高级java开发工程师,10k-13k·14薪,"移动互联网,消费生活 不需要融资 15-50人",经验3-5年 大专,“发展前景好，团队年轻，学习氛围好”,大数据 Java ,[观山湖区（金阳新区）]
深圳宝润兴业,java开发工程师,10k-16k,"电商,移动互联网 上市公司 150-500人",经验5-10年 本科,“五险一金，周末双休，节假日福利，项目奖金”,后端 服务器端 客户端 ,[观山湖区（金阳新区）]
黔云联创,Java开发工程师,5k-10k,软件开发、物联网 未融资 15-50人,经验1-3年 本科,“人性化工作”,电商 旅游 Java 全栈 后端 ,[南明区]
一树药业,高级java开发工程师,12k-18k,"医疗丨健康,消费生活 未融资 2000人以上",经验3-5年 本科,“五险一金、法定节假日、奖金、外出培训”,医疗健康 新零售 ,[花果园]
贵州萌校园文化传播有限公司,Java开发工程师,3k-4k,电商 不需要融资 少于15人,经验1-3年 大专,“希望能有志同道合的人一起共事”,电商 后端 MySQL JS ,[南明区]
一树药业,Java开发工程师,10k-18k,"医疗丨健康,消费生活 未融资 2000人以上",经验3-5年 本科,“阿里巴巴合作，五险一金，牛人云集等”,Javascript Linux/Unix J2EE ,[花果园]
贵阳星力百货,java开发工程师,7k-14k,"其他,消费生活 D轮及以上 2000人以上",经验不限 大专,“五险一金 生日福利 定期团队活动 年终奖”,电商 后端 服务器端 ,[观山湖区（金阳新区）]
鼎慧大数据,Java开发工程师,8k-15k,软件开发、人工智能 未融资 15-50人,经验3-5年 本科,“技术开发”,大数据 Java 全栈 软件开发 分布式 ,[观山湖区（金阳新区）]
联通系统集成有限公司贵州省分公司,java高级开发工程师,10k-20k,"移动互联网,其他 上市公司 50-150人",经验3-5年 本科,“五险一金、周末双休、带薪休假、员工体检”,Javascript Hadoop ,[观山湖区]
贵州萌校园文化传播有限公司,Java开发工程师,6k-8k,电商 不需要融资 少于15人,经验3-5年 不限,“合伙人”,电商 Java Javascript 客户端 服务器端 ,[南明区]
高新数通,java开发工程师,6k-10k,"移动互联网,医疗丨健康 未融资 15-50人",经验1-3年 大专,“自主产品，要求高，提升快，团队年轻有活力”,后端 ,[白云区]
三希软件,java开发工程师,5k-10k,"移动互联网,人工智能 未融资 50-150人",经验1-3年 本科,“缴纳五险一金，周末双休，节假日休息”,后端 Web前端 Java ,[观山湖区（金阳新区）]
深圳宝润兴业,java项目经理,10k-16k,"电商,移动互联网 上市公司 150-500人",经验5-10年 本科,“项目奖金、五险一金、周末双休、带薪假期”,Java MySQL 后端 ,[观山湖区（金阳新区）]
贵州华创云科技有限公司,java开发工程师,7k-10k,移动互联网 未融资 15-50人,经验3-5年 本科,“五险一金、带薪年假”,后端 ,[观山湖区（金阳新区）]
融资岛,java开发工程师,10k-15k·13薪,"消费生活,金融 未融资 15-50人",经验3-5年 本科,“高薪，办公职场环境好，团队和谐”,大数据 金融 Java MySQL ,[观山湖区（金阳新区）]
