公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
深圳市壹平台,前端开发工程师,5k-10k·13薪,软件开发 未融资 150-500人,经验1-3年 本科,“有挑战、足够大的设置空间、具有竞争的平台”,前端开发 Web前端 Vue Node.js ,[南明区]
贵州电商云,前端开发工程师,6k-12k,"电商,数据服务 未融资 50-150人",经验1-3年 本科,"“五险一金,绩效奖金,带薪年假,员工培训”",HTML Web前端 ,[观山湖区（金阳新区）]
戴玛科技,前端开发工程师,5k-10k,"数据服务,企业服务 未融资 15-50人",经验1-3年 不限,“五险一金 项目奖金 年终奖 带薪年假”,前端开发 Web前端 Vue ,[无]
四川新东网,前端工程师,7k-12k,移动互联网 上市公司 500-2000人,经验3-5年 大专,“周末双休 五险一金 节假日福利”,前端开发 Web前端 ,[观山湖区（金阳新区）]
推酷网络,前端开发工程师,11k-12k,金融 不需要融资 2000人以上,经验3-5年 本科,“五险一金、带薪年假、周末双休、弹性工作制”,工具软件 ,[云岩区]
深圳宝润兴业,前端开发工程师,10k-15k,"电商,移动互联网 上市公司 150-500人",经验3-5年 本科,“发展前景、稳定平台”,前端开发 Web前端 Vue ,[观山湖区（金阳新区）]
梵途,web前端开发工程师,9k-11k,移动互联网 天使轮 15-50人,经验3-5年 大专,“五险一金 生日福利 定期团队活动 年终奖”,大数据 移动互联网 Web前端 HTML5 Javascript CSS ,[观山湖区（金阳新区）]
恰同学少年科技,web前端开发工程师,6k-7k,"移动互联网,电商 天使轮 15-50人",经验1-3年 本科,“有发展前景”,大数据 Web前端 Node.js Vue Javascript ,[观山湖区（金阳新区）]
支点互动,php工程师,6k-10k·13薪,"移动互联网,企业服务 不需要融资 少于15人",经验1-3年 大专,“绩效奖金、带薪休假 、五险一金”,新零售 电商 MySQL PHP docker ,[观山湖区]
华苏,java工程师,5k-8k,"移动互联网,数据服务 未融资 500-2000人",经验1-3年 本科,“发展前景好，周末双休”,移动互联网 大数据 ,[云岩区]
星光互动,php开发工程师,5k-7k·13薪,文娱丨内容 不需要融资 少于15人,经验1-3年 不限,“小团队 关系简单 氛围好”,PHP 软件开发 ,[南明区]
开科唯识,java开发工程师,6k-11k,金融 未融资 500-2000人,经验1-3年 本科,“五险一金 带薪年假 调薪机会 结婚和中秋礼金”,金融 Java ,[观山湖区]
文德数慧,java开发工程师-贵阳,12k-15k,企业服务 不需要融资 150-500人,经验3-5年 本科,“调薪机制 五险一金”,前端开发 Java 中间件 Linux/Unix ,[南明区]
贵州电商云,node工程师,6k-12k,"电商,数据服务 未融资 50-150人",经验不限 本科,“五险一金 氛围好 工作环境好”,电商 Node.js ,[观山湖区（金阳新区）]
星力量信息,js开发工程师,2k-4k,"数据服务,人工智能 未融资 少于15人",经验不限 不限,“薪资看能力”,云计算 企业服务 Node.js 数据采集 ,[南明区]
恰同学少年科技,php开发工程师,6k-9k,"移动互联网,电商 天使轮 15-50人",经验1-3年 本科,“福利待遇好，发展前景好”,大数据 移动互联网 Javascript HTML/CSS Yii HTML5 ,[花溪区]
医医科技,研发工程师,8k-10k,"医疗丨健康,软件开发 天使轮 50-150人",经验1-3年 本科,“双休，弹性工作。”,大数据 医疗健康 后端 C++ C Java ,[南明区]
一树药业,Java开发工程师,10k-18k,"医疗丨健康,消费生活 未融资 2000人以上",经验3-5年 本科,“阿里巴巴合作，五险一金，牛人云集等”,Javascript Linux/Unix J2EE ,[花果园]
一树药业,高级java开发工程师,12k-18k,"医疗丨健康,消费生活 未融资 2000人以上",经验3-5年 本科,“五险一金、法定节假日、奖金、外出培训”,医疗健康 新零售 ,[花果园]
惠民安居,PHP研发工程师,6k-10k,"移动互联网,消费生活 不需要融资 50-150人",经验1-3年 大专,“双休，不加班，餐补，房补，节礼，五险一金”,后端 PHP ,[观山湖区（金阳新区）]
贵州众信云信息技术有限公司,高级PHP开发工程师,8k-10k,"移动互联网,信息安全 上市公司 2000人以上",经验3-5年 本科,“国企，股份”,PHP Java Javascript MySQL ,[花溪区]
贵州志远德心,WEB前端解答老师,8k-15k,移动互联网 不需要融资 少于15人,经验3-5年 大专,“待遇好，薪资高，只需要负责解答问题，轻松”,HTML5 前端开发 Javascript CSS ,[花果园]
联通系统集成有限公司贵州省分公司,java高级开发工程师,10k-20k,"移动互联网,其他 上市公司 50-150人",经验3-5年 本科,“五险一金、周末双休、带薪休假、员工体检”,Javascript Hadoop ,[观山湖区]
八角亭传媒,php开发工程师,5k-7k,"企业服务,软件开发 不需要融资 15-50人",经验1-3年 本科,“创业公司”,分类信息 本地生活 Linux/Unix 移动开发 网络优化 数据挖掘 ,[花果园]
溪山科技,java开发工程师,5k-10k,"人工智能,软件开发 不需要融资 15-50人",经验1-3年 本科,“晋升空间大”,Java Javascript MySQL ,[花溪区]
博蕴智尚,php开发工程师,6k-12k,移动互联网 未融资 15-50人,经验不限 不限,“晋升空间大，公司年底福利丰厚。带薪年假”,后端 服务器端 PHP ,[南明区]
