公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
袋鼠云,迁云-DBA方向 (MJ000409),8k-13k·13薪,数据服务 B轮 150-500人,经验1-3年 不限,“云计算；挑战；扁平管理；”,企业服务 云计算 DBA ,[观山湖区]
百得思维,技术支持工程师,7k-10k·14薪,其他 未融资 2000人以上,经验3-5年 本科,“五险一金、班车、餐补、双休、话补”,Linux ,[观山湖区（金阳新区）]
高奈特,运维工程师（贵阳）,5k-9k,"信息安全,数据服务 上市公司 150-500人",经验1-3年 大专,“大数据行业”,大数据 MySQL Linux 系统运维 大数据运维 ,[观山湖区（金阳新区）]
贵州智诚科技有限公司,软件实施工程师,9k-11k·14薪,"数据服务,其他 不需要融资 50-150人",经验3-5年 本科,“14薪 员工旅游 交通补贴 绩效奖金 年终奖金”,大数据 Linux 实施 技术支持 ,[观山湖区（金阳新区）]
支点互动,php工程师,6k-10k·13薪,"移动互联网,企业服务 不需要融资 少于15人",经验1-3年 大专,“绩效奖金、带薪休假 、五险一金”,新零售 电商 MySQL PHP docker ,[观山湖区]
高登世德金融,软件开发实习生（贵阳）,2k-3k,"金融,软件开发 B轮 50-150人",经验应届毕业生 本科,"“周末双休,专业培训,转正机会,实习补贴”",软件开发 ,[观山湖区（金阳新区）]
高登世德金融,产品运维开发工程师,10k-13k,"金融,软件开发 B轮 50-150人",经验3-5年 本科,"“五险一金,周末双休,扁平管理,金融科技”",互联网金融 ,[云岩区]
星光互动,php开发工程师,5k-7k·13薪,文娱丨内容 不需要融资 少于15人,经验1-3年 不限,“小团队 关系简单 氛围好”,PHP 软件开发 ,[南明区]
诚迈信息,实施运维工程师,10k-20k·13薪,软件开发 上市公司 150-500人,经验1-3年 本科,“餐补、月度团建、13薪、节假日补贴”,K8s/Docker Linux Python MySQL ,[南明区]
贵州智诚科技有限公司,软件测试工程师,10k-15k,"数据服务,其他 不需要融资 50-150人",经验不限 本科,“知名企业 大数据排名靠前”,测试 ,[观山湖区（金阳新区）]
贵州电商云,JAVA中级工程师,7k-14k,"电商,数据服务 未融资 50-150人",经验3-5年 本科,“五险一金 氛围好 工作环境好”,电商 Java MySQL ,[观山湖区（金阳新区）]
贵州电商云,python工程师,6k-12k,"电商,数据服务 未融资 50-150人",经验不限 本科,“五险一金 氛围好 工作环境好”,电商 Python ,[观山湖区（金阳新区）]
梵途,技术总监,18k-23k·13薪,移动互联网 天使轮 15-50人,经验5-10年 本科,“国内领先的大宗建材网络货运综合服务平台”,团队建设 领导力 决策能力 高级技术管理 ,[观山湖区（金阳新区）]
梵途,高级开发工程师,12k-16k·13薪,移动互联网 天使轮 15-50人,经验3-5年 本科,“五险一金、节日福利、生日福利、住房补贴”,Java PHP 软件开发 ,[观山湖区（金阳新区）]
多彩宝,高级java开发工程师,10k-13k·14薪,"移动互联网,消费生活 不需要融资 15-50人",经验3-5年 大专,“发展前景好，团队年轻，学习氛围好”,大数据 Java ,[观山湖区（金阳新区）]
黔云联创,Java开发工程师,5k-10k,软件开发、物联网 未融资 15-50人,经验1-3年 本科,“人性化工作”,电商 旅游 Java 全栈 后端 ,[南明区]
恰同学少年科技,php开发工程师,6k-9k,"移动互联网,电商 天使轮 15-50人",经验1-3年 本科,“福利待遇好，发展前景好”,大数据 移动互联网 Javascript HTML/CSS Yii HTML5 ,[花溪区]
诚迈信息,运维工程师,15k-25k·13薪,软件开发 上市公司 150-500人,经验1-3年 本科,“五险一金双休绩效奖金餐补交通补贴”,大数据 K8s/Docker Jenkins Linux Python ,[云岩区]
一树药业,高级java开发工程师,12k-18k,"医疗丨健康,消费生活 未融资 2000人以上",经验3-5年 本科,“五险一金、法定节假日、奖金、外出培训”,医疗健康 新零售 ,[花果园]
贵州萌校园文化传播有限公司,Java开发工程师,3k-4k,电商 不需要融资 少于15人,经验1-3年 大专,“希望能有志同道合的人一起共事”,电商 后端 MySQL JS ,[南明区]
贵阳星力百货,java开发工程师,7k-14k,"其他,消费生活 D轮及以上 2000人以上",经验不限 大专,“五险一金 生日福利 定期团队活动 年终奖”,电商 后端 服务器端 ,[观山湖区（金阳新区）]
亿算网络,php开发工程师,5k-10k,移动互联网 未融资 少于15人,经验1-3年 本科,“能力学习爱好者 会有不一样的收获”,移动互联网 Node.js Erlang 后端 Ruby ,[南明区]
融资岛,java开发工程师,10k-15k·13薪,"消费生活,金融 未融资 15-50人",经验3-5年 本科,“高薪，办公职场环境好，团队和谐”,大数据 金融 Java MySQL ,[观山湖区（金阳新区）]
鼎慧大数据,Java开发工程师,8k-15k,软件开发、人工智能 未融资 15-50人,经验3-5年 本科,“技术开发”,大数据 Java 全栈 软件开发 分布式 ,[观山湖区（金阳新区）]
多彩宝,高级运维工程师,8k-10k,"移动互联网,消费生活 不需要融资 15-50人",经验3-5年 大专,“晋升空间大 团队氛围好 福利待遇好”,大数据 Linux MySQL ,[观山湖区（金阳新区）]
贵州宏立城集团,后端研发经理/高级工程师,15k-30k,"数据服务,其他 不需要融资 2000人以上",经验5-10年 本科,“平台大、双休、五险一金、工作餐”,移动互联网 信息安全 服务器端 客户端 平台 分布式 ,[花果园]
联通系统集成有限公司贵州省分公司,java高级开发工程师,10k-20k,"移动互联网,其他 上市公司 50-150人",经验3-5年 本科,“五险一金、周末双休、带薪休假、员工体检”,Javascript Hadoop ,[观山湖区]
贵阳讯鸟,php开发工程师,6k-12k,数据服务 未融资 150-500人,经验1-3年 本科,“五险一金，带薪年假，节假日福利”,PHP 后端 Linux/Unix Python ,[花果园]
友杰科技,php开发工程师,5k-7k,移动互联网 / /,经验1-3年 本科,“朝九晚六、法定节假日、节日福利”,后端 HTML/CSS 软件开发 PHP ,[花果园]
溪山科技,java开发工程师,5k-10k,"人工智能,软件开发 不需要融资 15-50人",经验1-3年 本科,“晋升空间大”,Java Javascript MySQL ,[花溪区]
贵州萌校园文化传播有限公司,Java开发工程师,6k-8k,电商 不需要融资 少于15人,经验3-5年 不限,“合伙人”,电商 Java Javascript 客户端 服务器端 ,[南明区]
高新数通,java开发工程师,6k-10k,"移动互联网,医疗丨健康 未融资 15-50人",经验1-3年 大专,“自主产品，要求高，提升快，团队年轻有活力”,后端 ,[白云区]
三希软件,java开发工程师,5k-10k,"移动互联网,人工智能 未融资 50-150人",经验1-3年 本科,“缴纳五险一金，周末双休，节假日休息”,后端 Web前端 Java ,[观山湖区（金阳新区）]
贵州智诚科技有限公司,架构师,25k-35k,"数据服务,其他 不需要融资 50-150人",经验5-10年 本科,“领导好，氛围好，平台好”,企业服务 工具软件 系统架构 技术管理 ,[观山湖区（金阳新区）]
贵州电商云,java开发工程师,6k-12k,"电商,数据服务 未融资 50-150人",经验1-3年 本科,“五险一金 工作环境 午餐美味”,电商 大数据 Java docker ,[观山湖区（金阳新区）]
