公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
高登世德金融,Python开发工程师（贵阳）,7k-12k,"金融,软件开发 B轮 50-150人",经验3-5年 本科,"“五险一金,专业培训,周末双休,扁平管理”",Python C# ,[观山湖区]
贵州电商云,python工程师,6k-12k,"电商,数据服务 未融资 50-150人",经验不限 本科,“五险一金 氛围好 工作环境好”,电商 Python ,[观山湖区（金阳新区）]
袋鼠云,迁云-DBA方向 (MJ000409),8k-13k·13薪,数据服务 B轮 150-500人,经验1-3年 不限,“云计算；挑战；扁平管理；”,企业服务 云计算 DBA ,[观山湖区]
高奈特,运维工程师（贵阳）,5k-9k,"信息安全,数据服务 上市公司 150-500人",经验1-3年 大专,“大数据行业”,大数据 MySQL Linux 系统运维 大数据运维 ,[观山湖区（金阳新区）]
诚迈信息,实施运维工程师,10k-20k·13薪,软件开发 上市公司 150-500人,经验1-3年 本科,“餐补、月度团建、13薪、节假日补贴”,K8s/Docker Linux Python MySQL ,[南明区]
贵州智诚科技有限公司,大数据研发工程师,11k-16k,"数据服务,其他 不需要融资 50-150人",经验3-5年 本科,“知名企业 大数据排名靠前”,Hive Hadoop Spark MySQL ,[观山湖区（金阳新区）]
贵州智诚科技有限公司,软件测试工程师,10k-15k,"数据服务,其他 不需要融资 50-150人",经验不限 本科,“知名企业 大数据排名靠前”,测试 ,[观山湖区（金阳新区）]
贵州电商云,运维工程师,7k-14k,"电商,数据服务 未融资 50-150人",经验3-5年 本科,“五险一金 氛围好 工作环境好”,电商 TCP协议 IP协议 ,[观山湖区（金阳新区）]
深圳宝润兴业,java开发工程师,10k-16k,"电商,移动互联网 上市公司 150-500人",经验5-10年 本科,“五险一金，周末双休，节假日福利，项目奖金”,后端 服务器端 客户端 ,[观山湖区（金阳新区）]
深圳宝润兴业,java项目经理,10k-16k,"电商,移动互联网 上市公司 150-500人",经验5-10年 本科,“项目奖金、五险一金、周末双休、带薪假期”,Java MySQL 后端 ,[观山湖区（金阳新区）]
医医科技,数据开发工程师,9k-14k,"医疗丨健康,软件开发 天使轮 50-150人",经验1-3年 本科,“双休，弹性工作，福利补贴，13薪。”,医疗健康 移动互联网 ,[南明区]
医医科技,架构师,15k-25k,"医疗丨健康,软件开发 天使轮 50-150人",经验5-10年 本科,“双休，弹性工作，福利补贴，13薪。”,医疗健康 移动互联网 ,[南明区]
诚迈信息,运维工程师,15k-25k·13薪,软件开发 上市公司 150-500人,经验1-3年 本科,“五险一金双休绩效奖金餐补交通补贴”,大数据 K8s/Docker Jenkins Linux Python ,[云岩区]
东彩科技,高级测试开发工程师,8k-15k,"金融,区块链 不需要融资 15-50人",经验3-5年 本科,“薪酬与福利同行，能力与责任并重。”,大数据 云计算 Android测试 IOS测试 Server端测试 Web测试 ,[观山湖区（金阳新区）]
贵州百鹿电子商务有限公司,运维工程师,7k-12k,电商 未融资 150-500人,经验3-5年 本科,“可在家办公”,电商 ,[云岩区]
多彩宝,高级运维工程师,8k-10k,"移动互联网,消费生活 不需要融资 15-50人",经验3-5年 大专,“晋升空间大 团队氛围好 福利待遇好”,大数据 Linux MySQL ,[观山湖区（金阳新区）]
酷螺科技,VMware虚拟化工程师,5k-10k,"软件开发,数据服务 不需要融资 15-50人",经验3-5年 本科,“可持续共同发展”,Linux 服务器运维 网络运维 ,[观山湖区]
贵州智诚科技有限公司,架构师,25k-35k,"数据服务,其他 不需要融资 50-150人",经验5-10年 本科,“领导好，氛围好，平台好”,企业服务 工具软件 系统架构 技术管理 ,[观山湖区（金阳新区）]
贵州电商云,软件测试工程师,7k-14k,"电商,数据服务 未融资 50-150人",经验不限 本科,“五险一金 氛围好 工作环境好”,电商 测试 ,[观山湖区（金阳新区）]
贵州电商云,数据分析师,5k-10k,"电商,数据服务 未融资 50-150人",经验1-3年 本科,“氛围好 工作环境好”,SQL 数据库 数据分析 ,[观山湖区（金阳新区）]
