公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
科佳通用机电,软件经理（C++方向）,17k-22k·14薪,"人工智能,硬件 未融资 150-500人",经验5-10年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,技术管理 ,[香坊区]
科佳通用机电,c++高级开发工程师,15k-20k·14薪,"人工智能,硬件 未融资 150-500人",经验3-5年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,C++ ,[香坊区]
程天科技,C++软件工程师,5k-10k,教育 未融资 15-50人,经验不限 本科,“五险一金、定期体检、年节福利、餐补、交补”,Linux/Unix C++ QT MFC ,[和兴]
航天科技,图像处理工程师,5k-10k,其他 未融资 2000人以上,经验不限 本科,“周末双休 五险二金 免费班车 项目激励”,人工智能 图像处理 计算机视觉 深度学习 ,[曲线]
航天科技,嵌入式软件工程师,6k-12k,其他 未融资 2000人以上,经验不限 本科,“周末双休 五险二金 免费班车 项目激励”,汽车 C++ ARM 嵌入式 ,[平房区]
新中新集团,嵌入式软件工程师,6k-12k,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 本科,“良心企业，潜力平台，干事团队，炫酷舞台！”,视频 Linux ARM 嵌入式 ,[新春]
科佳通用机电,软件测试工程师,8k-10k·14薪,"人工智能,硬件 未融资 150-500人",经验3-5年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,功能测试 性能测试 系统测试 ,[香坊区]
科佳通用机电,软件测试经理,12k-15k·14薪,"人工智能,硬件 未融资 150-500人",经验5-10年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,测试管理 ,[香坊区]
航天科技,嵌入式linux应用开发工程师,6k-12k,其他 未融资 2000人以上,经验不限 本科,“周末双休 五险二金 免费班车 项目激励”,Linux C C++ 嵌入式 ,[曲线]
航天科技,算法工程师,10k-20k,其他 未融资 2000人以上,经验不限 硕士,“周末双休 五险二金 免费班车 项目激励”,算法 计算机视觉 ,[曲线]
