公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
鹏博科技,前端开发工程师,6k-10k,"移动互联网,电商 未融资 150-500人",经验3-5年 本科,“双休法休五险节假日福利年终奖金零食下午茶”,前端开发 ,[新春]
国裕健康,前端开发工程师,7k-9k,数据服务 未融资 150-500人,经验3-5年 本科,“五险一金，餐补，奖金，双休，年假，晋升”,医疗健康 云计算 CSS Javascript HTML 前端开发 ,[平房区]
福特威尔科技,前端开发工程师,5k-8k,其他 A轮 15-50人,经验3-5年 本科,“扁平化管理”,前端开发 ,[南岗区]
思维实创,前端开发工程师,6k-10k,软件开发 未融资 15-50人,经验3-5年 本科,“双休，五险一金，法定假，年假”,Vue HTML5 Javascript Objective-C ,[南岗区]
凡学文化教育,前端开发工程师,5k-9k,教育 未融资 15-50人,经验1-3年 不限,“公司发展空间大”,移动端 前端开发 ,[无]
紫软科技,web前端开发工程师,4k-7k,"信息安全,软件开发 不需要融资 50-150人",经验1-3年 大专,“双休 法休 有项目奖金 五险 节假日福利”,HTML CSS Vue ,[南岗区]
工大微识,java开发工程师,6k-9k,其他 未融资 15-50人,经验1-3年 本科,“五天半工作制 五险 交通补助 节日福利”,信息安全 大数据 后端 平台 人脸识别 ,[南岗区]
河北星泰,高级java开发工程师,7k-12k,软件开发 未融资 150-500人,经验3-5年 本科,“带薪培训、晋升机制明确”,Java MySQL ,[南岗区]
科佳通用机电,java开发工程师,9k-12k·14薪,"人工智能,硬件 未融资 150-500人",经验3-5年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,Java ,[香坊区]
河北星泰,开发工程师,6k-10k,软件开发 未融资 150-500人,经验1-3年 大专,“晋升机制明确，带薪培训”,Java MySQL ,[南岗区]
创力教育,web前端,2k-4k,"移动互联网,教育 A轮 50-150人",经验应届毕业生 本科,“五险，双休，生日礼”,前端开发 ,[创业中心]
创力教育,软件工程师助力（实习）,2k-4k,"移动互联网,教育 A轮 50-150人",经验不限 本科,“五险一金，生日礼，双休”,C# ,[香坊区]
唯空科技,php开发工程师,4k-5k,软件开发 不需要融资 少于15人,经验1-3年 大专,“五险”,PHP ,[松北区]
圣融科技,php,5k-8k,企业服务、软件开发 未融资 少于15人,经验3-5年 本科,“节日福利，法定休息”,前端开发 Web前端 软件开发 移动开发 ,[哈西]
黑龙江新洋科技有限公司,php程序员,4k-5k,"企业服务,其他 未融资 500-2000人",经验3-5年 大专,“五险 双休 朝九晚五”,PHP MySQL Java ,[平房区]
未名信息,java中级开发工程师,8k-10k·13薪,"移动互联网,教育 不需要融资 50-150人",经验1-3年 本科,“五险一金、双休、13薪”,Java ,[新春]
万线科技,java开发工程师,6k-8k,"移动互联网,电商 不需要融资 2000人以上",经验3-5年 本科,“开放的团队氛围，给予足够的空间发挥能力”,电商 移动互联网 后端 Java 人脸识别 移动开发 ,[哈平路]
Utalk帮你说,php开发工程师,6k-9k,"移动互联网,教育 A轮 150-500人",经验1-3年 大专,“五险一金+周末双休+带薪年假+节日福利”,后端 PHP ,[学府]
硕荣信息,Android开发工程师,5k-8k,移动互联网 / /,经验1-3年 大专,“五险”,移动互联网 企业服务 Android HTML5 ,[道外区]
河北星泰,java开发工程师,6k-10k,软件开发 未融资 150-500人,经验1-3年 大专,“职位晋升机制明确”,,[南岗区]
