公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
哈工智慧,研发总监（哈尔滨总部）,20k-30k,"人工智能,软件开发 未融资 150-500人",经验5-10年 本科,“优秀团队、良好氛围、有竞争力的薪酬制度”,工具软件 部门管理 技术管理 ,[哈西]
快手,数据分析师,6k-8k·14薪,文娱丨内容 D轮及以上 2000人以上,经验1-3年 本科,“数据分析”,数据分析 ,[南岗区]
字节指尖,android开发工程师,15k-25k,人工智能、物联网 不需要融资 少于15人,经验3-5年 本科,“五险一金、弹性工作、免费三餐、餐补”,工具软件 移动互联网 Android 移动端 ,[南岗区]
分形,高级开发工程师,8k-13k,"移动互联网,电商 不需要融资 150-500人",经验5-10年 本科,“五险一金、绩效奖金、弹性工作、定期体验”,PHP MySQL Java ,[南岗区]
工大微识,java开发工程师,6k-9k,其他 未融资 15-50人,经验1-3年 本科,“五天半工作制 五险 交通补助 节日福利”,信息安全 大数据 后端 平台 人脸识别 ,[南岗区]
科佳通用机电,java开发工程师,9k-12k·14薪,"人工智能,硬件 未融资 150-500人",经验3-5年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,Java ,[香坊区]
河北星泰,java开发工程师,6k-10k,软件开发 未融资 150-500人,经验1-3年 大专,“职位晋升机制明确”,,[南岗区]
唯空科技,php开发工程师,4k-5k,软件开发 不需要融资 少于15人,经验1-3年 大专,“五险”,PHP ,[松北区]
苏迪科技,项目经理pm（哈尔滨）,6k-9k·13薪,移动互联网 不需要融资 150-500人,经验1-3年 本科,“五险一金 双休 13薪 职位晋升”,PMO 项目管理 实施 ,[香坊区]
五常市乔府大院农业股份有限公司,java工程师,6k-8k,其他 上市公司 500-2000人,经验1-3年 本科,“五险一金 绩效奖金 交通补助 食堂”,Java 数据库 ,[五常市]
华脉智慧供热,Java研发工程师,5k-8k,"人工智能,软件开发 未融资 15-50人",经验不限 大专,“创业公司成长空间好”,Java 后端 数据库 ,[平房区]
黑龙江新洋科技有限公司,php程序员,4k-5k,"企业服务,其他 未融资 500-2000人",经验3-5年 大专,“五险 双休 朝九晚五”,PHP MySQL Java ,[平房区]
泰德网聚,java工程师,6k-9k,"移动互联网,数据服务 不需要融资 50-150人",经验应届毕业生 本科,“五险一金 晚餐补”,Java C C++ ,[曲线]
未名信息,java中级开发工程师,8k-10k·13薪,"移动互联网,教育 不需要融资 50-150人",经验1-3年 本科,“五险一金、双休、13薪”,Java ,[新春]
碧茂大数据,大数据运维工程师,7k-12k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,“发展前景好”,Linux Hadoop ,[新春]
Utalk帮你说,php开发工程师,6k-9k,"移动互联网,教育 A轮 150-500人",经验1-3年 大专,“五险一金+周末双休+带薪年假+节日福利”,后端 PHP ,[学府]
