公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
南京迈特望科技股份有限公司,java开发工程师,6k-9k,"移动互联网,人工智能 上市公司 500-2000人",经验1-3年 本科,“大平台，大项目”,Java ,[龙华区]
佳创信息,java开发工程师,6k-10k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“双休、五险一金”,Java MySQL ,[美兰区]
数字海南,java架构师,12k-20k,"数据服务,信息安全 不需要融资 50-150人",经验5-10年 本科,“互联网 创业 平台好 大数据 云计算”,云计算 大数据 Java 架构师 系统架构 全栈 ,[美兰区]
房联,java研发工程师（海口）,6k-9k·13薪,"移动互联网,数据服务 未融资 150-500人",经验1-3年 本科,“五险一金 年终奖金”,Java ,[秀英区]
普适智能 PUSHI AI,java开发工程师,4k-8k,人工智能 未融资 15-50人,经验应届毕业生 本科,“五险一金，周末双休，弹性工作”,移动互联网 大数据 ,[美兰区]
进保勘测,高级后端开发（java方向）,8k-12k,"企业服务,软件开发 未融资 50-150人",经验3-5年 本科,“五险一金，周末双休，节假日休假；”,Java Python Lua MySQL ,[龙华区]
电信,Java开发工程师,10k-15k,移动互联网 上市公司 50-150人,经验1-3年 本科,“踏实肯干的团队”,分布式 后端 Java ,[美兰区]
炎煌纵横,Java开发工程师,5k-10k,软件开发、区块链 未融资 15-50人,经验3-5年 不限,“融洽的团队，过硬的平台等你来发展！”,新零售 通信/网络设备 Java ,[美兰区]
安家优选,java开发工程师,8k-13k,"房产家居,软件开发 天使轮 50-150人",经验1-3年 本科,“公司正在A轮，大牛创业团队，技术部有牛人带。”,Java MySQL ,[美兰区]
中科汇联,java开发工程师,5k-8k,企业服务 上市公司 150-500人,经验3-5年 本科,“五险一金 带薪年假 周末双休 定期团建”,Javascript MySQL HTML5 HTML/CSS ,[龙华区]
恩核,中级java开发工程师,10k-15k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“大数据软件公司，十天年假，发展空间大”,大数据 后端 ,[龙华区]
美亚卓越软件,java初级开发工程师,4k-8k,"数据服务,软件开发 未融资 50-150人",经验1-3年 大专,“下午茶、节假日、双休、年终奖”,Java 软件开发 ,[美兰区]
美亚卓越软件,java中级开发工程师,6k-10k,"数据服务,软件开发 未融资 50-150人",经验1-3年 大专,“下午茶、节假日、双休、年终奖”,Java 软件开发 ,[美兰区]
炎煌纵横,JAVA工程师（海口）,6k-10k,软件开发、区块链 未融资 15-50人,经验1-3年 大专,“弹性工作时间/薪酬提升/项目奖金”,游戏 社交 Java ,[美兰区]
中国电建中南院,java研发工程师,9k-18k,其他 未融资 2000人以上,经验3-5年 大专,“福利待遇好”,Java HTML/CSS ,[琼山区]
数字海南,系统架构师,15k-30k,"数据服务,信息安全 不需要融资 50-150人",经验3-5年 本科,“薪资福利待遇好”,移动互联网 大数据 高级技术管理 系统架构 运维管理 架构师 ,[美兰区]
普适智能 PUSHI AI,算法工程师,6k-10k,人工智能 未融资 15-50人,经验应届毕业生 硕士,“五险一金，周末双休，弹性工作”,移动互联网 人工智能 ,[美兰区]
恩核,项目经理（出差岗位-海口）,16k-20k,"数据服务,移动互联网 不需要融资 50-150人",经验5-10年 本科,“大数据软件公司，十天年假，发展空间大”,大数据 项目管理 ,[龙华区]
海南流云科技有限责任公司,c#,10k-15k,企业服务 不需要融资 15-50人,经验3-5年 本科,“期权激励”,后端 服务器端 ,[龙华区]
海南流云科技有限责任公司,系统架构师,15k-30k,企业服务 不需要融资 15-50人,经验3-5年 本科,“期权激励”,企业服务 信息安全 架构师 安全专家 技术管理 ,[龙华区]
广州华宇,实施工程师,5k-10k,"信息安全,数据服务 上市公司 50-150人",经验不限 本科,“上市公司 连续十年行业市场占有率**”,信息安全 大数据 ,[琼山区]
北京航星永志科技有限公司,实施工程师,6k-10k,"信息安全,数据服务 A轮 500-2000人",经验3-5年 大专,“五险一金、节日福利、定期体检、员工旅游”,系统集成 企业软件 技术支持 数据库 ,[美兰区]
夜猫,技术总监,12k-20k,消费生活 未融资 50-150人,经验10年以上 本科,“高前景”,本地生活 电商 技术管理 系统架构 团队建设 目标管理 ,[龙华区]
数字海南,开发工程师,2k-3k,"数据服务,信息安全 不需要融资 50-150人",经验应届毕业生 本科,“开发 创业 大厂 互联网 平台好”,云计算 移动互联网 后端 J2EE Java GO ,[美兰区]
