公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
联科,前端开发工程师,10k-15k,"移动互联网,数据服务 未融资 50-150人",经验3-5年 本科,“五险一金、绩效奖金、餐补、节日福利”,前端开发 ,[美兰区]
数字海南,前端架构师,13k-26k,"数据服务,信息安全 不需要融资 50-150人",经验5-10年 本科,“前端开发”,系统架构 架构师 技术管理 高级技术管理 ,[美兰区]
数字海南,前端开发工程师,15k-25k,"数据服务,信息安全 不需要融资 50-150人",经验5-10年 本科,“实际工作地点在海口，阿里投资；”,大数据 云计算 前端开发 HTML CSS Vue ,[美兰区]
美亚卓越软件,web前端开发工程师,5k-10k,"数据服务,软件开发 未融资 50-150人",经验不限 大专,“下午茶、双休、年终奖、团建，五险一金、带薪年假”,Web前端 CSS3 HTML5 ,[美兰区]
花千树,web前端开发工程师,10k-15k,电商 未融资 15-50人,经验1-3年 大专,“入职即上五险一金，双休，转正每天20元餐补。”,Web前端 Vue jQuery 移动端 ,[龙华区]
中国电建中南院,web前端开发工程师,9k-18k,其他 未融资 2000人以上,经验3-5年 大专,“福利待遇好”,前端开发 Javascript Web前端 ,[琼山区]
房联,java研发工程师（海口）,6k-9k·13薪,"移动互联网,数据服务 未融资 150-500人",经验1-3年 本科,“五险一金 年终奖金”,Java ,[秀英区]
齐数科技（上海）有限公司,php,5k-10k,"移动互联网,文娱丨内容 未融资 50-150人",经验1-3年 大专,“周末双休、五险一金、节假福利、出国旅游”,后端 C++ Javascript ,[美兰区]
佳创信息,java开发工程师,6k-10k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“双休、五险一金”,Java MySQL ,[美兰区]
齐数科技（上海）有限公司,资深php开发工程师,7k-10k,"移动互联网,文娱丨内容 未融资 50-150人",经验3-5年 本科,“五险一金、节假福利、餐补、交通补助”,MySQL 后端 PHP ,[美兰区]
万俊地产,后端程序员,8k-10k,消费生活 不需要融资 150-500人,经验3-5年 本科,“环境好”,C#/.NET ,[龙华区]
恩核,中级java开发工程师,10k-15k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“大数据软件公司，十天年假，发展空间大”,大数据 后端 ,[龙华区]
中国电建中南院,java研发工程师,9k-18k,其他 未融资 2000人以上,经验3-5年 大专,“福利待遇好”,Java HTML/CSS ,[琼山区]
安家优选,java开发工程师,8k-13k,"房产家居,软件开发 天使轮 50-150人",经验1-3年 本科,“公司正在A轮，大牛创业团队，技术部有牛人带。”,Java MySQL ,[美兰区]
拉勾猎头,测试开发工程师,30k-50k,"移动互联网,企业服务 D轮及以上 500-2000人",经验5-10年 不限,"“技术前沿,氛围好”",一手内推信息 猎头专业服务 名企保面试 精准高效对接 ,[美兰区]
中科汇联,java开发工程师,5k-8k,企业服务 上市公司 150-500人,经验3-5年 本科,“五险一金 带薪年假 周末双休 定期团建”,Javascript MySQL HTML5 HTML/CSS ,[龙华区]
海南思行科技有限公司,测试开发工程师（SDET）,30k-50k,"游戏,体育 A轮 15-50人",经验1-3年 不限,“与精英化团队一起工作”,体育 游戏 测试 自动化测试 测试开发 脚本 ,[美兰区]
惠发网络,html5开发工程师,5k-10k,游戏、电商 天使轮 15-50人,经验1-3年 本科,“五险一金、制度灵活”,体育 游戏 移动端 Android HTML5 ,[秀英区]
