公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
数字海南,大数据运维工程师（外包）,5k-6k,"数据服务,信息安全 不需要融资 50-150人",经验应届毕业生 本科,“云计算 智慧城市 数字政府 大数据 大平台”,大数据 MySQL 数据库运维 数据库管理员 ,[美兰区]
长城软件,数据工程师,5k-10k,"硬件,信息安全 不需要融资 500-2000人",经验1-3年 大专,“国企”,Oracle ,[美兰区]
南京迈特望科技股份有限公司,java开发工程师,6k-9k,"移动互联网,人工智能 上市公司 500-2000人",经验1-3年 本科,“大平台，大项目”,Java ,[龙华区]
数字海南,运维管理工程师,10k-15k,"数据服务,信息安全 不需要融资 50-150人",经验1-3年 大专,“薪资福利待遇好”,大数据 移动互联网 运维 MySQL Hive IT支持 ,[美兰区]
进保勘测,高级后端开发（java方向）,8k-12k,"企业服务,软件开发 未融资 50-150人",经验3-5年 本科,“五险一金，周末双休，节假日休假；”,Java Python Lua MySQL ,[龙华区]
房联,java研发工程师（海口）,6k-9k·13薪,"移动互联网,数据服务 未融资 150-500人",经验1-3年 本科,“五险一金 年终奖金”,Java ,[秀英区]
来值购电子商务,测试工程师,6k-8k,电商 未融资 50-150人,经验1-3年 本科,“发展前景好，福利待遇好”,电商 功能测试 性能测试 自动化测试 系统测试 ,[龙华区]
齐数科技（上海）有限公司,php,5k-10k,"移动互联网,文娱丨内容 未融资 50-150人",经验1-3年 大专,“周末双休、五险一金、节假福利、出国旅游”,后端 C++ Javascript ,[美兰区]
佳创信息,java开发工程师,6k-10k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“双休、五险一金”,Java MySQL ,[美兰区]
齐数科技（上海）有限公司,资深php开发工程师,7k-10k,"移动互联网,文娱丨内容 未融资 50-150人",经验3-5年 本科,“五险一金、节假福利、餐补、交通补助”,MySQL 后端 PHP ,[美兰区]
普适智能 PUSHI AI,大数据基础平台工程师,4k-8k,人工智能 未融资 15-50人,经验应届毕业生 本科,“五险一金，周末双休，弹性工作”,移动互联网 Hadoop MongoDB Hive ,[美兰区]
普适智能 PUSHI AI,java开发工程师,4k-8k,人工智能 未融资 15-50人,经验应届毕业生 本科,“五险一金，周末双休，弹性工作”,移动互联网 大数据 ,[美兰区]
电信,Java开发工程师,10k-15k,移动互联网 上市公司 50-150人,经验1-3年 本科,“踏实肯干的团队”,分布式 后端 Java ,[美兰区]
万俊地产,后端程序员,8k-10k,消费生活 不需要融资 150-500人,经验3-5年 本科,“环境好”,C#/.NET ,[龙华区]
恩核,项目经理（出差岗位-海口）,16k-20k,"数据服务,移动互联网 不需要融资 50-150人",经验5-10年 本科,“大数据软件公司，十天年假，发展空间大”,大数据 项目管理 ,[龙华区]
恩核,中级java开发工程师,10k-15k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“大数据软件公司，十天年假，发展空间大”,大数据 后端 ,[龙华区]
炎煌纵横,Java开发工程师,5k-10k,软件开发、区块链 未融资 15-50人,经验3-5年 不限,“融洽的团队，过硬的平台等你来发展！”,新零售 通信/网络设备 Java ,[美兰区]
安家优选,java开发工程师,8k-13k,"房产家居,软件开发 天使轮 50-150人",经验1-3年 本科,“公司正在A轮，大牛创业团队，技术部有牛人带。”,Java MySQL ,[美兰区]
广州华宇,实施工程师,5k-10k,"信息安全,数据服务 上市公司 50-150人",经验不限 本科,“上市公司 连续十年行业市场占有率**”,信息安全 大数据 ,[琼山区]
美亚卓越软件,数据处理工程师,5k-10k,"数据服务,软件开发 未融资 50-150人",经验不限 大专,“下午茶、节假日、双休、年终奖”,数据仓库 数仓架构 Hive ,[美兰区]
美亚卓越软件,java初级开发工程师,4k-8k,"数据服务,软件开发 未融资 50-150人",经验1-3年 大专,“下午茶、节假日、双休、年终奖”,Java 软件开发 ,[美兰区]
炎煌纵横,JAVA工程师（海口）,6k-10k,软件开发、区块链 未融资 15-50人,经验1-3年 大专,“弹性工作时间/薪酬提升/项目奖金”,游戏 社交 Java ,[美兰区]
拉勾猎头,开发运维工程师,30k-50k,"移动互联网,企业服务 D轮及以上 500-2000人",经验5-10年 不限,"“技术前沿,氛围好”",一手内推信息 猎头专业服务 名企保面试 精准高效对接 ,[美兰区]
中科汇联,java开发工程师,5k-8k,企业服务 上市公司 150-500人,经验3-5年 本科,“五险一金 带薪年假 周末双休 定期团建”,Javascript MySQL HTML5 HTML/CSS ,[龙华区]
广东工联,现场运维,3k-5k·13薪,"信息安全,数据服务 不需要融资 少于15人",经验1-3年 大专,“带薪年假”,工具软件 信息安全 MySQL Linux ,[美兰区]
北京航星永志科技有限公司,实施工程师,6k-10k,"信息安全,数据服务 A轮 500-2000人",经验3-5年 大专,“五险一金、节日福利、定期体检、员工旅游”,系统集成 企业软件 技术支持 数据库 ,[美兰区]
盛世宏图,php程序员,5k-10k,不限 未融资 少于15人,经验1-3年 本科,“双薪双薪，国定假日，加班补贴”,本地生活 电商 后端 服务器端 平台 中间件 ,[龙华区]
中科祥云,linux运维工程师,8k-10k,移动互联网 不需要融资 50-150人,经验1-3年 大专,“五险一金 节日礼品”,中间件运维 网络 TCP协议 Shell ,[龙华区]
美亚卓越软件,java中级开发工程师,6k-10k,"数据服务,软件开发 未融资 50-150人",经验1-3年 大专,“下午茶、节假日、双休、年终奖”,Java 软件开发 ,[美兰区]
