公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
数字海南,开发工程师,2k-3k,"数据服务,信息安全 不需要融资 50-150人",经验应届毕业生 本科,“开发 创业 大厂 互联网 平台好”,云计算 移动互联网 后端 J2EE Java GO ,[美兰区]
普适智能 PUSHI AI,大数据基础平台工程师,4k-8k,人工智能 未融资 15-50人,经验应届毕业生 本科,“五险一金，周末双休，弹性工作”,移动互联网 Hadoop MongoDB Hive ,[美兰区]
普适智能 PUSHI AI,java开发工程师,4k-8k,人工智能 未融资 15-50人,经验应届毕业生 本科,“五险一金，周末双休，弹性工作”,移动互联网 大数据 ,[美兰区]
安家优选,java开发工程师,8k-13k,"房产家居,软件开发 天使轮 50-150人",经验1-3年 本科,“公司正在A轮，大牛创业团队，技术部有牛人带。”,Java MySQL ,[美兰区]
美亚卓越软件,数据处理工程师,5k-10k,"数据服务,软件开发 未融资 50-150人",经验不限 大专,“下午茶、节假日、双休、年终奖”,数据仓库 数仓架构 Hive ,[美兰区]
拉勾猎头,测试开发工程师,30k-50k,"移动互联网,企业服务 D轮及以上 500-2000人",经验5-10年 不限,"“技术前沿,氛围好”",一手内推信息 猎头专业服务 名企保面试 精准高效对接 ,[美兰区]
拉勾猎头,开发运维工程师,30k-50k,"移动互联网,企业服务 D轮及以上 500-2000人",经验5-10年 不限,"“技术前沿,氛围好”",一手内推信息 猎头专业服务 名企保面试 精准高效对接 ,[美兰区]
海南思行科技有限公司,测试开发工程师（SDET）,30k-50k,"游戏,体育 A轮 15-50人",经验1-3年 不限,“与精英化团队一起工作”,体育 游戏 测试 自动化测试 测试开发 脚本 ,[美兰区]
奋进电力,兼职,2k-3k,硬件 未融资 150-500人,经验1-3年 本科,“兼职-海口”,运维 ,[美兰区]
中科祥云,linux运维工程师,8k-10k,移动互联网 不需要融资 50-150人,经验1-3年 大专,“五险一金 节日礼品”,中间件运维 网络 TCP协议 Shell ,[龙华区]
普适智能 PUSHI AI,算法工程师,6k-10k,人工智能 未融资 15-50人,经验应届毕业生 硕士,“五险一金，周末双休，弹性工作”,移动互联网 人工智能 ,[美兰区]
