公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
浙江聚智软件技术有限公司,C#,10k-20k,移动互联网 B轮 15-50人,经验3-5年 大专,“五险一金、全勤奖、带薪年假、高温补贴”,Wpf Winform ,[滨江区]
大名软件,C# .NET开发工程师,15k-25k,"电商,企业服务 不需要融资 50-150人",经验5-10年 本科,"“五险一金,年度旅游,弹性工作,周末双休”",C#/.NET 全栈 ,[文三路]
络町软件,c#开发工程师,12k-20k,"数据服务,金融 A轮 50-150人",经验3-5年 本科,“成长空间大”,金融 C# 后端 ,[滨江区]
恩大施福,c#、WPF开发工程师,6k-9k,软件开发 天使轮 50-150人,经验应届毕业生 不限,“五险一金、年终奖、项目奖金、股权激励等”,C++ ,[临安市]
邦盛科技,c#开发工程师,10k-18k·13薪,信息安全 C轮 500-2000人,经验3-5年 本科,“六险一金；福利待遇佳；有挑战性；”,医疗健康 大数据 .NET C# ,[江干区]
令克软件,C#开发工程师(WPF方向）,8k-12k·13薪,软件开发 不需要融资 50-150人,经验1-3年 本科,“年终奖金 氛围活跃 下午茶”,C# ,[余杭区]
医惠科技,c#开发工程师,10k-20k·13薪,"移动互联网,医疗丨健康 上市公司 500-2000人",经验3-5年 本科,“医疗上市公司”,医疗健康 C# .NET ,[浦沿]
永控科技,软件工程师(c#）,8k-16k,"信息安全,数据服务 未融资 50-150人",经验1-3年 本科,"“周末双休,五险一金,公司旅游,弹性工作”",C C#/.NET 平台 ,[拱墅区]
量驰科技,C#/.NET软件研发工程师,6k-12k,移动互联网 A轮 15-50人,经验不限 本科,“参与核心业务的开发，可获得公司干股”,工具软件 后端 软件开发 ,[湖墅南路]
格原信息,c#,6k-12k,企业服务 不需要融资 少于15人,经验应届毕业生 本科,“五险一金 定期团建 双休 年终分红”,后端 企业软件 .NET ,[北山]
谊品生鲜,C#客户端开发工程师,15k-30k,消费生活 B轮 2000人以上,经验3-5年 本科,“双休，团队技术氛围好”,C# .NET ,[拱墅区]
睿琪软件,.NET/C#研发工程师,15k-25k,数据服务 不需要融资 150-500人,经验3-5年 本科,"“带薪年假,五险一金,弹性工作,员工旅游”",C#/.NET Windows .NET C# ,[滨江区]
浙江华为,技术总监（Java/C#）,30k-50k,"移动互联网,教育 不需要融资 500-2000人",经验10年以上 本科,"“核心产品,管理团队,虚拟股票”",Java 架构师 ,[浦沿]
信雅达BPO,c#开发工程师,10k-15k·13薪,金融 上市公司 2000人以上,经验1-3年 本科,“C++/C# MFC WPF”,C++ ,[滨江区]
思弘,c#开发工程师,12k-15k·13薪,"数据服务,企业服务 未融资 少于15人",经验不限 本科,“五险一金、带薪休假、弹性工作”,C# .NET ,[西湖区]
正泰中自,C#开发工程师,10k-18k,"企业服务,其他 不需要融资 500-2000人",经验1-3年 本科,“物联网 奖金丰厚”,后端 平台 C#/.NET ,[白杨]
星程科技,c#软件工程师,4k-5k,硬件 不需要融资 50-150人,经验1年以下 本科,“团建 年度体检 弹性工作等”,MySQL C# Winform Wpf ,[西湖区]
广电运通,c#开发工程师,8k-13k·13薪,"移动互联网,金融 上市公司 2000人以上",经验1-3年 本科,“弹性工作制”,银行 互联网金融 .NET C C++ C# ,[上城区]
恒生长运,C#开发实习生,3k-4k,"移动互联网,消费生活 B轮 50-150人",经验应届毕业生 本科,“弹性工作、住房补贴、免费班车、优秀导师”,C C#/.NET C++ ,[开发区]
印鸽,c#开发工程师,7k-12k,"移动互联网,电商 天使轮 15-50人",经验1-3年 本科,“五险一金，双休，免费午餐，全员mac！”,Windows 图像处理 .NET C# ,[西溪]
梦琪科技,C#客户端,8k-13k,数据服务 不需要融资 少于15人,经验1-3年 不限,“大牛领导，初创团队”,C#/.NET ,[拱墅区]
立镖机器人,.NET开发 C#开发工程师,10k-20k·13薪,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“五险一金、周末双休、弹性工作制”,.NET C# ,[余杭区]
天财软件,c#开发工程师,15k-25k,"移动互联网,数据服务 不需要融资 15-50人",经验1-3年 不限,“欢迎你加盟”,.NET C# 后端 ,[西溪]
医惠科技,c#开发工程师,8k-14k,"移动互联网,医疗丨健康 上市公司 500-2000人",经验1-3年 本科,“五险一金，餐补，交补，出差补，年终奖”,医疗健康 .NET C# 后端 ,[浦沿]
融健科技,c#开发工程师,6k-8k,软件开发、物联网 未融资 少于15人,经验1-3年 本科,“大健康信息技术公司”,工具软件 大数据 服务器端 Windows 通信 数据采集 ,[拱墅区]
字节跳动,测试开发实习生 - 抖音电商,8k-15k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作”,测试 ,[余杭区]
字节跳动,游戏测试开发工程师-发行方向,20k-40k,文娱丨内容 C轮 2000人以上,经验1-3年 本科,“弹性工作”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[江干区]
