公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
TOP Network,c++,5k-10k,"移动互联网,数据服务 B轮 50-150人",经验应届毕业生 本科,“福利好，技术团队牛，扁平管理”,分布式 服务器端 后端 ,[西湖区]
字节跳动,C++客户端研发实习生,10k-20k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“六险一金,弹性工作,免费三餐,租房补贴”",后端开发 ,[余杭区]
字节跳动,C++/Rust 技术专家（飞书）,25k-50k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“六险一金,股票期权,弹性工作,免费三餐”",移动端 ,[余杭区]
大连北方驾校,c++开发工程师,10k-15k·14薪,教育、汽车丨出行 未融资 50-150人,经验1-3年 本科,“人工智能公司 丰厚年终奖 十亿下载量的产品”,C++ ,[浦沿]
行芯科技,C++分布式并行计算软件工程师,15k-25k,数据服务 A轮 15-50人,经验3-5年 本科,“软件开发 硅谷技术大牛带队”,C++ ,[西兴]
行芯科技,C++矩阵计算软件工程师,15k-30k,数据服务 A轮 15-50人,经验1-3年 本科,“软件开发 硅谷技术大牛带队”,C++ Linux/Unix ,[西兴]
智融信达,C++量化系统开发,20k-40k,"移动互联网,数据服务 未融资 50-150人",经验不限 本科,“高速发展期，待遇好于同行，公司氛围好”,Linux/Unix C++ 算法 软件开发 ,[宁围]
智臾科技,c++开发工程师,12k-20k,"移动互联网,数据服务 天使轮 15-50人",经验应届毕业生 本科,“有激情，有拼劲，人性化管理”,C++ 后端 MySQL ,[宁围]
图尔兹,c++开发工程师,13k-25k·13薪,"企业服务,数据服务 天使轮 15-50人",经验3-5年 本科,“大佬带队，工程师文化团队，广阔发展前景”,工具软件 C++ 数据库 后端 软件开发 ,[拱墅区]
博信智联,C/C++高级软件开发工程师,15k-25k·15薪,其他 未融资 150-500人,经验3-5年 本科,“全额五险一金 周末双休 带薪年假 弹性工作”,智能硬件 C C++ 后端 ,[宁围]
情咖,c/c++开发工程师,15k-20k·16薪,"移动互联网,社交 B轮 50-150人",经验3-5年 本科,“双休、五险一金、年终奖、年终绩效奖金”,移动互联网 C C++ ,[余杭区]
月盛斋投资管理,c++开发工程师,15k-30k·15薪,金融 未融资 50-150人,经验5-10年 本科,“发展空间大 五险一金”,C++ C ,[西溪]
浙大,C/C++开发工程师,10k-18k,教育 不需要融资 15-50人,经验不限 本科,“五险一金、绩效奖金、带薪年假、周末双休”,C C++ ,[西湖区]
百得思维,c++开发工程师,11k-14k·14薪,其他 未融资 2000人以上,经验1-3年 本科,“五险一金、班车、餐补、双休、话补”,C++ ,[西湖区]
诺诺网络科技,c++开发工程师,15k-30k·15薪,企业服务 未融资 500-2000人,经验3-5年 本科,“每秒数万高并发场景 数百TB级别大数据集群”,,[西溪]
腾展科技,高级c++开发工程师,20k-35k,"移动互联网,社交 上市公司 150-500人",经验5-10年 本科,“海外全球化产品 五险一金 双休”,服务器端 网络优化 Linux/Unix ,[西溪]
腾展科技,C++（windrows方向）,20k-35k,"移动互联网,社交 上市公司 150-500人",经验5-10年 本科,“五险一金 双休 弹性公司 下午茶”,C++ 客户端 Windows ,[西溪]
杭州智团,C++工程师,15k-30k,医疗丨健康 不需要融资 50-150人,经验1-3年 本科,“五险一金、餐补、交通补贴、年终奖”,C++ ,[长河]
大名软件,C/C++项目经理,17k-34k,"电商,企业服务 不需要融资 50-150人",经验5-10年 本科,"“弹性工作,周末双休,年度旅游,五险一金”",软件开发 Java ,[文三路]
大名软件,C++开发工程师,8k-16k,"电商,企业服务 不需要融资 50-150人",经验不限 本科,"“弹性工作,出国旅游,内训外训,轻松氛围”",旅游 C++ Java ,[文三路]
顺网科技,C++开发工程师（云游戏客户端）,15k-25k,游戏 上市公司 500-2000人,经验3-5年 大专,“云计算 云游戏 上市公司”,电商 游戏 C++ ,[西湖区]
顺网科技,C++开发工程师（客户端）,15k-20k,游戏 上市公司 500-2000人,经验3-5年 本科,“云游戏 云电脑 上市公司 创业团队”,游戏 客户端 ,[西湖区]
恒天软件,c++开发工程师,11k-16k·13薪,软件开发 不需要融资 2000人以上,经验1-3年 本科,“双休，加班少，办公环境好，晋升空间大”,Python C++ ,[余杭区]
智融信达,交易系统开发工程师C++,25k-50k·18薪,"移动互联网,数据服务 未融资 50-150人",经验不限 本科,“高薪 不加班 效益好 双休”,C++ ,[宁围]
同花顺,C++技术专家（PB投资交易系统）,35k-60k,"金融,电商 上市公司 2000人以上",经验5-10年 本科,“千万级日活，智能投顾，TO B商业，股票”,证券/期货 基金 C++ Java ,[余杭区]
同花顺,C++后台技术专家,40k-60k·16薪,"金融,电商 上市公司 2000人以上",经验5-10年 本科,“亿级用户高峰在线，高并发，技术合作人”,云计算 大数据 C++ Java 服务器端 ,[余杭区]
希格斯投资管理,c++开发工程师,15k-30k,"金融,数据服务 不需要融资 15-50人",经验应届毕业生 本科,“发展空间大、绩效奖金、年底双薪、氛围好”,C++ Linux/Unix ,[长河]
希格斯投资管理,计算机科学家C++,4k-8k,"金融,数据服务 不需要融资 15-50人",经验应届毕业生 本科,“研究氛围 自由开放 成长迅速 回报丰厚”,金融 工具软件 C++ Linux/Unix 算法 软件开发 ,[长河]
月盛斋投资管理,C/C++开发（音视频）,30k-40k·15薪,金融 未融资 50-150人,经验3-5年 本科,“晋升空间大”,音视频 ,[西溪]
TOP Network,高级c++开发工程师,28k-40k,"移动互联网,数据服务 B轮 50-150人",经验5-10年 本科,"“海量用户,Top20,主网上线，福利好”",通信 Linux/Unix 服务器端 C++ ,[西湖区]
欧若数网,C++实习生,4k-8k,"数据服务,软件开发 A轮 15-50人",经验应届毕业生 本科,“开源图数据库，NoSQL”,C++ Linux/Unix ,[余杭区]
络町软件,软件开发工程师C/C++,15k-25k,"数据服务,金融 A轮 50-150人",经验5-10年 本科,“期权激励、团队氛围好”,金融 C++ ,[滨江区]
络町软件,高级开发工程师C/C++,20k-35k,"数据服务,金融 A轮 50-150人",经验5-10年 本科,“期权奖励”,金融 C++ C ,[滨江区]
汇信科技,c++开发工程师,10k-15k,"移动互联网,电商 未融资 150-500人",经验3-5年 本科,“行业前景”,客户端 C++ GO ,[拱墅区]
