公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
潘帕斯科技,java开发工程师,12k-24k,"金融,数据服务 A轮 50-150人",经验3-5年 本科,"“快速成长,阿里巴巴,股票期权,双休”",后端 分布式 ,[滨江区]
单创,资深Java开发工程师,20k-40k,"移动互联网,电商 未融资 500-2000人",经验5-10年 本科,“前景可期 成长速度快”,电商 移动互联网 后端 服务器端 Java ,[江干区]
字节跳动,Java开发工程师,30k-50k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[余杭区]
字节跳动,JAVA开发工程师,35k-60k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“六险一金,弹性工作,免费三餐,租房补贴”",后端开发 ,[余杭区]
拉勾网,java,20k-40k·15薪,企业服务 D轮及以上 500-2000人,经验5-10年 本科,“发展前景 大牛”,电商 新零售 ,[拱墅区]
智康信息,java开发工程师,13k-20k,医疗丨健康 未融资 500-2000人,经验3-5年 本科,“行业前景好”,Java ,[余杭区]
吉利科技集团,高级JAVA开发工程师,15k-25k·14薪,汽车丨出行 不需要融资 2000人以上,经验3-5年 本科,“大平台 年终奖”,企业服务 工具软件 后端 服务器端 ,[西兴]
勤路软件（Luckyo）,java工程师,10k-15k,游戏 A轮 50-150人,经验1-3年 本科,“最有竞争力的发展平台；团队成熟稳定”,游戏 服务器端 Java ,[文三路]
大搜车,java开发工程师,15k-25k,汽车丨出行 D轮及以上 2000人以上,经验3-5年 本科,“独角兽企业”,Java ,[余杭区]
全速网络,java开发工程师,12k-18k,"移动互联网,电商 未融资 150-500人",经验3-5年 大专,“发展空间 大平台”,后端 ,[拱墅区]
唯小宝,java开发工程师,15k-20k,"移动互联网,电商 不需要融资 150-500人",经验3-5年 大专,“五险一金 带薪年假 双休 入职社保公积金”,电商 新零售 Java MySQL 后端 ,[上城区]
蚂蚁集团,Java开发工程师,24k-48k,"金融,移动互联网 B轮 2000人以上",经验3-5年 本科,“快上市的公司”,Java ,[西湖]
