公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
字节跳动,前端架构师,30k-60k,文娱丨内容 C轮 2000人以上,经验不限 本科,“六险一金，弹性工作，免费三餐，租房补贴”,web前端 ,[余杭区]
字节跳动,前端开发实习生,4k-6k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作，免费三餐，租房补贴，扁平管理”,web前端 ,[余杭区]
拉勾网,前端开发工程师,20k-40k·15薪,企业服务 D轮及以上 500-2000人,经验5-10年 本科,“实力团队”,前端开发 Web前端 架构师 Vue ,[拱墅区]
全速网络,前端工程师,11k-18k,"移动互联网,电商 未融资 150-500人",经验3-5年 大专,“发展空间”,前端开发 ,[西湖区]
瑞成,前端开发工程师,10k-15k·13薪,其他 D轮及以上 150-500人,经验3-5年 本科,“公司平台大 发展好 职位晋升快”,HTML5 CSS jQuery Web前端 ,[拱墅区]
全球时刻,前端开发工程师,8k-15k,"移动互联网,电商 A轮 50-150人",经验1-3年 大专,“前端”,前端开发 ,[西湖区]
法本信息,前端工程师,11k-15k,"企业服务,软件开发 上市公司 2000人以上",经验1-3年 本科,“大客户定制，电商类风口行业，高并发，可转正”,电商 前端开发 React ,[西溪]
潘哒教育,前端开发工程师,15k-25k,教育 A轮 500-2000人,经验3-5年 本科,“入职缴纳五险一金，工作氛围好”,教育 Web前端 Vue React ,[拱墅区]
全速网络,前端开发工程师,8k-16k,"移动互联网,电商 未融资 150-500人",经验1-3年 大专,“发展空间”,React Vue 前端开发 ,[拱墅区]
婚礼纪,前端开发工程师,10k-20k,消费生活 D轮及以上 500-2000人,经验3-5年 本科,“双休、六险一金、氛围好”,Javascript HTML CSS 前端开发 ,[古墩路]
乘法云,前端架构师,40k-60k·15薪,企业服务 C轮 150-500人,经验5-10年 本科,“不加班 五险一金 全年2次调薪 年终奖”,工具软件 企业服务 架构师 前端开发 Web前端 ,[西溪]
乘法云,前端架构师,20k-40k·15薪,企业服务 C轮 150-500人,经验3-5年 本科,“不加班 五险一金 全年2次调薪 年终奖”,云计算 工具软件 前端开发 Web前端 架构师 ,[西溪]
蜂嗖嗖（ITBeeSoSo）,前端开发工程师,9k-13k,企业服务 未融资 少于15人,经验3-5年 大专,“清晰的晋升通道+明确的绩效提成”,Web前端 Vue jQuery Javascript ,[西兴]
启博软件,前端开发工程师,10k-16k,"移动互联网,电商 A轮 150-500人",经验3-5年 大专,“氛围好 福利好 扁平管理”,电商 前端开发 Web前端 ,[余杭区]
浙大网新科创,前端工程师,6k-10k·14薪,"房产家居,软件开发 未融资 150-500人",经验1-3年 本科,“团队一流 五险一金 定期体检”,,[萧山区]
巨量数据,前端开发工程师,9k-13k,数据服务 / /,经验1-3年 本科,“开放式团队成长，等待你的加入！”,电商 大数据 CSS3 Vue Web前端 ,[西溪]
联龙博通,前端开发工程师,10k-15k·13薪,"移动互联网,电商 D轮及以上 2000人以上",经验1-3年 本科,“平台大，发展前景大，福利多多”,前端开发 Vue React ,[江南]
但以理科技,前端开发工程师,10k-20k,移动互联网 未融资 150-500人,经验1-3年 本科,“行业领军业务，发展前景好，舞台大。”,移动互联网 前端开发 HTML5 Vue ,[杭州]
德科信息,前端开发工程师,9k-15k·13薪,"软件开发,物联网 不需要融资 2000人以上",经验1-3年 本科,“包三餐 免费班车”,前端开发 Web前端 React Vue ,[滨江区]
德科信息,前端开发工程师,17k-25k·13薪,"软件开发,物联网 不需要融资 2000人以上",经验3-5年 本科,“六险一金 年终奖”,互联网金融 支付 移动端 Vue React ,[余杭区]
杭州智团,前端开发实习生,3K-4K,医疗丨健康 不需要融资 50-150人,经验应届毕业生 本科,“学习氛围好”,Node.js ,[长河]
轻山科技,前端开发工程师,10k-15k,金融 不需要融资 50-150人,经验1-3年 本科,“五险一金，每周水果零食，出国旅游”,HTML5 CSS ,[三墩]
钛坦科技,前端开发工程师,18k-25k·13薪,"电商,软件开发 不需要融资 50-150人",经验3-5年 本科,“技术开发型公司”,电商 工具软件 前端开发 Web前端 ,[长河]
微创软件,前端开发工程师,11k-12k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“六险一金”,汽车 前端开发 React ,[西兴]
云霁科技,前端开发工程师,10k-20k,企业服务 B轮 50-150人,经验1-3年 本科,"“阿里系创业,互联网氛围,金融云领导”",Javascript CSS Node.js HTML ,[余杭区]
知衣科技,前端工程师,14k-20k·13薪,"移动互联网,电商 A轮 50-150人",经验3-5年 本科,“大牛团队 大数据产品”,Web前端 Vue React native ,[萧山区]
达摩网络,前端开发工程师,8k-13k·13薪,"企业服务,消费生活 A轮 150-500人",经验1-3年 本科,"“发展空间大,领导好,五险一金,福利多”",前端开发 Vue ,[西溪]
金柚网,前端开发工程师,18k-25k,"移动互联网,企业服务 B轮 500-2000人",经验3-5年 本科,“周末双休 带薪年假 发展空间大”,Web前端 Vue React Node.js ,[萧山区]
数金在线,前端开发工程师,12k-15k,"硬件,软件开发 未融资 500-2000人",经验3-5年 本科,“移动产品，福利待遇好”,Vue 前端开发 Javascript CSS ,[余杭区]
数金在线,前端开发工程师,10k-16k,"硬件,软件开发 未融资 500-2000人",经验3-5年 本科,“五险一金，季度团建”,Vue CSS ,[余杭区]
瞬联软件科技（北京）有限公司,前端开发工程师,11k-20k,"移动互联网,企业服务 不需要融资 500-2000人",经验1-3年 本科,“六险一金 双休 带薪年假 体检”,React native Vue Node.js ,[西溪]
海高控股,前端开发工程师,10k-15k,"移动互联网,医疗丨健康 不需要融资 500-2000人",经验1-3年 大专,“大牛团队 薪资高”,Web前端 前端开发 ,[滨江区]
宏伟数据,前端开发工程师,12k-15k,"电商,软件开发 未融资 150-500人",经验3-5年 大专,“五险一金 加班补贴 年底奖金”,电商 前端开发 Vue ,[西兴]
