公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
汇合,数据库开发工程师,10k-14k·13薪,"企业服务,金融 不需要融资 2000人以上",经验1-3年 本科,“双休，五险一金，年终奖，带薪年假”,DBA ,[江南]
汇合,数据库开发工程师,9k-15k·13薪,"企业服务,金融 不需要融资 2000人以上",经验1-3年 本科,“大佬带队 管理规范 五天七小时”,ETL 数据仓库 ,[江南]
恒天软件,DBA,10k-15k,软件开发 不需要融资 2000人以上,经验1-3年 本科,“六险一金，餐补，年终奖”,技能培训 年底双薪 节日礼物 绩效奖金 ,[西湖区]
上海众岳信息科技有限公司,数据库开发工程师,10k-15k·13薪,其他 不需要融资 50-150人,经验1-3年 本科,“技术团队强大，发展稳定”,ETL Hadoop 数据库开发 ,[滨江区]
信雅达,数据库开发工程师,10k-16k,移动互联网 上市公司 2000人以上,经验3-5年 本科,“节假日福利，五险一金，带薪年假”,Oracle ,[西溪]
米络星科技,DBA (MJ000245),20k-35k·13薪,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“周末双休、五险一金”,DevOps/AIOps Linux DBA MySQL ,[三墩]
神兔网络,DBA,40k-50k·13薪,游戏 不需要融资 150-500人,经验5-10年 大专,“提供三餐、周末双休、园区班车、五险一金”,游戏 ,[西湖区]
上海众岳信息科技有限公司,数据库开发工程师,12k-16k·13薪,其他 不需要融资 50-150人,经验3-5年 本科,“项目稳定，团队技术强，福利佳”,Hadoop Python hbase ,[西湖区]
绿云,DBA数据库管理员,7k-14k,"软件开发,数据服务 B轮 150-500人",经验3-5年 大专,“周末双休、带薪年假、股票期权、午餐补贴”,数据挖掘 数据架构 数据仓库 DBA ,[西湖区]
浙江盘石,DBA,15k-25k,"移动互联网,广告营销 上市公司 2000人以上",经验5-10年 本科,“食堂包吃，五险一金，带薪休假等”,数据库开发 数据库管理员 ,[拱墅区]
观远数据,DBA,20k-30k·15薪,"企业服务,数据服务 B轮 150-500人",经验5-10年 本科,“股票期权；行业大牛；前景棒；高成长”,Oracle Hive 数据仓库 ,[仓前]
网易,资深数据库管理员（DBA）-网易严选,25k-40k,电商 上市公司 2000人以上,经验3-5年 本科,“严选”,节日礼物 技能培训 免费班车 带薪年假 ,[长河]
联保网络,数据库开发工程师,9k-13k,"移动互联网,电商 未融资 50-150人",经验1-3年 本科,“五险一金，带薪年假，岗位晋升”,MySQL Oracle Java ,[拱墅区]
恒天软件,数据库工程师DBA,8k-12k·14薪,软件开发 不需要融资 2000人以上,经验1-3年 本科,“六险一金，弹性工作制”,DBA ,[西溪]
华坤道威,Mysql数据开发工程师,15k-20k,"移动互联网,数据服务 不需要融资 150-500人",经验5-10年 本科,"“大数据,高薪资,五险一金,节日福利”",DBA MySQL ,[余杭区]
