公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
启博软件,php开发工程师,10k-15k,"移动互联网,电商 A轮 150-500人",经验1-3年 大专,“工作氛围好 领导好”,电商 后端 PHP ,[余杭区]
启博软件,php工程师,10k-20k,"移动互联网,电商 A轮 150-500人",经验3-5年 大专,"“领导好，团队氛围好,晋升空间大”",电商 后端 PHP ,[余杭区]
凌迪数字,php开发工程师,18k-35k,移动互联网 A轮 50-150人,经验3-5年 本科,“五险一金 双休”,工具软件 PHP ,[古墩路]
凌迪数字,php开发工程师,20k-40k,移动互联网 A轮 50-150人,经验3-5年 本科,“五险一金 周末双休 员工活动 福利齐全”,Laravel 后端 ,[古墩路]
微创软件,php开发工程师,11k-12k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 本科,“六险一金”,汽车 PHP ,[西兴]
红蓝CP,php工程师,15k-30k,"移动互联网,社交 A轮 50-150人",经验3-5年 不限,“氛围轻松，期权鼓励，恋爱社交，大牛聚集”,社交 移动互联网 后端 Laravel PHP 服务器端 ,[文三路]
杭州智团,PHP开发工程师,10k-20k,医疗丨健康 不需要融资 50-150人,经验1-3年 本科,"“发展前景好,提升空间大,医疗行业”",医疗健康 软件开发 系统架构 架构师 ,[长河]
杭州智团,PHP开发工程师,8k-16k,医疗丨健康 不需要融资 50-150人,经验1-3年 本科,“五险一金、餐补、交通补贴、员工宿舍”,后端 ,[长河]
邻汇吧,高级php开发工程师,15k-25k,企业服务 B轮 150-500人,经验5-10年 大专,“全员持股，五险一金，萌宠同事”,PHP MySQL ,[余杭区]
微创软件,php开发工程师,10k-12k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 本科,“六险一金 工作环境nice”,汽车 大数据 PHP MySQL Golang ,[滨江区]
好省,php开发工程师,15k-25k·14薪,"移动互联网,电商 A轮 50-150人",经验3-5年 大专,“试用期全薪、全额公积金、年度旅游”,电商 社交 ,[余杭区]
瀛云科技,php开发工程师,7k-12k·15薪,信息安全 未融资 少于15人,经验1-3年 大专,“十五薪 双休 五险一金 员工旅游”,MySQL ,[余杭区]
码克菠萝,php后端开发工程师,10k-16k,"企业服务,广告营销 未融资 15-50人",经验3-5年 本科,“公司发展前景好，成长空间大，五险一金”,广告营销 企业服务 PHP MySQL ,[湖滨]
码克菠萝,中级php开发工程师,10k-16k,"企业服务,广告营销 未融资 15-50人",经验3-5年 本科,“团队nice，期权奖励”,广告营销 工具软件 PHP MySQL ,[湖滨]
杭州志卓科技股份有限公司,PHP/网站类,8k-10k,移动互联网 不需要融资 150-500人,经验3-5年 大专,“双休”,PHP .NET ,[文三路]
邻汇吧,高级php架构师,25k-45k·14薪,企业服务 B轮 150-500人,经验3-5年 本科,“五险一金十点上班，扁平氛围，透明调薪晋升 。”,广告营销 本地生活 PHP ,[仓前]
红蓝CP,资深PHP工程师,20k-40k·16薪,"移动互联网,社交 A轮 50-150人",经验3-5年 本科,"“期权鼓励,扁平管理,弹性上班,前景广阔”",社交 移动互联网 PHP 后端 服务器端 中间件 ,[文三路]
微拍堂,php开发工程师,15k-25k·14薪,"移动互联网,电商 A轮 500-2000人",经验3-5年 大专,“快速成长 空间大”,电商 广告营销 PHP MySQL Golang ,[西湖]
浙江聚智软件技术有限公司,php后端开发工程师,12k-20k,移动互联网 B轮 15-50人,经验3-5年 大专,“五险一金，年底双薪，团建旅游，节日福利”,PHP 后端 ,[滨江区]
杭州克勤,PHP 高级工程师,16k-25k,"电商,文娱丨内容 不需要融资 500-2000人",经验3-5年 不限,“快速成长型公司”,电商 移动互联网 后端 服务器端 Laravel MySQL ,[下沙]
至深无下,php后端,9k-12k,移动互联网 不需要融资 15-50人,经验3-5年 本科,“五险，年终奖，双休”,移动互联网 后端 服务器端 ,[长河]
Feekr旅行,php开发工程师,10k-14k,"移动互联网,旅游 A轮 50-150人",经验3-5年 本科,"“扁平化管理,免费下午茶,定期团建”",电商 旅游 后端 ,[小河]
杭州木奇,php开发工程师,10k-13k,"移动互联网,社交 不需要融资 少于15人",经验3-5年 本科,“定期拓展”,教育 移动互联网 PHP 后端 服务器端 ,[小营]
剑盾信息,php,8k-10k,金融 不需要融资 50-150人,经验1-3年 不限,“可上升空间大”,Java Golang MySQL ,[长河]
小啄科技,php,14k-20k·13薪,"移动互联网,电商 天使轮 15-50人",经验3-5年 不限,"“五险一金,法定节假日,国内国外游”",Erlang 服务器端 ,[余杭区]
小码王,php研发工程师+{双休},16k-28k·14薪,"教育,移动互联网 C轮 500-2000人",经验3-5年 本科,“我会画个饼，管饱”,教育 PHP ,[拱墅区]
纳舍科技,PHP开发工程师,5k-10k,"企业服务,数据服务 不需要融资 15-50人",经验1-3年 本科,“弹性工作，定期团建”,Nodejs 绩效奖金 技能培训 扁平管理 ,[白杨]
星巢网络,资深php开发工程师,17k-23k,"游戏,电商 A轮 50-150人",经验5-10年 大专,“五险一金，周末双休，扁平化管理，福利多多”,游戏 PHP ,[余杭区]
杭州推宝科技有限公司,PHP工程师,15k-30k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“团队优秀、绩效奖金、餐补、月度团建”,工具软件 广告营销 后端 ,[翠苑]
邻汇吧,中高级php开发工程师,15k-30k·14薪,企业服务 B轮 150-500人,经验3-5年 本科,“五险一金十点上班，扁平氛围，透明调薪晋升 。”,本地生活 广告营销 PHP ,[仓前]
邻汇吧,php架构师,25k-40k,企业服务 B轮 150-500人,经验5-10年 本科,“定期团建 足额五险一金，晋升空间”,移动互联网 ,[余杭区]
启博软件,php开发工程师,10k-17k,"移动互联网,电商 A轮 150-500人",经验1-3年 大专,"“领导好,福利好,五险一金,办公氛围好”",Laravel PHP ,[余杭区]
启博软件,高级PHP开发工程师,15k-22k,"移动互联网,电商 A轮 150-500人",经验3-5年 本科,“往架构师或者管理层方向发展”,Laravel PHP ,[余杭区]
杭州智团,PHP开发实习生,3k-6k,医疗丨健康 不需要融资 50-150人,经验应届毕业生 本科,“团建、节日福利、餐补、交通补贴”,PHP ,[长河]
Pachira,PHP实习生,5k-8k,"移动互联网,教育 不需要融资 少于15人",经验应届毕业生 大专,“不加班，下班后不干涉生活，年终奖”,后端 PHP Phalcon Laravel ,[余杭区]
花集网,PHP开发工程师,12k-15k,"移动互联网,电商 上市公司 50-150人",经验3-5年 大专,"“发展空间大,领导好,环境舒适,年度旅游.”",PHP MySQL ,[江干区]
