公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
圆通,Python开发工程师,15k-30k,物流丨运输 上市公司 2000人以上,经验3-5年 本科,"“上市公司,前景好,氛围好,调薪机会多”",云计算 Java PHP Python 云计算 ,[仓前]
博彦科技,Python测试开发工程师,16k-17k,"移动互联网,电商 上市公司 2000人以上",经验3-5年 大专,“阿里核心技术”,功能测试 接口测试 测试开发 ,[北山]
杭州尖兵科技有限公司,中高级Python工程师,13k-18k·15薪,金融 B轮 15-50人,经验3-5年 本科,“项目空间大、资深大佬传帮带”,电商 Python ,[宁围]
博彦科技,测试开发（Java/Python）,11k-20k·13薪,"移动互联网,电商 上市公司 2000人以上",经验3-5年 本科,“项目前景”,测试开发 ,[西湖区]
九章算法,python web开发,10k-15k·13薪,"移动互联网,教育 A轮 15-50人",经验1-3年 本科,“扁平化管理，行业大牛，五险一金”,教育 ,[西溪]
圆通,python工程师兼运维,6k-8k,物流丨运输 上市公司 2000人以上,经验1-3年 本科,“双休，不加班”,Python ,[仓前]
图尔兹,Python自动化测试,13k-26k·13薪,"企业服务,数据服务 天使轮 15-50人",经验应届毕业生 本科,“大佬带队，工程师文化团队，广阔发展前景”,大数据 工具软件 功能测试 性能测试 自动化测试 测试开发 ,[拱墅区]
智云健康,【社招】Python开发工程师（技术保障）,20k-35k·14薪,"移动互联网,医疗丨健康 D轮及以上 500-2000人",经验3-5年 本科,“独角兽企业、行业大牛、薪酬福利优厚”,医疗健康 Python ,[余杭区]
商情智能,python爬虫,15k-30k,"人工智能,软件开发 A轮 50-150人",经验3-5年 本科,“五险一金不定期团建、包餐双休不打卡”,云计算 大数据 爬虫工程师 数据采集 数据抓取 ,[滨江区]
安恒信息,python开发工程师,10k-20k·15薪,"信息安全,数据服务 上市公司 500-2000人",经验1-3年 本科,“五险一金 周末双休 节日福利”,Python C++ ,[西兴]
明象科技,python开发工程师,8k-16k,"移动互联网,企业服务 不需要融资 15-50人",经验3-5年 本科,“双休、海外旅游、带薪休假、股权激励”,云计算 工具软件 ERP Python 云计算 服务器端 ,[萧山区]
斯凯,Python开发工程师G00090,12k-18k,"移动互联网,游戏 上市公司 150-500人",经验1-3年 本科,“行业风口 核心团队”,Python ,[西溪]
德科信息,测试开发-Python,7k-12k·13薪,"软件开发,物联网 不需要融资 2000人以上",经验1-3年 本科,“游戏相关岗位”,游戏测试 测试开发 ,[滨江区]
