公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
阳光心健,C#/.net开发工程师（中级）,7k-13k,教育、医疗丨健康 未融资 50-150人,经验3-5年 大专,“五险一金 带薪年假 定期体检 员工旅游”,教育 医疗健康 .NET C# 后端 数据库 ,[瑶海区]
一品效果图,c#开发工程师（二次开发）,7k-14k,"移动互联网,其他 不需要融资 150-500人",经验1-3年 大专,“C#”,服务器端 客户端 ,[卫岗]
磐石自动化,c#开发工程师,7k-10k,硬件 未融资 500-2000人,经验1-3年 大专,“发展前景+晋升空间+福利旅游+年终奖”,硬件制造 C#/.NET 自动化 软件开发 C# ,[肥西县]
么贝软件,c#开发工程师,10k-20k,"电商,软件开发 未融资 15-50人",经验1-3年 大专,"“福利待遇, 发展前景”",电商 C# ,[包河区]
智农网络,.net C#软件开发工程师,6k-12k,"电商,企业服务 不需要融资 50-150人",经验3-5年 大专,“国企，双休，五险一金，早中晚自助餐食堂”,工具软件 信息安全 后端 C#/.NET MySQL 软件开发 ,[合作化北路]
飞常准,Unity3D程序开发工程师,10k-20k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,"“六险一金,年终奖金,带薪休假,员工旅游”",大数据 C++ Java ,[潜山路]
思源时代,.net开发工程师,8k-13k,"企业服务,数据服务 不需要融资 150-500人",经验3-5年 大专,“氛围良好”,.NET C# ,[包河区]
NIO蔚来,测试工程师（AD&Vehicle Motion方向）,7k-12k·13薪,"移动互联网,硬件 上市公司 2000人以上",经验3-5年 本科,“补充公积金；年底双薪；股票期权”,汽车 ,[经济技术开发区]
阳光心健,unity3D开发工程师（中级）,7k-13k,教育、医疗丨健康 未融资 50-150人,经验3-5年 大专,“五险一金 带薪年假 定期体检 员工旅游”,教育 医疗健康 Unity3d VR ,[瑶海区]
识微数科,U3D开发,3k-6k,移动互联网 未融资 15-50人,经验不限 不限,“弹性工作制，周末双休，社保缴纳；培训晋升”,Unity3d ,[高新区]
合肥优视科技,C++软件开发程序员,6k-12k,"硬件,信息安全 不需要融资 50-150人",经验应届毕业生 大专,"“弹性工作,双休,年终奖,旅游”",分布式 中间件 C++ C#/.NET ,[海关路]
传影科技,Unity3D开发工程师,12k-15k,文娱丨内容 不需要融资 50-150人,经验1-3年 本科,"“周末双休,带薪年假,五险年终奖,旅游体检”",工具软件 游戏 Unity3d ,[太湖路]
七天教育,.net工程师,10k-15k,移动互联网 B轮 500-2000人,经验3-5年 大专,“发展空间大 弹性工作 领导nice”,体育 .NET C# ,[瑶海区]
七天教育,.net高级开发工程师,15k-20k,移动互联网 B轮 500-2000人,经验5-10年 本科,“发展空间大 弹性工作 领导nice”,教育 .NET 架构师 ,[瑶海区]
科大讯飞,算法开发工程师,10k-20k,"移动互联网,数据服务 上市公司 2000人以上",经验1-3年 本科,“年底双薪 绩效奖金 上市公司 发展规模大”,图像处理 音视频 内核开发 模式识别 ,[高新区]
京东方,CIM实施工程师(J23081),8k-15k,物联网 上市公司 2000人以上,经验3-5年 本科,“餐补、班车、住宿”,Java 技术支持 企业软件 ,[瑶海区]
光子闪烁,全栈工程师,8k-15k,游戏 天使轮 少于15人,经验1-3年 大专,“硅谷工作风格+快速高效提升能力机会”,游戏 移动互联网 Node.js 全栈 软件开发 ,[包河区]
五线科技,NET软件开发工程师,7k-10k,"医疗丨健康,信息安全 不需要融资 15-50人",经验1-3年 不限,“年底双薪双休团队领导好公司前景好”,医疗健康 服务器端 C#/.NET ,[蜀山区]
京东数字科技,高级java研发工程师,15k-30k·14薪,金融 上市公司 2000人以上,经验5-10年 本科,“500强，福利好，前景广”,Java MySQL ,[高新区]
爻和智能,C++ Windows 开发工程师,4k-6k·13薪,"移动互联网,人工智能 未融资 少于15人",经验不限 不限,“不加班，工作氛围好”,C++ ,[海关路]
联合利华,数字化系统架构师,12k-15k,消费生活 上市公司 500-2000人,经验3-5年 本科,“五险一金 餐饮补贴 年假 外企氛围”,信息安全 新零售 Java Python SQLServer MySQL ,[经济技术开发区]
轨道交通研究院,软件开发工程师,8k-15k,"信息安全,人工智能 不需要融资 15-50人",经验不限 本科,“五险一金、带薪休假、专业培训”,C++ C#/.NET Python Java ,[庐阳区]
康岁健康,.net开发工程师,8k-10k,"企业服务,医疗丨健康 未融资 50-150人",经验3-5年 本科,“双休五险一金节日福利年终奖金”,医疗健康 大数据 后端 C#/.NET ,[政务文化新区]
黑云智能,VR开发工程师unity U3D主程,8k-10k,"软件开发,VR丨AR 未融资 少于15人",经验3-5年 本科,“VR行业”,VR ,[包河区]
合肥联宝,测试软件开发工程师,10k-15k,硬件 不需要融资 2000人以上,经验5-10年 本科,“弹性工作 五险一金”,软件测试 ,[经济技术开发区]
丹焱科技,c++开发工程师,8k-12k,"数据服务,软件开发 不需要融资 50-150人",经验1-3年 本科,“8小时工作、五险一金、出国旅行、绩效奖金”,C++ Winform MFC ,[高新区]
慧软科技,图形图像处理工程师,10k-15k,医疗丨健康 天使轮 15-50人,经验3-5年 本科,“五险一金 带薪年假 股权期权”,医疗健康 C++ ,[高新区]
