公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
百得思维,C++,13k-17k·13薪,其他 未融资 2000人以上,经验1-3年 本科,“五险一金+双休+餐补+油补+话补”,,[蜀山区]
百得思维,c++,9k-12k,其他 未融资 2000人以上,经验1-3年 本科,“五险一金+双休+餐补+油补+话补”,,[蜀山区]
上海广升,linux c/c++开发工程师,10k-20k,移动互联网 上市公司 150-500人,经验3-5年 本科,“福利假期 弹性时间 免费体检 一年多薪”,C C++ ,[高新区]
酷町堂,C++青少儿编程教师,8k-12k,"电商,教育 未融资 15-50人",经验不限 本科,“创业公司 五险一金 团队优秀 股权激励”,Python J2EE Winform C ,[包河区]
思特奇Si-tech,2021年应届毕业生岗位-C/C++方向,7k-12k·14薪,"移动互联网,数据服务 不需要融资 2000人以上",经验应届毕业生 硕士,“系统培养 导师制 七险一金”,大数据 C C++ ,[五里墩]
酷町堂,C++青少儿编程教师,8k-12k,"电商,教育 未融资 15-50人",经验应届毕业生 本科,“创业公司 五险一金 团队优秀 股权激励”,教育 移动互联网 C C++ Python Java ,[包河区]
合肥优视科技,C++软件开发程序员,6k-12k,"硬件,信息安全 不需要融资 50-150人",经验应届毕业生 大专,"“弹性工作,双休,年终奖,旅游”",分布式 中间件 C++ C#/.NET ,[海关路]
讯飞启明,c++开发工程师-教育BG-合肥,10k-15k·14薪,教育 上市公司 150-500人,经验3-5年 本科,“优秀的团队”,教育 C++ ,[肥西县]
科大讯飞,c++客户端开发工程师-教育BG-合肥,14k-25k·14薪,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“发展前景 团队实力”,C++ ,[高新区]
科大讯飞,软件开发工程师（C++）-技术中心-合肥,15k-25k,"移动互联网,数据服务 上市公司 2000人以上",经验1-3年 本科,“食堂好、班车全、提供住宿、饭补”,后端 C++ ,[蜀山区]
连山科技,c++,8k-15k,"移动互联网,企业服务 未融资 15-50人",经验1-3年 大专,“福利好”,QT ,[高新区]
国华光电,c++软件工程师,7k-9k,其他 未融资 50-150人,经验1-3年 大专,"“双休,双休,加班补助,免费午餐”",QT C++ ,[高新区]
酷米网络,c++开发工程师,10k-15k,"游戏,软件开发 未融资 15-50人",经验3-5年 大专,“社保 零食下午茶 年轻团队”,游戏 移动互联网 C++ ,[包河区]
浩瀚深度,c/c++工程师（初级）,7k-10k,"硬件,数据服务 上市公司 150-500人",经验1-3年 本科,“六险一金，带薪年假”,通信/网络设备 C C++ Shell Python ,[高新区]
浩瀚深度,c/c++工程师（中级）,10k-15k,"硬件,数据服务 上市公司 150-500人",经验1-3年 本科,“六险一金，带薪年假”,通信/网络设备 C C++ Python Shell ,[高新区]
爻和智能,C++ Windows 开发工程师,4k-6k·13薪,"移动互联网,人工智能 未融资 少于15人",经验不限 不限,“不加班，工作氛围好”,C++ ,[海关路]
米娱科技,高级c++开发工程师,15k-30k,"文娱丨内容,社交 未融资 50-150人",经验3-5年 本科,“年底双薪、带薪年假、五险一金”,C++ 视频预处理 系统架构 ,[高新区]
英莱合创,系统开发工程师（C/C++/Go）,8k-12k,"硬件,数据服务 A轮 15-50人",经验1-3年 本科,“宽松环境，融洽气氛，创业上升期”,C++ C Linux/Unix ,[政务文化新区]
睿极智能,c++开发工程师,8k-16k,"移动互联网,信息安全 未融资 15-50人",经验不限 本科,“双休五险一金 年终奖员工旅游”,信息安全 视频 C++ Linux/Unix 图像处理 音视频 ,[高新区]
睿极智能,c++开发工程师(应届),6k-12k,"移动互联网,信息安全 未融资 15-50人",经验应届毕业生 本科,“双休五险一金 年终奖员工旅游”,信息安全 视频 C C++ Linux/Unix 图像处理 ,[高新区]
励图科技,c++开发工程师,11k-22k·14薪,"移动互联网,数据服务 上市公司 50-150人",经验3-5年 本科,“五险一金双休餐补、健康体检年休假、年终奖”,大数据 通信/网络设备 MySQL 音视频 C++ ,[蜀山区]
万泰地球物理,C++软件工程师,8k-15k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 本科,"“五险一金,双休,项目奖,年终奖”",C++ Linux/Unix 软件开发 ,[经济技术开发区]
酷米网络,c++游戏服务器,10k-15k,"游戏,软件开发 未融资 15-50人",经验1-3年 大专,“年轻团队 零食下午茶 节日福利”,游戏 移动互联网 MySQL 游戏开发 C++ ,[包河区]
丹焱科技,c++开发工程师,8k-12k,"数据服务,软件开发 不需要融资 50-150人",经验1-3年 本科,“8小时工作、五险一金、出国旅行、绩效奖金”,C++ Winform MFC ,[高新区]
讯图科技,c++开发工程师,9k-16k,人工智能 不需要融资 15-50人,经验3-5年 本科,“AI 赢未来”,大数据 后端 客户端 平台 ,[高新区]
