公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
区块节点,JAVA工程师,7k-14k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“晋升空间大”,云计算 大数据 后端 服务器端 分布式 中间件 ,[高新区]
百得思维,java开发工程师,12k-16k·14薪,其他 未融资 2000人以上,经验3-5年 本科,“良好晋升机制 轻松的工作环境”,Java ,[高新区]
百得思维,Java,9k-13k·14薪,其他 未融资 2000人以上,经验1-3年 本科,“五险一金+双休+餐补+油补+话补”,移动互联网 ,[高新区]
上海浩宜信息科技有限公司,java开发工程师,8k-15k,"数据服务,人工智能 不需要融资 150-500人",经验1-3年 本科,“做五休二，早九晚六， 年终奖，体检”,Javascript ,[经济技术开发区]
左邻,Java高级开发工程师,12k-20k,移动互联网 A轮 150-500人,经验5-10年 本科,“晋升空间、扁平管理、薪资丰厚、活动多多”,企业服务 Java 后端 分布式 ,[望江路]
企迈云商,高级java开发工程师,13k-18k,"移动互联网,电商 A轮 150-500人",经验5-10年 本科,“周末双休、五险一金、年终奖、发展空间大”,Java 分布式 ,[蜀山区]
满辰财税,java开发工程师,9k-12k·13薪,企业服务 未融资 50-150人,经验3-5年 本科,“十三薪、国内外旅游、干股分红”,工具软件 ,[经济技术开发区]
途酷,java开发工程师,9k-15k,旅游 未融资 15-50人,经验1-3年 本科,“见职位描述”,Java MySQL 后端 ,[蜀山区]
文因互联,java开发工程师,8k-12k,"数据服务,金融 A轮 15-50人",经验1-3年 本科,“五险一金 生日礼物”,Java ,[蜀山区]
安徽网新,java开发工程师,10k-15k,移动互联网 未融资 500-2000人,经验3-5年 本科,“多次晋升机会，双休，不加班，不出差”,后端 J2EE Javascript ,[大西门]
广州源创,java工程师（合肥）,6k-10k,"电商,企业服务 不需要融资 50-150人",经验1-3年 本科,“个人发展、工作稳定”,银行 后端 J2EE Linux/Unix ,[瑶海区]
安徽五纪智能,java开发工程师,8k-14k,人工智能 未融资 150-500人,经验3-5年 大专,“公司稳定，快速发展，团队氛围活跃”,后端 ,[高新区]
飞常准,Java开发工程师（南京）,10k-20k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,"“五险一金,补充医保,员工旅游假”",Java MySQL ,[望江路]
威弘信息,Java开发工程师（在家办公）,15k-20k·13薪,"电商,企业服务 不需要融资 15-50人",经验5-10年 本科,“在家办公 团队氛围好 技术氛围好”,Java 后端 分布式 ,[高新区]
安硕信息（amarsoft）,JAVA【合肥】,6k-10k,金融 上市公司 2000人以上,经验1-3年 本科,“领导nice”,金融 Java ,[包河区]
哈工大机器人,Java高级工程师,10K-20K,其他 不需要融资 150-500人,经验3-5年 本科,“竞争力薪资，高手如云的团队环境”,平台 C ,[经济技术开发区]
阳光心健,Java开发工程师（高级）,11k-14k,教育、医疗丨健康 未融资 50-150人,经验5-10年 大专,“五险一金 带薪年假 定期体检 员工旅游”,教育 医疗健康 Java ,[瑶海区]
上海睿民,java开发工程师（2-4年 ）,7k-12k·13薪,"移动互联网,其他 上市公司 500-2000人",经验3-5年 大专,“13薪资，领导nice，办公环境高大上”,互联网金融 投资/融资 Java 后端 MySQL ,[政务文化新区]
微创软件,java工程师,8k-9k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“发展前景、福利待遇”,Java ,[蜀山区]
邦盛科技,java开发工程师,10k-20k·13薪,信息安全 C轮 500-2000人,经验3-5年 本科,“年底双薪 绩效奖金 管理规范 五险一金”,Java ,[庐阳区]
米娱科技,高级java开发工程师,15k-25k,"文娱丨内容,社交 未融资 50-150人",经验3-5年 本科,“五险一金自研自运福利齐全”,移动互联网 后端 架构师 ,[高新区]
米娱科技,Java开发工程师,12k-20k,"文娱丨内容,社交 未融资 50-150人",经验3-5年 本科,“五险一金自研自运福利齐全”,移动互联网 架构师 Java 分布式 系统架构 ,[高新区]
科大讯飞,Java开发工程师-智慧城市BG-合肥,12k-18k,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“带薪年假，五险一金，年终奖，优质项目”,Java ,[高新区]
思特奇Si-tech,2020校园招聘-技术方向（java、C……）,5k-10k,"移动互联网,数据服务 不需要融资 2000人以上",经验应届毕业生 不限,“学习发展 七险一金 全国分配”,Java Hadoop 后端 分布式 ,[五里墩]
思特奇Si-tech,2021年应届毕业生岗位-java、C、hadoop、产品、项目、销售,5k-10k·14薪,"移动互联网,数据服务 不需要融资 2000人以上",经验应届毕业生 本科,“系统培养 导师制 七险一金”,Java C C++ Hadoop ,[五里墩]
木星科技,java开发工程师,8k-10k·13薪,"软件开发,其他 未融资 15-50人",经验3-5年 大专,“双休，入职购买五险一金”,Java ,[经济技术开发区]
合肥城房宝,java开发工程师,9k-18k·18薪,软件开发 未融资 15-50人,经验3-5年 本科,“18薪”,房产服务 Java ,[包河区]
科大国创,JAVA开发工程师,6k-12k,"企业服务,其他 上市公司 2000人以上",经验1-3年 本科,"“五险一金,上市企业,班车,补贴”",Java ,[高新区]
百达辉琪数字,Java开发工程师,7k-12k,移动互联网 / /,经验不限 本科,“高薪”,Java ,[蜀山区]
东方国信,java初级开发工程师,5k-10k,数据服务 上市公司 2000人以上,经验1-3年 本科,“微服务架构研发”,Java 服务器端 软件开发 分布式 ,[高新区]
邦盛科技,初级java开发工程师,5k-10k·13薪,信息安全 C轮 500-2000人,经验1-3年 本科,“年底双薪 绩效奖金 管理规范 五险一金”,Java ,[庐阳区]
科大讯飞,高阶JAVA开发-运营商BU-合肥,16k-22k,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“高薪，平台好，弹性工作，福利好”,后端 Java ,[高新区]
三只松鼠,java开发工程师,10k-15k·15薪,电商 上市公司 2000人以上,经验3-5年 本科,“自研项目、六险一金、带薪年假、法定公休等”,电商 Java 后端 数据库 分布式 ,[高新区]
华米科技,高级java开发工程师,20k-40k,移动互联网 上市公司 500-2000人,经验5-10年 本科,“弹性工作薪资open大牛云集班车接送”,移动互联网 Linux/Unix 分布式 平台 中间件 ,[高新区]
多点智能,Java开发实习生,4k-6k·14薪,"移动互联网,消费生活 不需要融资 50-150人",经验应届毕业生 大专,“扁平化管理 团队年轻有活力 福利待遇好”,Java 后端 软件开发 ,[陈村路]
若尔丹,java高级开发工程师,8k-15k·13薪,"通讯电子,软件开发 上市公司 150-500人",经验3-5年 本科,“优秀的团队，期待有理想，有抱负的你”,企业服务 地图 Java MySQL ,[政务文化新区]
安徽易健信息,java开发工程师,8k-12k·13薪,"移动互联网,医疗丨健康 未融资 50-150人",经验3-5年 本科,“定期体检、良好的工作环境、”,大数据 Java Hadoop 后端 MySQL ,[经济技术开发区]
合肥一渔一翁信息科技有限公司,java高级开发工程师,15k-30k,数据服务 未融资 15-50人,经验3-5年 本科,“你要的我都有！”,电商 移动互联网 Java 分布式 ,[蜀山区]
七天教育,java高级开发工程师,15k-20k,移动互联网 B轮 500-2000人,经验5-10年 大专,“发展空间大 弹性工作 领导nice”,教育 大数据 Java Hadoop ,[瑶海区]
上海诺祺科技,高级java开发工程师,8k-13k·13薪,金融 不需要融资 150-500人,经验5-10年 本科,“长期稳定”,大数据 金融 Java Shell Hadoop ,[滨湖新区]
博曼网络,Java开发工程师,6k-12k,软件开发 未融资 15-50人,经验3-5年 本科,“我相信你行！”,云计算 工具软件 全栈 后端 软件开发 分布式 ,[无]
合肥中科展讯智能科技有限公司,Java开发工程师,5k-8k,移动互联网 不需要融资 15-50人,经验1-3年 本科,“965”,云计算 大数据 MySQL 数据库 Hadoop 数据采集 ,[无]
讯飞启明,java软件开发工程师-教育BG-合肥,10k-15k·14薪,教育 上市公司 150-500人,经验3-5年 本科,“发展”,Java ,[肥西县]
众微普惠金融,java开发工程师,7k-12k,金融 / /,经验3-5年 本科,“周末双休 节假日福利 五险一金”,Java 后端 软件开发 ,[包河区]
科大讯飞,java开发工程师,9k-10k,"移动互联网,数据服务 上市公司 2000人以上",经验3-5年 本科,“五险一金 早九晚六 周末双休”,Java MySQL ,[高新区]
科大讯飞,java后端开发-智慧医疗-合肥,12k-20k,"移动互联网,数据服务 上市公司 2000人以上",经验3-5年 本科,"“五险一金,班车接送,加班补助”",Linux/Unix ,[高新区]
中南信息科技（深圳）有限公司,java开发工程师,9k-15k·13薪,"硬件,人工智能 不需要融资 50-150人",经验3-5年 大专,“五险一金”,通信/网络设备 Java 软件开发 架构师 ,[高新区]
泉尊电子科技,java开发工程师,7k-10k,"移动互联网,数据服务 未融资 50-150人",经验不限 本科,“公司各方面实力都是很不错的.”,Java ,[政务文化新区]
衡尔姮,java开发工程师,6k-12k,数据服务、软件开发 未融资 15-50人,经验3-5年 不限,“五险 包吃 交通补助 双休”,移动互联网 工具软件 Java 软件开发 ,[高新区]
米娱科技,java高级开发工程师,10k-15k,"文娱丨内容,社交 未融资 50-150人",经验3-5年 本科,“五险一金、带薪年假、”,分布式 J2EE 客户端 Java ,[高新区]
讯宇科技,java开发工程师,8k-11k,移动互联网 / /,经验1-3年 本科,“上市公司”,云计算 大数据 Java MySQL PHP Python ,[蜀山区]
网新科技,java开发工程师,10k-15k,"企业服务,人工智能 不需要融资 2000人以上",经验3-5年 本科,“高薪资，品牌客户，多次晋升机会，双休”,后端 平台 Java ERP ,[庐阳区]
艺朝艺夕教育集团,高级java开发工程师,10k-20k,教育 未融资 500-2000人,经验3-5年 本科,“五险一金，年终奖金，工作环境好”,绩效奖金 带薪年假 年度旅游 免费班车 ,[经济技术开发区]
医米信息技术,java开发工程师,9k-14k·14薪,移动互联网 B轮 150-500人,经验3-5年 本科,“医疗媒体 前景好 团队氛围好”,Java ,[蜀山区]
科大国创,java开发工程师,5k-10k·13薪,数据服务 上市公司 2000人以上,经验1-3年 本科,“五险一金、免费班车、餐饮补贴、项目奖金”,Java MySQL ,[高新区]
讯宇科技,java开发工程师,8k-10k,移动互联网 / /,经验3-5年 本科,“信息化系统”,Java ,[高新区]
睿信天和,java开发工程师,7k-12k,"企业服务,数据服务 未融资 50-150人",经验3-5年 本科,“五险一金 +双休+加班补贴+ 年终奖”,后端 ,[海棠]
安徽航信,Java,6k-10k,"移动互联网,信息安全 不需要融资 500-2000人",经验1-3年 本科,“2015安徽企业最佳雇主”,后端 ,[高新区]
合肥智软,java开发工程师,4k-5k,"社交,企业服务 不需要融资 50-150人",经验1-3年 本科,“转正后五险 ；年终13薪资待遇”,工具软件 信息安全 服务器端 平台 后端 C ,[蜀山区]
晶奇科技,java初级开发工程师,5k-8k·13薪,电商 未融资 500-2000人,经验1-3年 本科,“五险一金、周末双休、班车接送、交通补助等”,Java ,[高新区]
谊品生鲜,Java资深工程师、高级工程师（采购）,15k-30k,消费生活 B轮 2000人以上,经验3-5年 本科,“五险一金，周末双休，技术氛围强”,新零售 后端 ,[瑶海区]
谊品生鲜,高级java,15k-25k,消费生活 B轮 2000人以上,经验1-3年 本科,“五险一金、双休、年终奖等”,后端 ,[瑶海区]
上海觅教教育科技有限公司,java软件开发工程师,8k-12k,"移动互联网,教育 未融资 50-150人",经验3-5年 本科,“五险一金、带薪休假、公司旅游、晋升空间大”,教育 云计算 Java MySQL 软件开发 ,[经济技术开发区]
百达辉琪数字,java开发工程师,10k-11k,移动互联网 / /,经验1-3年 本科,“上市公司”,Linux/Unix Javascript ,[蜀山区]
科大国创,java开发工程师,5k-10k,"企业服务,其他 上市公司 2000人以上",经验1-3年 本科,"“五险一金,上市企业,班车,补贴”",Java 数据库 Web前端 ,[高新区]
东方国信,java开发工程师,5k-10k,"数据服务,软件开发 上市公司 500-2000人",经验1-3年 本科,“实力雄厚 成长空间大”,MySQL Java Shell docker ,[蜀山区]
讯创智能,Java开发工程师,12k-18k,人工智能 未融资 少于15人,经验3-5年 本科,“与科大工大校友并肩作战”,Java ,[高新区]
八度网络,java开发工程师,8k-12k,"移动互联网,数据服务 未融资 50-150人",经验3-5年 大专,“双休，加班补贴、餐补、交补、调薪”,云计算 移动互联网 平台 分布式 Java 企业软件 ,[高新区]
萌发科技,java开发工程师,8k-12k,"移动互联网,人工智能 未融资 50-150人",经验1-3年 大专,“年终奖金、项目奖金、弹性工作制、定期培训”,云计算 大数据 J2EE 后端 MySQL Java ,[二环路]
