公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
企迈云商,DBA,8k-15k,"移动互联网,电商 A轮 150-500人",经验1-3年 本科,"“周末双休,五险一金,年度旅游,年底双薪”",安全 MySQL 监控 ,[高新区]
飞常准,数据库管理（DBA）,8k-16k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,"“六险一金,年终奖金,弹性工作,员工旅游假”",移动互联网 大数据 Hadoop DBA MongoDB ,[望江路]
百得思维,数据库开发工程师,11k-14k·14薪,其他 未融资 2000人以上,经验3-5年 本科,“五险一金+双休+餐补+话补”,数据仓库 ETL ,[高新区]
上海金亥,数据库开发工程师,10k-15k·13薪,"企业服务,数据服务 不需要融资 50-150人",经验不限 大专,"“13薪,5险1金”",Oracle ,[蜀山区]
明佑电子,数据库开发工程师,5k-8k,"金融,软件开发 不需要融资 50-150人",经验1-3年 大专,“团队稳定、项目成熟”,ETL 数据仓库 Hive MySQL ,[包河区]
区块节点,JAVA工程师,7k-14k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“晋升空间大”,云计算 大数据 后端 服务器端 分布式 中间件 ,[高新区]
威弘信息,Java开发工程师（在家办公）,15k-20k·13薪,"电商,企业服务 不需要融资 15-50人",经验5-10年 本科,“在家办公 团队氛围好 技术氛围好”,Java 后端 分布式 ,[高新区]
飞常准,软件实施工程师,7k-10k,移动互联网 不需要融资 500-2000人,经验1-3年 本科,“六险一金、年终奖、双休”,实施 软件开发 ,[望江路]
NIO蔚来,后端开发工程师（合肥）,10k-20k,"移动互联网,硬件 上市公司 2000人以上",经验1-3年 本科,“上市公司 成熟平台 福利好 上升期”,后端 ,[经济技术开发区]
NIO蔚来,高级测试工程师,10k-18k,"移动互联网,硬件 上市公司 2000人以上",经验3-5年 本科,“五险一金，补充公积金，带薪休假”,测试 ,[经济技术开发区]
百得思维,java开发工程师,12k-16k·14薪,其他 未融资 2000人以上,经验3-5年 本科,“良好晋升机制 轻松的工作环境”,Java ,[高新区]
上海浩宜信息科技有限公司,java开发工程师,8k-15k,"数据服务,人工智能 不需要融资 150-500人",经验1-3年 本科,“做五休二，早九晚六， 年终奖，体检”,Javascript ,[经济技术开发区]
阳光心健,unity3D开发工程师（中级）,7k-13k,教育、医疗丨健康 未融资 50-150人,经验3-5年 大专,“五险一金 带薪年假 定期体检 员工旅游”,教育 医疗健康 Unity3d VR ,[瑶海区]
传智播客,前端助教,6k-12k,教育 C轮 500-2000人,经验1-3年 大专,“月休八天、年度体检、旅游、六险一金”,教育 ,[铜陵路]
传智播客,前端导师,12k-20k,教育 C轮 500-2000人,经验3-5年 大专,“月休八天、年度体检、旅游、六险一金”,教育 ,[铜陵路]
满辰财税,java开发工程师,9k-12k·13薪,企业服务 未融资 50-150人,经验3-5年 本科,“十三薪、国内外旅游、干股分红”,工具软件 ,[经济技术开发区]
途酷,java开发工程师,9k-15k,旅游 未融资 15-50人,经验1-3年 本科,“见职位描述”,Java MySQL 后端 ,[蜀山区]
文因互联,java开发工程师,8k-12k,"数据服务,金融 A轮 15-50人",经验1-3年 本科,“五险一金 生日礼物”,Java ,[蜀山区]
上海睿民,java开发工程师（2-4年 ）,7k-12k·13薪,"移动互联网,其他 上市公司 500-2000人",经验3-5年 大专,“13薪资，领导nice，办公环境高大上”,互联网金融 投资/融资 Java 后端 MySQL ,[政务文化新区]
安徽网新,java开发工程师,10k-15k,移动互联网 未融资 500-2000人,经验3-5年 本科,“多次晋升机会，双休，不加班，不出差”,后端 J2EE Javascript ,[大西门]
智企ID,PHP高级开发师,12k-16k,"移动互联网,企业服务 不需要融资 500-2000人",经验3-5年 大专,“社保”,HTML/CSS Javascript MySQL ,[经济技术开发区]
科大讯飞,Java开发工程师-智慧城市BG-合肥,12k-18k,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“带薪年假，五险一金，年终奖，优质项目”,Java ,[高新区]
东方国信,java初级开发工程师,5k-10k,数据服务 上市公司 2000人以上,经验1-3年 本科,“微服务架构研发”,Java 服务器端 软件开发 分布式 ,[高新区]
微创软件,java工程师,8k-9k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“发展前景、福利待遇”,Java ,[蜀山区]
微创软件,软件测试工程师,6k-7k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 大专,“发展前景、福利待遇”,测试 ,[滨湖新区]
邦盛科技,java开发工程师,10k-20k·13薪,信息安全 C轮 500-2000人,经验3-5年 本科,“年底双薪 绩效奖金 管理规范 五险一金”,Java ,[庐阳区]
邦盛科技,初级java开发工程师,5k-10k·13薪,信息安全 C轮 500-2000人,经验1-3年 本科,“年底双薪 绩效奖金 管理规范 五险一金”,Java ,[庐阳区]
科大讯飞,高阶JAVA开发-运营商BU-合肥,16k-22k,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“高薪，平台好，弹性工作，福利好”,后端 Java ,[高新区]
合肥城房宝,数据工程师,8k-15k·18薪,软件开发 未融资 15-50人,经验3-5年 本科,“18薪”,房产服务 数据库开发 ,[包河区]
合肥城房宝,java开发工程师,9k-18k·18薪,软件开发 未融资 15-50人,经验3-5年 本科,“18薪”,房产服务 Java ,[包河区]
木星科技,全栈开发工程师,8k-10k·13薪,"软件开发,其他 未融资 15-50人",经验3-5年 大专,“双休，入职购买五险一金”,,[经济技术开发区]
木星科技,java开发工程师,8k-10k·13薪,"软件开发,其他 未融资 15-50人",经验3-5年 大专,“双休，入职购买五险一金”,Java ,[经济技术开发区]
科大国创,JAVA开发工程师,6k-12k,"企业服务,其他 上市公司 2000人以上",经验1-3年 本科,"“五险一金,上市企业,班车,补贴”",Java ,[高新区]
三只松鼠,数据开发经理,23k-28k·15薪,电商 上市公司 2000人以上,经验3-5年 本科,“六险一金、带薪年假、法定公休等”,ETL 数据仓库 数仓建模 MySQL ,[高新区]
三只松鼠,java开发工程师,10k-15k·15薪,电商 上市公司 2000人以上,经验3-5年 本科,“自研项目、六险一金、带薪年假、法定公休等”,电商 Java 后端 数据库 分布式 ,[高新区]
讯飞启明,软件测试工程师-教育BG-合肥,8k-15k,教育 上市公司 150-500人,经验3-5年 本科,“软件测试”,测试 ,[肥西县]
讯飞启明,java软件开发工程师-教育BG-合肥,10k-15k·14薪,教育 上市公司 150-500人,经验3-5年 本科,“发展”,Java ,[肥西县]
福昕软件,运维工程师,10k-15k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“上市公司、股权激励、专注做产品、氛围好”,K8s/Docker ,[高新区]
合肥一渔一翁信息科技有限公司,java高级开发工程师,15k-30k,数据服务 未融资 15-50人,经验3-5年 本科,“你要的我都有！”,电商 移动互联网 Java 分布式 ,[蜀山区]
小马科技,php开发工程师,7k-12k,移动互联网 上市公司 50-150人,经验1-3年 不限,“上市公司，项目前景好，业绩好有期权”,移动互联网 企业服务 PHP ,[高新区]
谊品生鲜,高级java,15k-25k,消费生活 B轮 2000人以上,经验1-3年 本科,“五险一金、双休、年终奖等”,后端 ,[瑶海区]
谊品生鲜,资深JAVA开发工程师（库存）,20k-30k,消费生活 B轮 2000人以上,经验3-5年 本科,“1”,电商 后端 ,[瑶海区]
安徽易健信息,java开发工程师,8k-12k·13薪,"移动互联网,医疗丨健康 未融资 50-150人",经验3-5年 本科,“定期体检、良好的工作环境、”,大数据 Java Hadoop 后端 MySQL ,[经济技术开发区]
米娱科技,高级运维工程师,15k-25k,"文娱丨内容,社交 未融资 50-150人",经验3-5年 本科,“五险一金自研自运福利齐全”,运维 Docker Linux ,[高新区]
多点智能,java初级工程师,4k-8k·13薪,"移动互联网,消费生活 不需要融资 50-150人",经验1-3年 不限,“福利完善，氛围好”,Java 后端 ,[高新区]
七天教育,.net工程师,10k-15k,移动互联网 B轮 500-2000人,经验3-5年 大专,“发展空间大 弹性工作 领导nice”,体育 .NET C# ,[瑶海区]
七天教育,.net高级开发工程师,15k-20k,移动互联网 B轮 500-2000人,经验5-10年 本科,“发展空间大 弹性工作 领导nice”,教育 .NET 架构师 ,[瑶海区]
志翔科技,驻场技术支持工程师（安徽）,6k-8k,"数据服务,硬件 C轮 150-500人",经验1-3年 大专,“公积金全额、年终奖、弹性工作”,运维 Linux Oracle ,[井岗]
联龙博通,大数据开发工程师,10k-16k,"移动互联网,电商 D轮及以上 2000人以上",经验3-5年 大专,“五险一金，双休，加班补贴，餐费补贴”,大数据 ,[滨湖新区]
雅捷,java开发,8k-12k,"数据服务,金融 上市公司 150-500人",经验3-5年 本科,“大牛多 稳定性强 出差少 非外包”,Java ,[政务文化新区]
京东方,CIM实施工程师(J23081),8k-15k,物联网 上市公司 2000人以上,经验3-5年 本科,“餐补、班车、住宿”,Java 技术支持 企业软件 ,[瑶海区]
中南信息科技（深圳）有限公司,java开发工程师,9k-15k·13薪,"硬件,人工智能 不需要融资 50-150人",经验3-5年 大专,“五险一金”,通信/网络设备 Java 软件开发 架构师 ,[高新区]
泉尊电子科技,java开发工程师,7k-10k,"移动互联网,数据服务 未融资 50-150人",经验不限 本科,“公司各方面实力都是很不错的.”,Java ,[政务文化新区]
衡尔姮,java开发工程师,6k-12k,数据服务、软件开发 未融资 15-50人,经验3-5年 不限,“五险 包吃 交通补助 双休”,移动互联网 工具软件 Java 软件开发 ,[高新区]
小马科技,php工程师,6k-12k,移动互联网 上市公司 50-150人,经验3-5年 大专,“自有产品开发，非外包”,企业服务 PHP MySQL 后端 数据库 ,[蜀山区]
米娱科技,资深运维开发工程师,15k-25k,"文娱丨内容,社交 未融资 50-150人",经验5-10年 本科,“年底双薪、带薪年假、五险一金”,Shell 运维开发 K8s Docker ,[高新区]
华企视窗,php高级开发工程师,9k-12k·13薪,软件开发 未融资 15-50人,经验3-5年 不限,“期待经济压力的一起共事”,python爬虫 PHP Python MySQL ,[蜀山区]
和顺科技,运维工程师,6k-9k,企业服务 未融资 50-150人,经验1-3年 本科,“双休 五险一金 餐”,,[高新区]
