公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
飞常准,PHP工程师,4k-6k,移动互联网 不需要融资 500-2000人,经验不限 本科,“专业团队，提升快”,PHP ,[望江路]
飞常准,php工程师,4k-6k,移动互联网 不需要融资 500-2000人,经验应届毕业生 本科,“团队专业”,PHP ,[望江路]
智企ID,PHP高级开发师,12k-16k,"移动互联网,企业服务 不需要融资 500-2000人",经验3-5年 大专,“社保”,HTML/CSS Javascript MySQL ,[经济技术开发区]
福昕软件,php开发工程师,10k-15k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“上市公司、股权激励、专注做产品、氛围好”,PHP ,[高新区]
小马科技,php开发工程师,7k-12k,移动互联网 上市公司 50-150人,经验1-3年 不限,“上市公司，项目前景好，业绩好有期权”,移动互联网 企业服务 PHP ,[高新区]
小马科技,php工程师,6k-12k,移动互联网 上市公司 50-150人,经验3-5年 大专,“自有产品开发，非外包”,企业服务 PHP MySQL 后端 数据库 ,[蜀山区]
来邦科技股份公司,php开发工程师,8k-13k,"企业服务,其他 上市公司 150-500人",经验1-3年 本科,"“福利好,薪资高,发展空间大,领导好”",视频 QT C++ Javascript PHP ,[东流路]
衔翔网络,php,8k-12k·13薪,电商 未融资 少于15人,经验3-5年 大专,“社保、公积金、年终奖、大小周、下午茶”,,[政务文化新区]
合肥朗途,php开发工程师,10k-12k,电商 未融资 150-500人,经验5-10年 本科,“工作轻松，同事亲切可爱。”,大数据 企业服务 PHP 全栈 python爬虫 ,[桃花]
尚美轩,php开发工程师,6k-10k·13薪,电商 不需要融资 500-2000人,经验1-3年 大专,“发展前景，薪资，福利，公司氛围”,PHP ,[政务文化新区]
优赞科技,php工程师,5k-10k,"移动互联网,企业服务 未融资 15-50人",经验不限 大专,“技术技术”,后端 PHP ,[望江路]
安徽新媒高科软件信息技术有限公司,PHP开发工程师,6k-10k,"移动互联网,信息安全 不需要融资 15-50人",经验1-3年 本科,"“五险一金，稳定,归属”",PHP ,[政务文化新区]
脸夹科技,PHP,6k-10k,"人工智能,软件开发 不需要融资 15-50人",经验1-3年 大专,“节假日福利、奖金、员工旅游等”,移动互联网 后端 ,[政务文化新区]
