公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
宽土猫,python爬虫工程师,4k-8k,移动互联网 天使轮 少于15人,经验不限 不限,“正常工作 发挥专业技能”,Python Java PHP ,[蜀山区]
飞常准,Unity3D程序开发工程师,10k-20k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,"“六险一金,年终奖金,带薪休假,员工旅游”",大数据 C++ Java ,[潜山路]
飞常准,（民航服务）数据分析师,6k-9k,移动互联网 不需要融资 500-2000人,经验1-3年 本科,“六险一金 周末双休 扁平化管理”,数据分析 ,[望江路]
NIO蔚来,嵌入式软件开发工程师,15k-30k·13薪,"移动互联网,硬件 上市公司 2000人以上",经验3-5年 本科,“上市公司，弹性工作，福利全”,嵌入式 Linux 智能硬件 ,[经济技术开发区]
NIO蔚来,软件质量工程师-合肥,12k-24k·13薪,"移动互联网,硬件 上市公司 2000人以上",经验3-5年 本科,“上市公司，弹性工作，福利全”,项目管理 过程管理 需求分析 PMP ,[经济技术开发区]
ZStack,运营商行业云计算方案专家,12k-20k,"数据服务,信息安全 B轮 150-500人",经验1-3年 本科,"“阿里云投资,产品牛,大牛云集,好福利”",云计算 售前 架构师 企业软件 解决方案 ,[城隍庙]
哈工大机器人,ROS系统工程师（商用）,10k-15k·13薪,其他 不需要融资 150-500人,经验1-3年 硕士,“有政府搭建的平台”,TCP/IP协议 HTTP/HTTPS协议 ,[经济技术开发区]
哈工大机器人,商用移动机器人导航算法工程师,10k-15k·13薪,其他 不需要融资 150-500人,经验1-3年 硕士,“有政府搭建的平台”,目标检测 模式识别 ,[经济技术开发区]
禧涤智能,售前工程师,8k-13k,"人工智能,硬件 A轮 50-150人",经验3-5年 本科,“明星团队”,智能硬件 地图 IT支持 Python C++ ,[庐阳区]
百得思维,java开发工程师,12k-16k·14薪,其他 未融资 2000人以上,经验3-5年 本科,“良好晋升机制 轻松的工作环境”,Java ,[高新区]
百得思维,技术支持,5k-8k·14薪,其他 未融资 2000人以上,经验1-3年 本科,“餐补+交通补+话补+节日福利+双休+班车”,Linux Shell Python ,[高新区]
上海浩宜信息科技有限公司,java开发工程师,8k-15k,"数据服务,人工智能 不需要融资 150-500人",经验1-3年 本科,“做五休二，早九晚六， 年终奖，体检”,Javascript ,[经济技术开发区]
上海浩宜信息科技有限公司,软件测试工程师,8k-15k,"数据服务,人工智能 不需要融资 150-500人",经验1-3年 本科,“做五休二，年终奖、五险一金、定期团建”,测试 IOS测试 Web测试 功能测试 ,[经济技术开发区]
神策数据,运维工程师（合肥）,8k-12k,数据服务 C轮 500-2000人,经验3-5年 本科,"“七险一金,午餐补助,14薪”",大数据 云计算 运维 Hadoop ,[高新区]
神策数据,售后技术支持,8k-13k,数据服务 C轮 500-2000人,经验1-3年 本科,“扁平化管理，大数据行业”,大数据 Hadoop Java ,[高新区]
左邻,【合肥】测试工程师,8k-15k,移动互联网 A轮 150-500人,经验3-5年 本科,“晋升空间、扁平管理、薪资丰厚、活动多多”,企业服务 云计算 功能测试 Web测试 Android测试 ,[望江路]
左邻,测试工程师,6k-10k,移动互联网 A轮 150-500人,经验1-3年 本科,“晋升空间、扁平管理、薪资丰厚、活动多多”,功能测试 Jmeter ,[望江路]
企迈云商,大数据开发工程师,12k-16k,"移动互联网,电商 A轮 150-500人",经验3-5年 本科,“周末双休、五险一金、节日福利、年终奖”,数据处理 数据仓库 ,[蜀山区]
企迈云商,运维开发工程师,10k-14k·13薪,"移动互联网,电商 A轮 150-500人",经验3-5年 本科,“周末双休、五险一金、年终奖、发展空间大”,K8s/Docker Python 运维开发 ,[蜀山区]
传智播客,前端导师,12k-20k,教育 C轮 500-2000人,经验3-5年 大专,“月休八天、年度体检、旅游、六险一金”,教育 ,[铜陵路]
优品财富管理有限公司,运维工程师,5k-9k·13薪,金融 未融资 500-2000人,经验1-3年 本科,"“大牛云集,双休”",企业服务 ,[包河区]
七行科技,技术支持工程师,3k-6k,移动互联网 未融资 15-50人,经验1-3年 大专,“五险；员工旅游；做五休二”,运维 安全 ,[滨湖新区]
纪念日,开发工程师,5k-7k·13薪,消费生活 不需要融资 2000人以上,经验1-3年 大专,“班车接送、13薪、五险、员工卡等”,Oracle ETL SQLServer ,[庐阳区]
格灵深瞳,视觉算法工程师,15k-30k,"企业服务,数据服务 D轮及以上 150-500人",经验不限 本科,"“周末双休,六险一金”",算法 机器学习 ,[高新区]
邦盛科技,数据开发工程师,10k-20k·13薪,信息安全 C轮 500-2000人,经验3-5年 本科,“年底双薪 绩效奖金 管理规范 五险一金”,ETL 数据仓库 ,[庐阳区]
邦盛科技,初级数据开发工程师,5k-10k·13薪,信息安全 C轮 500-2000人,经验1-3年 本科,“年底双薪 绩效奖金 管理规范 五险一金”,ETL 数据仓库 ,[庐阳区]
