公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
金证股份,C++开发工程师（中泰联合研发中心）,7k-12k·13薪,金融 上市公司 2000人以上,经验1-3年 本科,“上市公司”,C++ ,[市中区]
宇视科技,软件开发工程师（C/C++/C#/嵌入式/）,8k-14k,"移动互联网,信息安全 D轮及以上 2000人以上",经验不限 本科,“氛围好、带薪年假、年终分红、年轻活跃”,云计算 视频 C C++ 音视频 ,[历城区]
永湃科技,C++ /QT 软件开发,10k-15k,金融、企业服务 天使轮 少于15人,经验3-5年 本科,“前景好，压力小，加班少”,C++ ,[历城区]
博昂科技,C++,12k-16k,"数据服务,其他 天使轮 15-50人",经验1-3年 本科,“只要你有能力，财富和地位不是问题！”,Linux/Unix ,[大学科技园]
上海浪潮云计算服务有限公司,研发工程师（java/python/go/ C/C++）,9k-18k,"数据服务,移动互联网 不需要融资 500-2000人",经验3-5年 本科,“发展前景”,Golang Java Python C++ ,[高新区]
华软网络,c++开发工程师,12k-17k,信息安全 上市公司 150-500人,经验3-5年 本科,“五险一金，绩效奖金，带薪年假，弹性工作”,后端 C++ ,[历下区]
华天软件,c++开发工程师,7k-14k,企业服务 C轮 150-500人,经验1-3年 本科,“五险一金 氛围良好 餐补车补”,工具软件 移动互联网 C++ 图像识别 图像算法 Unity3D ,[高新区]
点量软件,C/C++开发工程师,12k-20k,"移动互联网,文娱丨内容 未融资 少于15人",经验1-3年 大专,“有能力者可多次涨薪；有股份期权奖励”,后端 C++ C Linux/Unix ,[高新区]
中维世纪科技有限公司,C/C++网络开发工程师,10k-15k,"移动互联网,文娱丨内容 不需要融资 2000人以上",经验3-5年 硕士,“入职就缴纳五险一金、双休、法定节假日”,C++ ,[历下区]
浪潮,C/C++软件工程师,8k-15k,"信息安全,硬件 上市公司 2000人以上",经验3-5年 本科,“五险一金、绩效奖金、年底双薪、定期体检”,驱动开发 C Windows Linux/Unix ,[高新区]
济南广播传媒有限公司,ios开发工程师,10k-15k,"文娱丨内容,移动互联网 不需要融资 15-50人",经验3-5年 本科,“自主研发，工作舒适”,移动端 iOS 性能优化 网络 ,[历下区]
朗新科技,实施运维工程师(J10273),8k-14k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 带薪年假 年度体检 周末双休”,实施 数据库 ,[经四路]
金现代,java开发工程师,5k-10k,"移动互联网,信息安全 上市公司 500-2000人",经验不限 本科,“职位晋升，动态岗级，周末双休”,企业服务 后端 ,[高新区]
花儿数据,高级工程师,15k-25k·13薪,移动互联网 / /,经验3-5年 本科,“上市公司，精英研发团队”,C++ ,[高新区]
Veedoo,java开发工程师,8k-12k,"移动互联网,金融 未融资 150-500人",经验3-5年 本科,“饭补 周末双休”,Java ,[历城区]
海看科技,ai技术带头人,14k-28k,"移动互联网,文娱丨内容 A轮 150-500人",经验5-10年 本科,“全额社保、全额公积金、周末双休、节日福利”,人工智能 ,[历下区]
浪潮云服务集团,数据库研发工程师,12k-20k,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,“14薪”,C++ Golang MySQL Linux/Unix ,[历下区]
济钢防务,c语言开发工程师,10k-15k,"通讯电子,软件开发 未融资 50-150人",经验1-3年 硕士,“发展前景广阔，有较多与空天院交流学习机会”,即时通讯 C C++ C# ,[历城区]
济钢防务,测试工程师,11k-22k,"通讯电子,软件开发 未融资 50-150人",经验3-5年 本科,“福利待遇优厚，发展前景广阔”,数据库 测试 软件测试 自动化测试 ,[历城区]
童程童美,javaPythonc++编程讲师,6k-10k,教育 上市公司 2000人以上,经验不限 本科,“五险一金 双休 餐补 上市外企 高晋升”,教育 移动互联网 ,[高新区]
童程童美,java编程实习讲师,6k-12k,教育 上市公司 2000人以上,经验不限 本科,“五险一金 双休 上市外企 高晋升”,前端开发 Web前端 ,[历城区]
华软网络,PHP初级工程师,6k-9k,信息安全 上市公司 150-500人,经验1-3年 本科,“职业前景广阔，技术栈丰富，待遇优厚。”,企业服务 Linux/Unix PHP Javascript MySQL ,[历下区]
华软网络,PHP高级研发工程师,9k-14k,信息安全 上市公司 150-500人,经验3-5年 本科,"“能力提升,职业提升,福利好,环境好”",大数据 Javascript Node.js PHP Python ,[历下区]
博昂科技,算法工程师,10k-15k,"数据服务,其他 天使轮 15-50人",经验1-3年 本科,“只要你有能力，金钱和地位都不是问题！”,带薪年假 绩效奖金 年度旅游 定期体检 ,[大学科技园]
中维世纪科技有限公司,嵌入式软件开发工程师,8k-15k,"移动互联网,文娱丨内容 不需要融资 2000人以上",经验3-5年 本科,“双休 五险一金 休闲茶水间 帅哥靓妹”,嵌入式 ,[齐鲁软件园]
和普威视,高级硬件工程师岗 Embedded Hardware Engineer Post,10k-20k,其他 A轮 150-500人,经验1-3年 本科,“无线一斤、员工宿舍、双休、交通补助”,PCB设计 C 电路设计 单板开发 ,[高新区]
浪潮通软,软件测试工程师,5k-10k,企业服务 上市公司 500-2000人,经验3-5年 本科,“技术前沿、补充医疗、生日福利、年度旅游”,Web测试 产品测试 测试 Windows测试 ,[市政府]
神博,"C#,WPF工程师",5k-10k,硬件 不需要融资 50-150人,经验1-3年 大专,“五险一金，周末双休，带薪年假，团队旅游，”,后端 Wpf MySQL ,[高新区]
