公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
朗新科技,DBA(J10495),8k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 带薪年假 年度体检 周末双休”,Oracle DBA ,[经四路]
济钢防务,dba,15k-25k,"通讯电子,软件开发 未融资 50-150人",经验3-5年 本科,“福利待遇优厚，发展前景广阔”,MySQL Oracle Linux SQLServer ,[历城区]
绿湾科技,Java开发工程师,8k-15k,"企业服务,数据服务 B轮 150-500人",经验3-5年 本科,"“高挑战,高待遇,高福利,高成长”",Java 后端 ,[杆石桥]
韦尔科技,java开发工程师,4k-8k,"移动互联网,数据服务 天使轮 50-150人",经验不限 本科,"“发展快速,扁平化管理,节日礼品,期权激励”",后端 ,[历城区]
朗新科技,云平台运维工程师(J11407),9k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 带薪年假 年度体检 周末双休”,运维 Docker 数据库 ,[经四路]
山东广电信通,系统工程师,5k-8k,"信息安全,移动互联网 不需要融资 150-500人",经验应届毕业生 本科,“工作环境优越 发展前景广”,云计算 大数据 Linux MySQL 数据库运维 系统运维 ,[历下区]
金现代,java开发工程师,5k-10k,"移动互联网,信息安全 上市公司 500-2000人",经验不限 本科,“职位晋升，动态岗级，周末双休”,企业服务 后端 ,[高新区]
格尔软件,技术支持工程师,5k-8k,信息安全 上市公司 150-500人,经验1-3年 本科,“薪水不仅高而且还有午餐补贴，加班晚餐补贴”,MySQL ,[浆水泉]
高新兴科技集团,JAVA开发工程师（济南）(J11085),11k-22k,"物联网,人工智能 上市公司 2000人以上",经验1-3年 本科,“工作氛围好 领导好相处”,信息安全 Java 全栈 ,[历下区]
顶点软件,java开发工程师,7k-12k,"移动互联网,企业服务 上市公司 500-2000人",经验1-3年 本科,“金融科技、证券”,金融 Java 软件开发 ,[市中区]
眼神科技,Java开发（济南）,8k-15k,"数据服务,信息安全 不需要融资 50-150人",经验3-5年 本科,“人工智能 补充医疗 年度体检”,信息安全 云计算 Java MySQL 人脸识别 ,[高新区]
网新博创,java开发工程师,8k-15k·13薪,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“浙大网新”,Java ,[市中区]
浪潮通软,Java开发工程师,10k-17k,企业服务 上市公司 500-2000人,经验3-5年 本科,“七险一金、出国旅游、股票期权、每年调薪”,企业服务 ERP ,[历城区]
亚信,java开发工程师,11k-22k·13薪,"企业服务,移动互联网 上市公司 2000人以上",经验不限 本科,“13薪，年终奖，保险，各种福利”,数据库 docker Java 分布式 ,[槐荫区]
顺联互动,php开发工程师,6k-12k,其他、软件开发 未融资 15-50人,经验1-3年 不限,“五险、餐补、交通补助、带薪年假、年终奖”,PHP MySQL ,[历下区]
永湃科技,C++ /QT 软件开发,10k-15k,金融、企业服务 天使轮 少于15人,经验3-5年 本科,“前景好，压力小，加班少”,C++ ,[历城区]
云孚科技,实施工程师,6k-12k,"企业服务,移动互联网 不需要融资 15-50人",经验不限 本科,“发展空间大”,大数据 云计算 技术支持 售后 ,[市中区]
然茜信息,java中级开发工程师,8k-12k,"软件开发,物联网 不需要融资 15-50人",经验3-5年 本科,"“五险一金,绩效奖金”",信息安全 云计算 Java MySQL 后端 ,[高新区]
曙光照,java高级开发工程师,8k-10k,"软件开发,物联网 未融资 15-50人",经验3-5年 大专,“双休+绩效奖金+五险一金+员工福利”,.NET MySQL 数据库 云计算 ,[历下区]
浪潮通软,Python开发工程师,10k-17k,企业服务 上市公司 500-2000人,经验3-5年 本科,“七险一金、出国旅游、股票期权、每年调薪”,企业服务 ERP ,[历城区]
普元,数据咨询顾问,12k-18k·13薪,"企业服务,数据服务 不需要融资 500-2000人",经验3-5年 本科,“六险一金”,绩效奖金 年底双薪 五险一金 带薪年假 ,[历城区]
