公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
顺联互动,php开发工程师,6k-12k,其他、软件开发 未融资 15-50人,经验1-3年 不限,“五险、餐补、交通补助、带薪年假、年终奖”,PHP MySQL ,[历下区]
标梵互动,PHP开发程序员,6k-12k,"移动互联网,企业服务 未融资 15-50人",经验1-3年 大专,"“有干货,懂研究,爱热闹,爱大神”",Laravel Yii PHP 后端 ,[槐荫区]
顺联互动,php开发工程师,7k-10k,其他、软件开发 未融资 15-50人,经验1-3年 不限,“加班补助、餐补、车补”,后端 Laravel MySQL ,[历下区]
晨阳网络,php开发工程师,12k-18k,不限 未融资 15-50人,经验5-10年 本科,“五险一金 节假日正常休息”,PHP ,[高新区]
晨阳网络,php开发工程师,15k-25k,不限 未融资 15-50人,经验10年以上 本科,“五险一金 节假日正常休息”,电商 本地生活 JS PHP ,[市中区]
荞麦科技,php开发工程师,6k-8k,软件开发 未融资 15-50人,经验3-5年 本科,“五险一金”,分类信息 新零售 PHP 全栈 ,[北园]
蔚蓝科技,php开发工程师,6k-12k,社交 未融资 15-50人,经验不限 大专,“公司自有宠物电商项目”,社交 移动互联网 PHP MySQL 后端 ,[槐荫区]
蔚蓝科技,php开发工程师,8k-12k,社交 未融资 15-50人,经验3-5年 本科,“工作环境优，奖金丰厚”,电商 直播 PHP ,[槐荫区]
山东舵手网络科技有限公司,PHP开发工程师,5k-10k,硬件 未融资 500-2000人,经验不限 大专,“弹性工作时间，五险一金”,后端 服务器端 PHP ,[高新区]
山东汉方制药,php开发工程师,7k-10k,"其他,医疗丨健康 未融资 50-150人",经验1-3年 本科,“五险一金，双休”,后端 ,[泉城广场]
龙杰信息,php,7k-14k,"移动互联网,电商 未融资 15-50人",经验不限 大专,“五险，带薪年假，节日福利，员工旅游”,后端 Linux/Unix ,[历下区]
微小程,PHP开发工程师,5k-10k,"移动互联网,电商 天使轮 50-150人",经验1-3年 大专,"“五险一金,绩效奖金,全勤奖,节日福利”",后端 Java PHP ,[高新区]
海比特科技,PHP开发工程师,9k-15k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 本科,“待遇从优”,专项奖金 带薪年假 绩效奖金 年度旅游 ,[长途汽车站]
华软网络,PHP初级工程师,6k-9k,信息安全 上市公司 150-500人,经验1-3年 本科,“职业前景广阔，技术栈丰富，待遇优厚。”,企业服务 Linux/Unix PHP Javascript MySQL ,[历下区]
华软网络,PHP高级研发工程师,9k-14k,信息安全 上市公司 150-500人,经验3-5年 本科,"“能力提升,职业提升,福利好,环境好”",大数据 Javascript Node.js PHP Python ,[历下区]
山东强比信息技术有限公司,PHP高级程序员,8k-10k,"企业服务,软件开发 未融资 15-50人",经验3-5年 大专,“双休 五险一金 带薪年假 发展培训”,PHP Python Linux/Unix 软件开发 ,[山大路]
东方莫道,php全栈,6k-8k,电商 D轮及以上 150-500人,经验3-5年 不限,“五险一金 定期团建 下午茶”,Laravel PHP Python MySQL ,[杆石桥]
济南景新,php开发工程师兼职,4k-7k,移动互联网 天使轮 15-50人,经验1-3年 不限,“专兼职”,服务器端 后端 平台 ,[花园小区]
济南大象,PHP高级工程师,8k-15k,"移动互联网,电商 未融资 150-500人",经验3-5年 大专,"“双休,五险一金,节日福利,生日福利”",PHP ,[历下区]
波罗蜜,php程序员 工程师,5k-10k,"移动互联网,企业服务 天使轮 15-50人",经验1-3年 大专,"“双休,五险,节假日,早9点晚6”",移动开发 系统架构 软件开发 后端 ,[华龙路]
波罗蜜,php程序员,4k-8k,"移动互联网,企业服务 天使轮 15-50人",经验应届毕业生 大专,“程序员-工程师-产品经理”,移动端 Android ,[华龙路]
安恒信息,驻场安全服务工程（济南）,8k-16k,"信息安全,数据服务 上市公司 500-2000人",经验3-5年 本科,“五险一金 带薪年假 国内外旅游”,信息安全 ,[高新区]
信天辰,渗透测试讲师,6k-10k,"企业服务,信息安全 不需要融资 15-50人",经验不限 大专,“双休 五险 通讯补助 全勤奖 提成”,教育 ,[历下区]
瞪羚车服,安卓android开发工程师,5k-9k,"汽车丨出行,物流丨运输 天使轮 15-50人",经验1-3年 大专,“正点下班”,汽车 本地生活 移动端 Android ,[历下区]
神荼科技,渗透测试实习生,3k-5k,"信息安全,区块链 天使轮 15-50人",经验应届毕业生 本科,“弹性工作制”,Shell Linux Python Web安全 ,[历城区]
优维科技,运维开发工程师,10k-20k,"移动互联网,企业服务 B轮 150-500人",经验不限 本科,“平台好 技术好”,工具软件 DevOps/AIOps Python ,[高新区]
神荼科技,渗透测试工程师,10k-15k,"信息安全,区块链 天使轮 15-50人",经验1-3年 本科,“弹性工作制”,安全测试 渗透测试 ,[历城区]
极优智能,java开发工程师,8k-15k,"移动互联网,硬件 不需要融资 50-150人",经验3-5年 本科,“周末双休”,Java ,[高新区]
企叮咚,微服务架构师,17k-30k,电商 不需要融资 150-500人,经验5-10年 大专,“五险一金 节假日福利 不定期团建 不定期旅游”,电商 ,[历下区]
车满满,运维工程师,10k-20k,移动互联网 B轮 150-500人,经验3-5年 本科,“2个月年终奖，”,运维 Linux ,[高新区]
博昂科技,web工程师,10k-15k,"数据服务,其他 天使轮 15-50人",经验1-3年 大专,“只要你有能力，财富和地位都不是问题！”,信息安全 前端开发 ,[大学科技园]
安百科技山东分公司,安全研究员[技术研究方向],4k-6k,"信息安全,数据服务 A轮 50-150人",经验应届毕业生 大专,"“双休,五险一金,年假,旅游”",信息安全 安全 信息安全 网络安全 ,[高新区]
安百科技山东分公司,安全服务工程师（渗透测试方向）,8k-10k,"信息安全,数据服务 A轮 50-150人",经验1-3年 大专,"“双休,五险一金,年假,旅游”",信息安全 安全 信息安全 网络安全 ,[高新区]
浪潮易云,Java开发工程师,10k-12k,企业服务 未融资 500-2000人,经验3-5年 本科,“五险一金，出国旅游，年度体检”,Java ERP 后端 PHP ,[市中区]
浪潮易云,saas运维工程师,10k-15k,企业服务 未融资 500-2000人,经验3-5年 本科,“五险一金、健康体检、股权激励”,Linux 数据库 MySQL 运维 ,[市中区]
安然寻道文化咨询,初级软件测试工程师,5k-8k,"文娱丨内容,物联网 未融资 15-50人",经验1-3年 大专,“福利好、待遇优”,Android测试 Server端测试 Web测试 功能测试 ,[高新区]
晨阳网络,php开发工程师,13k-25k,不限 未融资 15-50人,经验5-10年 本科,“五险一金 节假日正常休息”,游戏 直播 PHP Java 游戏开发 ,[高新区]
