公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
浪潮通软,Python开发工程师,10k-17k,企业服务 上市公司 500-2000人,经验3-5年 本科,“七险一金、出国旅游、股票期权、每年调薪”,企业服务 ERP ,[历城区]
上海浪潮云计算服务有限公司,研发工程师（java/python/go/ C/C++）,9k-18k,"数据服务,移动互联网 不需要融资 500-2000人",经验3-5年 本科,“发展前景”,Golang Java Python C++ ,[高新区]
神荼科技,Python开发实习,3k-5k,"信息安全,区块链 天使轮 15-50人",经验应届毕业生 本科,“转正机会”,Python Shell MySQL ,[历城区]
融科数据,python实习后端,2k-4k,"企业服务,数据服务 不需要融资 50-150人",经验应届毕业生 大专,“双休、年假、午餐、五险一金、补助、团建”,企业服务 物流 ,[高新区]
融科数据,python后端,4k-8k,"企业服务,数据服务 不需要融资 50-150人",经验不限 大专,“双休、年假、午餐、五险一金、补助、团建”,企业服务 物流 后端 平台 软件开发 企业软件 ,[高新区]
浪潮早上班云,python后端研发工程师,1k-2k,企业服务 不需要融资 150-500人,经验应届毕业生 本科,“实习转正、实习津贴、热点行业”,移动互联网 招聘 Python MySQL ,[历下区]
字节跳动,大客户经营分析顾问,8k-16k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,"“下午茶,六险一金,团队氛围好,薪资优厚”",项目管理 ,[历下区]
韦尔科技,java开发工程师,4k-8k,"移动互联网,数据服务 天使轮 50-150人",经验不限 本科,"“发展快速,扁平化管理,节日礼品,期权激励”",后端 ,[历城区]
国瑞数码,高级java开发工程师,10k-15k,信息安全 不需要融资 150-500人,经验3-5年 本科,"“五险一金,节日福利,弹性工作,餐补”",信息安全 ,[大明湖]
朗新科技,云平台运维工程师(J11407),9k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 带薪年假 年度体检 周末双休”,运维 Docker 数据库 ,[经四路]
朗新科技,大数据平台运维工程师(J11408),9k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 带薪年假 年度体检 周末双休”,大数据 运维 ,[经四路]
宇视科技,自动化测试工程师,8k-13k,"硬件,信息安全 上市公司 2000人以上",经验应届毕业生 本科,“福利待遇好”,移动互联网 脚本 自动化 性能测试 测试开发 ,[历城区]
半云科技,大数据工程师,8k-16k,移动互联网 天使轮 150-500人,经验3-5年 本科,“五险一金 带薪年假 定期体检 节日福利”,数据挖掘 ,[泺源]
安恒信息,驻场安全服务工程（济南）,8k-16k,"信息安全,数据服务 上市公司 500-2000人",经验3-5年 本科,“五险一金 带薪年假 国内外旅游”,信息安全 ,[高新区]
信天辰,渗透测试讲师,6k-10k,"企业服务,信息安全 不需要融资 15-50人",经验不限 大专,“双休 五险 通讯补助 全勤奖 提成”,教育 ,[历下区]
花儿数据,高级工程师,15k-25k·13薪,移动互联网 / /,经验3-5年 本科,“上市公司，精英研发团队”,C++ ,[高新区]
标梵互动,PHP开发程序员,6k-12k,"移动互联网,企业服务 未融资 15-50人",经验1-3年 大专,"“有干货,懂研究,爱热闹,爱大神”",Laravel Yii PHP 后端 ,[槐荫区]
安恒信息,SRE运维开发,15k-20k·15薪,"信息安全,数据服务 上市公司 500-2000人",经验3-5年 本科,“上市公司 行业领先”,信息安全 K8s/Docker ,[高新区]
意锐,运维工程师,10k-15k,移动互联网 B轮 150-500人,经验3-5年 本科,“发展空间大；五险一金；领导nice”,Zabbix/Prometheus Jenkins ,[高新区]
海看科技,高级运维,10k-20k,"移动互联网,文娱丨内容 A轮 150-500人",经验3-5年 本科,“五险一金、周末双休、全额社保、全额公积金”,移动互联网 视频 运维 ,[历下区]
海看科技,ai技术带头人,14k-28k,"移动互联网,文娱丨内容 A轮 150-500人",经验5-10年 本科,“全额社保、全额公积金、周末双休、节日福利”,人工智能 ,[历下区]
神荼科技,渗透测试实习生,3k-5k,"信息安全,区块链 天使轮 15-50人",经验应届毕业生 本科,“弹性工作制”,Shell Linux Python Web安全 ,[历城区]
优维科技,运维开发工程师,10k-20k,"移动互联网,企业服务 B轮 150-500人",经验不限 本科,“平台好 技术好”,工具软件 DevOps/AIOps Python ,[高新区]
