公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
易见股份,高级嵌入式开发工程师,13k-25k,金融 上市公司 150-500人,经验3-5年 硕士,“该职位发展前景好，待遇优厚。”,嵌入式 硬件开发 ,[西山区]
航空航天大学创新研究院,区块链研究员,30k-40k,不限 不需要融资 150-500人,经验3-5年 博士,“云南省事业单位”,Golang Node.js MySQL ,[盘龙区]
优维科技,软件开发工程师,6k-10k,"移动互联网,企业服务 B轮 150-500人",经验3-5年 本科,“高速发展 五险一金 股权激励 腾讯背景”,Python Java C Shell ,[天府广场]
云南金海泰艺术品投资管理股份有限公司,区块链开发工程师,12k-24k,"消费生活,区块链 不需要融资 15-50人",经验3-5年 本科,“工作氛围轻松”,大数据 ,[官渡区]
云南腾道科技有限责任公司,unity 3d高级开发工程师,6k-12k,"移动互联网,消费生活 不需要融资 50-150人",经验1-3年 本科,“公平晋升通道 、社保、生日福利 、”,移动互联网 云计算 3D 渲染 ,[官渡区]
云南红岭云科技股份有限公司,区块链工程师,10k-20k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“人工智能；区块链；系统框架”,区块链 系统架构 ,[呈贡区]
云南红岭云科技股份有限公司,大数据分析工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“五险一金、职能晋升、法定节假日。”,数据分析 ,[呈贡区]
乐之培优,Web前端开发工程师,5k-8k,教育 未融资 150-500人,经验不限 本科,“五险一金、双休、节日生日福利、年度体检等”,前端开发 Web前端 ,[盘龙区]
足下信息,招聘嵌入式、大数据、VR设计师、物联网工程师,5k-8k,"教育,软件开发 不需要融资 150-500人",经验1-3年 本科,“工作环境好、压力小、有成就感”,大数据 ,[富民县]
宏星好运,app开发工程师安卓、ios,8k-12k,"物流丨运输,软件开发 不需要融资 50-150人",经验1-3年 本科,“3年后可转岗从事业务”,电商 物流 Android IOS ,[西山区]
云南红岭云科技股份有限公司,AI算法工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“人工智能；算法”,人工智能 算法 ,[呈贡区]
