公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
高新兴科技集团,JAVA开发工程师（昆明）(J11336),8k-16k,"物联网,人工智能 上市公司 2000人以上",经验1-3年 本科,“工作氛围好 领导好相处”,信息安全 Java 全栈 ,[西山区]
汉图,java开发工程师（初级）,5k-8k,"数据服务,其他 A轮 15-50人",经验不限 本科,“年假，社保，等”,大数据 ,[西山区]
亿和博嘉教育,JAVA软件工程师,4k-8k,"教育,医疗丨健康 未融资 50-150人",经验1-3年 本科,“具有挑战 团队管理 互联网医疗行业”,教育 医疗健康 分布式 中间件 Java ,[官渡区]
网新博创,java开发工程师,8k-10k·13薪,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“浙大网新”,大数据 Java ,[西山区]
广州科瑞迪,高级java开发工程师,13k-15k,移动互联网 不需要融资 50-150人,经验5-10年 本科,“周末双休、半年度调薪、六险一金”,Java MySQL ,[盘龙区]
云南金海泰艺术品投资管理股份有限公司,java开发工程师,6k-10k,"消费生活,区块链 不需要融资 15-50人",经验1-3年 本科,“弹性工作，氛围轻松”,Java ,[官渡区]
法本信息,java开发工程师,9k-14k,"企业服务,软件开发 上市公司 2000人以上",经验3-5年 不限,“六险一金 双休 加班费”,Java ,[西山区]
奥远科技,JAVA开发工程师,5k-10k,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 大专,"“周末双休,五险,年终奖,加薪快”",J2EE Javascript Java ,[官渡区]
巨智教育,java开发工程师,6k-12k,"教育,软件开发 未融资 15-50人",经验1-3年 本科,“社保、奖金”,教育 .NET Python MySQL Java ,[盘龙区]
云南腾道科技有限责任公司,Java开发工程师,5k-10k,"移动互联网,消费生活 不需要融资 50-150人",经验1-3年 本科,"“激发潜能,善于穿心,不断突破”",后端 J2EE ,[官渡区]
蜀正信息,java开发工程师,8k-12k,"软件开发,区块链 未融资 15-50人",经验1-3年 大专,“五险 双休”,医疗健康 大数据 Java Node.js MySQL ,[五华区]
昆明双宇,Java开发工程师,15k-20k,物流丨运输、汽车丨出行 未融资 15-50人,经验3-5年 本科,“前景好、稳定”,Javascript ,[官渡区]
费米科技,java开发工程师,6k-9k,"移动互联网,数据服务 未融资 少于15人",经验3-5年 本科,“五险一金”,后端 Linux/Unix ,[西山区]
云南红岭云科技股份有限公司,Java后端开发工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“五险一金、职能晋升、法定节假日。”,后端 ,[呈贡区]
爱情魔方,java开发工程师,5k-8k,社交、软件开发 未融资 15-50人,经验3-5年 本科,“环境轻松，同事融洽，前景宽广”,Java MySQL ,[盘龙区]
尊友科技,java开发工程师,7k-13k,"企业服务,移动互联网 未融资 15-50人",经验1-3年 大专,“年终奖 周末双休 技术导向团队成长快”,企业服务 后端 J2EE 移动开发 软件开发 ,[盘龙区]
远信科技,java开发工程师,5k-7k,"移动互联网,企业服务 未融资 150-500人",经验1-3年 本科,“五险一金 管理规范 周末双休”,Java ,[官渡区]
唯恒基业,java工程师,4k-8k,移动互联网 未融资 50-150人,经验应届毕业生 本科,“六险一金，带薪年假，周末双休，项目奖金”,移动互联网 Java Javascript HTML/CSS Web前端 ,[盘龙区]
数投科技,Java开发工程师,6k-8k,企业服务、数据服务 未融资 少于15人,经验3-5年 本科,“创业团队，公司扁平化，更多几乎”,后端 Java ,[盘龙区]
数投科技,Java开发工程师,5k-10k,企业服务、数据服务 未融资 少于15人,经验3-5年 本科,“前景发展好。”,Java ,[盘龙区]
昆明楷码,java开发工程师,4k-8k,"企业服务,软件开发 未融资 150-500人",经验不限 本科,“周末双休，带薪年假，定期团建”,移动互联网 企业服务 后端 ,[呈贡区]
中世软件,Java开发工程师,9k-16k,软件开发 未融资 50-150人,经验3-5年 大专,"“五险一金
团建”",信息安全 移动互联网 Java ,[盘龙区]
云南九机科技有限公司,java开发工程师,15k-20k,"移动互联网,电商 不需要融资 2000人以上",经验5-10年 本科,“五险一金、职级体系、年终奖金、项目奖金”,移动互联网 新零售 后端 平台 客户端 ,[五华区]
yunba.io云巴,java开发工程师,5k-8k,移动互联网 A轮 15-50人,经验1-3年 本科,“物联网前沿技术”,信息安全 大数据 ,[西山区]
金隆伟业,java高级开发工程师,10k-12k,"信息安全,硬件 不需要融资 50-150人",经验5-10年 大专,"“年终奖金,六险一金,周末双休,话补”",云计算 Linux/Unix ,[西山区]
网新博创,java开发工程师（昆明）,8k-10k·13薪,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“领导nice平台大前景广五险一金 餐补电话补助”,节日礼物 技能培训 带薪年假 周末双休 ,[西山区]
数思科技,中级java开发工程师,6k-12k,"企业服务,移动互联网 未融资 15-50人",经验1-3年 本科,“五险一金，互联网平台架构学习机会”,Java 搜索 ,[西山区]
航空航天大学创新研究院,JAVA、Nodejs后端工程师 数字经济研究中心,10k-15k,不限 不需要融资 150-500人,经验3-5年 硕士,“事业单位，待遇、环境好、薪资优”,Node.js Java ,[盘龙区]
华建互联,中级java开发工程师,6k-10k,"企业服务,软件开发 未融资 15-50人",经验1-3年 本科,“购买五险、周末双休”,Java ,[西山区]
锐祺软件,java软件开发工程师,7k-9k,软件开发 不需要融资 15-50人,经验1-3年 本科,“带薪休假”,企业服务 Vue 前端开发 React native ,[五华区]
房融科技,java高级软件工程师,8k-12k,"移动互联网,企业服务 未融资 15-50人",经验1-3年 不限,"“高薪,双休,氛围好,妹纸多”",J2EE Java ,[盘龙区]
深圳市壹平台,项目经理pm,10k-20k·13薪,软件开发 未融资 150-500人,经验1-3年 本科,“方案编写、沟通能力”,云计算 移动互联网 项目管理 解决方案 需求分析 敏捷 ,[盘龙区]
北大医信,实施工程师,6k-12k,医疗丨健康 不需要融资 500-2000人,经验3-5年 大专,“五险一金 商业保险 晋升空间 餐补”,医疗健康 实施 企业软件 ,[呈贡区]
北大医信,实施工程师（区卫）,6k-12k,医疗丨健康 不需要融资 500-2000人,经验3-5年 本科,"“五险一金,商业保险,交通补贴”",实施 ,[呈贡区]
